Complexity,Loss,Equation
1,183.58754,"38.756203"
3,159.92342,"x1 + 34.041786"
4,108.77524,"242.09113 / log(x0)"
5,103.430214,"182.83766 / sqrt(sqrt(x0))"
6,100.55358,"1902.971 / (sqrt(x0) + x2)"
7,100.21459,"191.43457 / sqrt(sqrt(x0 - -47.22996))"
8,99.103134,"((log(x0) * -7.5413256) + x1) + 82.06119"
9,98.20965,"abs((log(x0) * 9.485751) + -76.71816) - -22.110104"
10,84.7021,"((log(x0) * -7.078506) + (x2 * 364.9065)) + -9027.279"
12,83.87176,"(x2 * 358.17087) + ((392.24582 / log(x0 + 114.93187)) + -8964.314)"
14,83.19486,"(((x1 + 382.97125) / log(x0 + 119.59769)) + (x2 * 358.2108)) + -8964.55"
15,82.811775,"((368.83215 / log(x0 + 107.72193)) + (sqrt(x1) + (x2 * 357.72897))) + -8951.899"
16,82.519264,"((357.85562 / log(x0 + 117.20984)) + ((x2 * 357.77472) + (x1 * 0.54219866))) + -8951.668"
19,82.23482,"(343.6462 * x2) + ((((x0 * 0.0049833963) + -215.49513) / ((x2 + sqrt(x1)) / log(x0))) + -8491.975)"
21,81.840645,"(x2 * 350.13785) + (((-231.56589 + (x0 * 0.005923509)) / ((x2 + sqrt(x1)) / log(x0 + x2))) + -8650.082)"
22,71.570885,"(384.237 * x2) + ((-225.93063 / ((x2 / ((-424.25818 * x2) + (x0 + x0))) + (x2 / log(x0)))) + -9497.541)"
24,68.621574,"(x2 * 384.0653) + ((-226.58865 / (((x2 / (x0 + ((x2 * -424.2782) + x0))) - -0.419383) + (x2 / log(x0)))) + -9498.795)"
26,68.45775,"((x2 * (384.51562 - (-28.531424 / (((x2 * -423.49908) + (x0 + x0)) * 0.3831047)))) + ((-226.61475 / (x2 / log(x0))) + -9497.941)) * 0.86065125"
28,67.63081,"((((384.50793 - (-28.53142 / (((x0 + x0) + (-423.5023 * x2)) * 0.38339838))) * x2) + ((x1 + -226.61482) / (x2 / log(x0)))) + -9498.0205) * 0.8443738"
29,67.630394,"sqrt(x1) + ((((x2 * 384.4735) + ((-226.81616 / (x2 / log(x0))) + -9498.55)) * 0.84347856) - (-0.41150144 / ((((x2 * -423.19223) + x0) + x0) / x0)))"
30,67.33007,"(((-226.81386 / (x2 / log(x0))) + ((x2 * 384.6016) + -9499.697)) * 0.79242766) + ((x1 * 0.5685967) - (-0.49914116 / ((((x2 * -423.03308) + x0) + x0) / x0)))"
31,67.250175,"sqrt(x1) + (((((x2 * 384.45587) + -9498.55) + (-226.81654 / (x2 / log(x0 + x2)))) * 0.8650379) - (-0.392817 / (((x2 * -423.27875) + (x0 + x0)) / x0)))"
32,66.95506,"(((((-226.81587 / (x2 / log(x2 + x0))) + (x2 * 384.48593)) + -9498.549) * 0.84121615) + (x1 * 0.51371706)) - (-0.3926783 / ((x0 + (x0 + (-423.2898 * x2))) / x0))"
33,66.94617,"((((x2 * 384.4856) + -9498.549) + (-226.81587 / (x2 / log(x0 + x2)))) * 0.8409673) + abs((x1 * 0.51368773) - (-0.3927685 / (((x2 * -423.2943) + (x0 + x0)) / x0)))"
34,66.923134,"(sqrt(x1 * sqrt(x1)) - (-0.33928823 / (((x2 * -423.4128) + (x0 + x0)) / x0))) + (((x2 * 384.46365) + ((-226.81578 / (x2 / log(x0 + x2))) + -9498.55)) * 0.8357646)"
35,66.901054,"((((-226.8158 / (x2 / log(x0 + x2))) + -9498.55) + (x2 * 384.4635)) * 0.8358079) + abs(sqrt(x1 * sqrt(x1)) - (-0.33984658 / (((x0 + x0) + (x2 * -423.4211)) / x0)))"
36,66.89722,"(((-226.81595 / (x2 / log(x0 + (x1 + x2)))) + ((x2 * 384.44907) + -9498.55)) * 0.8462633) + (sqrt(x1 * sqrt(x1)) - (-0.3270278 / (((x2 * -423.44662) + (x0 + x0)) / x0)))"
37,66.87502,"abs(sqrt(x1 * sqrt(x1)) - (-0.32676607 / (((x2 * -423.44867) + (x0 + x0)) / x0))) + (((-226.81595 / (x2 / log(x1 + (x2 + x0)))) + ((x2 * 384.44907) + -9498.55)) * 0.8460122)"
38,66.2918,"((((x2 * 384.48856) + -9498.529) + ((x1 + -225.73952) / (x2 / log(x0)))) * 0.8531763) - ((-28.537428 / (((x2 * -423.22522) + (x0 + x0)) / sqrt(x0))) - (x1 / ((x1 - sqrt(x0)) / -0.0610893)))"
40,65.89919,"(0.9022182 * ((((x1 + -226.81715) / (x2 / log(x0 - -47.22996))) + ((x2 * 384.44034) - (-28.53746 / (((x0 + x0) + (x2 * -423.34717)) / sqrt(x0))))) + -9498.531)) - (x1 / ((sqrt(x0) - x1) / -0.0690734))"
41,65.88253,"(0.9022182 * ((((x1 + -226.81715) / (x2 / log(x0 - -47.22996))) + ((x2 * 384.44034) - ((-28.53746 / ((-423.34717 * x2) + (x0 + x0))) * sqrt(x0)))) + -9498.531)) - (sqrt(x0) / ((sqrt(x0) - x1) / -0.0690734))"
42,65.6861,"((0.8951078 * ((x2 * 384.435) + (-9498.531 + (((x1 * 1.356891) + -226.81721) / (x2 / log(x0 - -47.229954)))))) - ((sqrt(x0) * -28.53737) / ((x2 * -423.3166) + (x0 + x0)))) - (x0 / ((sqrt(x0) - x1) / -0.006707772))"
44,65.662254,"((((x2 * 384.435) + (((x1 * 1.356891) + -226.81721) / (x2 / log(x0 - -46.57066)))) + (-9498.531 - ((sqrt(x0) * -28.53737) / ((x2 * -423.3166) + ((x0 + x0) - 1.6568636))))) * 0.8951078) - (x0 / ((sqrt(x0) - x1) / -0.006707772))"
45,65.66079,"((((-9498.531 - ((sqrt(x0) * -28.537373) / ((x2 * -423.31467) + ((x0 + x0) - 1.6568658)))) + (x2 * 384.43463)) + (((x1 * 1.3569418) + -226.81721) / abs(x2 / log(x0 - -45.586647)))) * 0.8946726) - (x0 / ((sqrt(x0) - x1) / -0.0067612915))"
47,65.598976,"(((((((x1 + -226.81766) + x1) / (x2 / log(x2 + x0))) - (-28.532661 / (((x2 * -423.05457) + (x0 + x0)) / sqrt(x0 + x0)))) + -9498.317) + (x2 * 384.4338)) * 0.8751167) - (x2 / (((x2 / 1.9265176) + x0) - (x2 * x2)))"
48,65.58406,"(((x2 * 384.4338) + ((((x1 + (x1 + -226.81766)) / (x2 / log(x2 + x0))) - (-28.532665 / (((x0 + x0) + (x2 * -423.0492)) / sqrt(x0 + x0)))) + -9498.317)) * 0.8746249) - (x2 / ((sqrt(x2 / 0.14285389) + x0) - (x2 * x2)))"
49,65.57768,"(((x2 * 384.43378) + (((((x1 + x1) + -226.81766) / (x2 / log(x0 + x2))) - (-28.532661 / (((x2 * -423.05487) + (x0 + x0)) / sqrt(x0 + x0)))) + -9498.317)) * 0.8750865) - (x2 / (((x2 + 0.35404244) / 1.9265449) + (x0 - (x2 * x2))))"
50,65.55262,"((((((x1 + (x1 + -226.81766)) / (x2 / log(x2 + x0))) - (-28.532663 / (((x0 + x0) + (x2 * -423.05225)) / sqrt(x0 + x0)))) + (x2 * 384.43384)) + -9498.317) * 0.8749302) - ((x1 + x2) / (sqrt(x2 / 0.1409328) + (x0 - (x2 * x2))))"
