Complexity,Loss,Equation
1,183.58754,"38.759422"
3,159.92342,"x1 + 34.041786"
4,154.75484,"66.3099 - sqrt(x0)"
5,125.729095,"abs(64.77209 - sqrt(x0))"
6,101.142365,"(log(x0) * -8.778255) + 94.653915"
7,100.96505,"(sqrt(log(x0)) * -43.843838) + 149.01994"
8,99.103134,"((log(x0) * -7.540943) + 82.059204) + x1"
9,98.20962,"abs((log(x0) * -9.498443) + 76.82753) + 22.079788"
10,84.703026,"(x2 - (24.737835 - (log(x0) * -0.01946903))) * 363.83682"
11,84.7026,"(x2 - (24.738892 - (log(sqrt(x0)) * -0.038740378))) * 365.30722"
12,83.45711,"((x2 - 24.813925) * 381.18472) + ((x0 * 0.0076372228) - sqrt(x0))"
14,82.41583,"(x1 + ((x0 * 0.008422113) + ((x2 - 24.814571) * 347.13324))) - sqrt(x0)"
15,82.1555,"(x0 * 0.007859145) + (sqrt(x1) + (((x2 - 24.816662) * 373.00284) - sqrt(x0)))"
16,81.60335,"((x0 * 0.0081117125) - sqrt(x0)) + (((x2 - 24.814661) * 361.54703) + (x1 / 1.6638075))"
17,81.27245,"(((x2 - 24.805712) * 354.30023) - sqrt(abs(x0 - (x1 * x1)))) + (x0 * 0.007992463)"
18,80.99994,"((x2 - 24.815798) * 365.26846) - (sqrt(abs(x0 - (sqrt(x0) * x1))) + (x0 * -0.008160843))"
20,79.785355,"(373.15414 * (x2 - 24.810427)) + ((0.007081402 * (((x0 / (x1 - 2.9150517)) / 24.810427) + x0)) - sqrt(x0))"
22,68.644615,"(((24.795708 / (sqrt(log(x0)) - (x1 + -0.073483534))) + x0) * 0.0066949013) + (((x2 - 24.809572) * 373.005) - sqrt(x0))"
23,68.057,"((373.0031 * (x2 - 24.810125)) - sqrt(x0)) + (0.006834163 * ((24.810125 / abs(sqrt(log(x0)) - (-0.07359664 + x1))) + x0))"
25,67.37768,"((x2 - 24.814735) * 372.47314) + ((sqrt(x1) - sqrt(x0)) + (((24.06442 / (sqrt(log(x0)) - (x1 + -0.073689535))) + x0) * 0.007104894))"
26,66.92666,"((x0 + abs(-23.72491 / (-0.07362903 + (x1 - sqrt(log(x0)))))) * 0.007052477) + ((((x2 - 24.81543) * 372.98462) - sqrt(x0)) + sqrt(x1))"
27,66.5659,"(((x1 * 0.43473563) + ((x2 - 24.815414) * 373.00516)) - sqrt(x0)) + (((24.814442 / abs(sqrt(log(x0)) - (x1 + -0.073709846))) + x0) * 0.0071379775)"
29,66.40595,"((abs(((x2 - -24.554928) * x1) + (24.568888 / ((x1 + -0.07367702) - sqrt(log(x0))))) + x0) * 0.007261431) + (((x2 - 24.814566) * 373.00464) - sqrt(x0))"
31,66.25943,"((373.00464 * (x2 - 24.814308)) - sqrt(x0)) + (0.007261431 * (abs((x1 * (x1 / (x2 - 24.814566))) + (24.814308 / ((-0.07367702 + x1) - sqrt(log(x0))))) + x0))"
