Complexity,Loss,Equation
1,183.58754,"38.756187"
3,159.92342,"x1 + 34.041786"
4,108.77524,"242.09113 / log(x0)"
5,103.430214,"182.8377 / sqrt(sqrt(x0))"
6,101.14237,"(log(x0) * -8.780733) + 94.67019"
7,100.21459,"191.42383 / sqrt(sqrt(x0 - -47.218594))"
8,99.103134,"(82.05904 + x1) + (log(x0) * -7.5408387)"
9,98.209564,"abs((log(x0) * -9.49797) + 76.81716) + 22.089407"
10,84.70282,"(log(x0) * -7.0715938) + ((x2 - 24.7395) * 366.1334)"
12,83.76498,"((x1 + 348.26117) * (x2 - 24.734667)) + (log(x0) * -6.8673124)"
13,82.7267,"(abs(log(x0 / 3334.9053)) * 7.6719923) + ((x2 - 24.897852) * 356.39307)"
15,82.29061,"(abs(log(3190.0667 / x0) * 6.4883785) + ((24.901594 - x2) * -341.10544)) + x1"
16,81.66336,"((x2 - 24.899763) * 348.50467) + (sqrt(x1) + abs(log(x0 / 3245.768) * -7.4066763))"
17,81.62553,"(((x2 - 24.900326) * 348.4943) + sqrt(x1)) + abs(log(sqrt(x0 / 3245.7778)) * -14.813582)"
18,81.34936,"((24.90102 - x2) * -355.39725) + (abs(log(sqrt(3245.777 / x0)) * 13.99326) + (x1 / 1.8380058))"
19,81.17527,"(((24.905994 - x2) * -354.33713) + abs(log(sqrt(3210.1414 / x0)) * 14.016941)) + (sqrt(x1) * 2.1530623)"
20,68.59485,"((x2 - 24.699059) * 322.51398) + (((-314.5987 / ((x2 * 418.38342) - (x0 / 0.50550914))) + -7.552854) * log(x0))"
22,68.12507,"((x2 - 24.699059) * (315.27304 + x1)) + (((-314.5987 / ((418.38342 * x2) - (x0 / 0.50550914))) + -7.552854) * log(x0))"
23,67.628815,"((((-314.5987 / ((418.38342 * x2) - (x0 / 0.50550914))) + -7.5344586) * log(x0)) + ((x2 - 24.699059) * 314.59344)) + sqrt(x1)"
24,67.46133,"((((-314.5987 / ((418.38342 * x2) - (x0 / 0.50550914))) + -7.5344586) * log(x0)) + ((x2 - 24.699059) * 314.59344)) - (x1 * -0.44624776)"
26,67.047424,"(((-314.5987 / ((x2 * 418.3977) - (x0 / 0.5055038))) + -7.5429764) * log(x2 + x0)) + ((315.64377 - (x1 / -0.5179053)) * (x2 - 24.699615))"
28,67.01738,"(((x1 / -0.4604946) - 314.72736) * (24.699766 - x2)) + (((x2 / x0) + log(x0)) * ((-314.5987 / ((x2 * 418.3977) - (x0 / 0.5055072))) + -7.542972))"
30,66.89188,"(log(x0 + ((314.72736 * x1) / x0)) * ((-314.5987 / ((x2 * 418.3977) - (x0 / 0.50550485))) + -7.5429764)) + ((24.699615 - x2) * ((x1 / -0.5179053) - 314.992))"
32,66.883354,"(((x1 / -0.5179053) - 314.72757) * (24.699615 - x2)) + (((-314.5987 / ((x2 * 418.3977) - (x0 / 0.5055074))) + -7.5429764) * log((((314.72736 / x0) - 0.65010583) * x1) + x0))"
33,66.87603,"(((-314.5987 / ((x2 * 418.3977) - (x0 / 0.5055038))) + -7.5429764) * log(abs(2.124989 - ((314.72736 / x0) * x1)) + x0)) + (((x1 / -0.5179053) - 314.72736) * (24.699615 - x2))"
34,66.44275,"(((x1 / 1.776875) - ((24.699615 - x2) * 314.72757)) - (x1 / (((418.3977 - x0) / 0.5055099) - x2))) + (log(x0) * ((-314.5987 / ((418.3977 * x2) - (x0 / 0.5055099))) + -7.5429764))"
