Complexity,Loss,Equation
1,183.58754,"38.759426"
3,159.92342,"x1 + 34.041786"
4,108.77522,"242.09119 / log(x0)"
6,101.142365,"94.675865 - (log(x0) * 8.781641)"
8,99.103134,"x1 + ((log(x0) * -7.541335) + 82.0608)"
9,98.20951,"abs(76.79798 - (log(x0) * 9.4981165)) + 22.106457"
10,84.70282,"((x2 - 24.739374) * 365.9585) + (log(x0) * -7.072476)"
12,83.607925,"(x1 + 50.67437) * ((log(x0) * (x2 - 25.08254)) + 1.4280761)"
14,83.2698,"(log(x0) * -6.4380307) + ((348.07266 - (x1 * -2.431786)) * (x2 - 24.746634))"
16,83.194695,"(log(x0) * -6.4048767) + ((((x2 + x2) - 49.50619) * 178.4996) + (x1 / 1.7475089))"
18,82.84872,"abs((log(x0) * -10.959463) + 89.54394) + (((x2 - 49.81753) + x2) * (x2 * log(x0)))"
20,81.9372,"abs((log(x0) * -10.10153) + 82.56337) + (((x1 + x2) * log(x0)) * ((x2 + x2) - 49.827904))"
21,80.12432,"(((x2 + -25.287031) * log(x0)) + (3.5532103 + (108.03738 / (((log(x0) * x2) * x2) - x0)))) * x2"
22,77.696014,"abs(x2 * ((124.12644 / ((log(x0) * (x2 * x2)) - x0)) + (((x2 + -25.2915) * log(x0)) + 3.574742)))"
23,68.76517,"53.106476 * (((11.02855 / ((x0 - ((log(x0) * x2) * x2)) + 56.016907)) + ((x2 - 25.112991) * log(x0))) + 1.6555622)"
25,67.614716,"(x1 + 49.36884) * ((log(x0) * (x2 - 25.093)) + ((9.504289 / (x0 + (55.19076 - ((x2 * x2) * log(x0))))) + 1.5105938))"
27,67.4698,"(((((x2 - 25.10111) * log(x0)) + 1.4027097) + (12.062158 / ((x0 + 56.493195) - ((x2 * x2) * log(x0))))) * (x1 + 47.967163)) + 9.4414"
29,67.414894,"(((((x2 + x2) - 50.20079) * log(x0)) + (23.214737 / ((x0 + 56.35282) - (log(x0) * (x2 * x2))))) + 3.1415246) * (x2 + (x1 * 0.35110456))"
31,67.3448,"((x1 * 0.36663336) + x2) * ((((x2 + (x2 - 50.20396)) * log(x1 + x0)) + (23.214655 / ((x0 - ((x2 * x2) * log(x0))) + 56.353855))) + 3.161807)"
33,67.28552,"((x1 * 0.39906988) + x2) * (((x2 + (x2 - 50.209843)) * log((x1 * 3.103992) + x0)) + ((23.244347 / ((x0 - (x2 * (x2 * log(x0)))) + 56.3686)) + 3.1994183))"
35,67.28461,"((x1 * 0.39906988) + x2) * (((x2 + (x2 - 50.209843)) * abs(log((x1 * log(x2)) + x0))) + ((23.244347 / ((x0 - ((x2 * x2) * log(x0))) + 56.3686)) + 3.1994183))"
37,67.26121,"((((log(x0) + 2.1245208) * ((x2 + x2) - 50.284283)) + ((16.21156 / (x0 - (((x2 * x2) - 6.209836) * log(x0)))) + 3.3629193)) * (x2 + -4.885446)) + ((x1 * 0.52826494) + (x2 - -3.1802545))"
40,67.231026,"(81.39532 / (((x0 + x2) + (log(x0) * (x2 * (x2 - 50.196472)))) + 81.408295)) + ((sqrt(x1) - -81.56572) + ((((x2 + x2) - 50.21803) * (x2 - (81.400856 / ((x1 + -2.1481073) * x0)))) * log(x0)))"
41,66.94981,"((x2 - (84.47468 / ((x1 + -2.1131217) * (x0 - (x1 * x1))))) * (((x2 + x2) - 50.20668) * log(x0))) + ((81.6888 / (((log(x0) * (x2 - 50.196323)) * x2) + ((x2 + x0) + 81.39916))) + 81.6888)"
42,66.60722,"((81.39846 - (sqrt(x1) - x1)) + (81.39806 / (((x2 + 81.39806) + x0) + ((x2 - 50.19631) * (log(x0) * x2))))) + ((x2 - (x1 / (x0 - (x1 * x1)))) * (log(x0) * (x2 + (x2 - 50.220737))))"
43,66.082535,"((((((x2 + x2) - 50.220737) * (x2 - (x1 / (x0 - (x1 * x1))))) * log(x0)) + 81.39846) - (x1 - (x1 / 0.6525644))) + (81.39806 / (((x2 + 81.39806) + x0) + ((x2 - 50.19631) * (log(x0) * x2))))"
44,65.65194,"((log(x0) * ((x2 + x2) - 50.21848)) * (x2 - (81.400856 / ((x1 + -2.1480663) * (x0 - (x1 * x1)))))) + (((81.40849 / (((x0 + x2) + (log(x0) * (x2 * (x2 - 50.196434)))) + 81.40849)) + sqrt(x1)) - -81.56572)"
46,65.60892,"(((81.398476 / ((81.39806 + x0) + (((x2 - 50.19623) * (log(x0) * x2)) + x2))) - (-0.18293087 - sqrt(x1))) + 81.398476) + (((x2 + (x2 - 50.218052)) * (x2 - (81.39806 / ((x0 - (x1 * x1)) * (x1 + -2.114696))))) * log(x0))"
47,65.428246,"(((x2 + (x2 - 50.21805)) * log(x0)) * (x2 - (x2 * (log(x0) / ((x1 + -2.1527624) * (x0 - (x1 * x1))))))) + (((81.39806 / ((x0 + (x2 + 81.39806)) + (log(x0) * (x2 * (x2 - 50.19623))))) + sqrt(x1)) - -81.56322)"
