Complexity,Loss,Equation
1,183.58754,"38.75942"
3,159.92342,"x1 + 34.041786"
4,108.77522,"242.09119 / log(x0)"
5,103.430214,"182.83766 / sqrt(sqrt(x0))"
6,101.14237,"(log(x0) * -8.781422) + 94.67412"
7,100.214584,"191.43448 / sqrt(sqrt(x0 - -47.234665))"
8,89.98139,"((x2 + -24.859356) / log(x0)) * 2185.6023"
10,87.62776,"((x2 + (0.66431314 / log(x0))) - 24.97188) * 373.47375"
11,83.34246,"(x2 - ((-51.511826 / (x0 + 536.4655)) + 24.907063)) * 359.91663"
13,82.888695,"(x2 - ((-50.02603 / (x0 + 538.39825)) + 24.906443)) * (x1 + 357.65735)"
14,82.88869,"(x1 + 357.65735) * abs(24.906443 + ((-50.02603 / (538.39825 + x0)) - x2))"
15,82.16485,"(x1 / 1.7928109) + ((x2 - ((-52.02918 / (x0 + 528.52747)) + 24.904688)) * 325.82565)"
17,82.084114,"(x2 * -5.955575) + ((x1 + 356.44907) * (x2 - ((-47.16835 / (x0 + 538.57587)) + 24.491804)))"
18,79.1352,"((x2 - 24.775188) * (1235.7604 / log(x0))) + (1.4730865 / (24.86958 - sqrt(x0 / log(x0))))"
19,75.75549,"(1.4687712 / (24.868887 - sqrt(x0 / log(x0)))) + (((x2 - 24.87256) * 1234.557) / log(sqrt(x0)))"
21,75.41638,"((x2 - 24.872793) * (1235.7604 / log(sqrt(x0 - -1.9106396)))) + (1.4687726 / (24.868654 - sqrt(x0 / log(x0))))"
22,68.86919,"((1235.7604 / log((x0 / 34.819126) + 8.676175)) * (x2 - 24.868563)) + (1.4687759 / (24.868563 - sqrt(x0 / log(x0))))"
24,68.62387,"(1.4687767 / (24.868675 - sqrt(x0 / log(x0)))) + ((x2 - 24.869007) * (x1 + (1235.7604 / log((x0 / 34.819126) + 8.676176))))"
25,68.51103,"abs((1.4687767 / (24.86868 - sqrt(x0 / log(x0)))) + ((x2 - 24.869686) * ((1235.7604 / log((x0 / 34.819126) + 8.847054)) + x1)))"
26,67.59037,"(((4.77368 / (x2 - sqrt((x0 / log(x0)) + 5.258279))) + x1) - ((x2 - 24.871386) * -1235.9979)) / log((x0 / 34.83257) + 9.464522)"
28,67.04654,"(-9.667133 - (0.8679258 / (sqrt((x0 + 45.52537) / log(x0)) - x2))) + ((x1 - ((x2 - 24.837143) * -1236.0762)) / log((x0 / 31.769917) + 13.431689))"
30,66.767654,"((((x1 * 1.9524884) - ((x2 - 24.83087) * -1236.324)) / log((x0 / x2) + 16.227612)) + -10.153167) - (0.86829793 / (sqrt((x0 + 45.51876) / log(x0)) - x2))"
32,66.76753,"-10.153167 + ((((x1 * 1.9524884) - ((x2 - 24.83087) * -1236.324)) / log((x0 / x2) + 16.227612)) - (0.86829793 / (sqrt((x0 + 45.51876) / log(-0.12985337 + x0)) - x2)))"
35,66.6531,"(((x1 - ((x2 - 24.828712) * -1236.3293)) / log((x0 / x2) + 16.08468)) + (-7.247809 - (0.8674449 / (sqrt((x0 + 45.524372) / log(x0)) - x2)))) - log(25.934252 - (x1 * 2.5594897))"
37,66.57423,"((-7.7181783 - (1.1198202 / (sqrt((x0 + 44.25377) / log(x0)) - x2))) + ((x1 - ((x2 - 24.836044) * -1236.2589)) / log((x0 / 24.868563) + 12.95887))) - (abs(log(abs(x1 - 2.02815))) * 0.61454296)"
38,66.41002,"((((x1 - ((x2 - 24.83776) * -1236.2482)) / log((x0 / x2) + 13.410029)) + -6.577004) - (1.1690495 / (sqrt((x0 + 44.02384) / log(x0)) - x2))) - abs(log(abs(0.5457245 - (x1 - sqrt(x1)))))"
