Complexity,Loss,Equation
1,183.58754,"38.756207"
3,159.92342,"x1 - -34.041786"
4,108.77524,"242.09004 / log(x0)"
6,101.142365,"(log(x0) * -8.779538) + 94.662285"
7,100.96505,"(sqrt(log(x0)) * -43.8437) + 149.01959"
8,99.103134,"(log(x0) * -7.5401907) + (x1 + 82.05432)"
9,98.20965,"abs((log(x0) * -9.49234) + 76.77789) + 22.095444"
10,84.71523,"((log(x0) - (x2 * x2)) * -7.1543202) + -4375.8203"
12,84.248795,"(x1 + ((log(x0) - (x2 * x2)) * -6.259187)) + -3828.193"
13,83.623245,"sqrt(x1) + (((log(x0) - (x2 * x2)) * -6.919947) + -4233.268)"
14,83.28779,"((log(x0) - (x2 * x2)) * -6.6581244) + ((x1 * 0.55059713) + -4072.239)"
16,83.23094,"((x1 * 0.54256713) + -4185.691) + ((log(x0 + 10.364025) - (x2 * x2)) * -6.8423696)"
17,83.18045,"x2 * (((log(x0) - (x2 * x2)) * -0.26577222) + (-162.62141 + (sqrt(x1) * 0.08635896)))"
18,82.27867,"(0.8474983 / (log(x0) - 8.48561)) - ((-354.47076 * sqrt((x2 * x2) - log(x0))) + 8766.239)"
19,80.566795,"abs((1.4065957 / (log(x0) - 8.48561)) - ((-354.47076 * sqrt((x2 * x2) - log(x0))) + 8766.239))"
20,74.04647,"abs((sqrt((x2 * x2) - log(x0)) * -354.47076) + (8766.207 - (1.942213 / (sqrt(sqrt(x0)) - 8.48561))))"
21,68.52027,"(0.8474983 / (((x0 / x2) / x2) - 8.48561)) - ((sqrt((x2 * x2) - log(x0)) * -354.47076) + 8766.545)"
22,68.5194,"abs((-354.47073 * sqrt((x2 * x2) - log(x0))) + (8766.545 + (0.8478307 / (8.485583 - ((x0 / x2) / x2)))))"
24,67.41165,"(0.8474983 / (((x0 / x2) / x2) - 8.48561)) - ((sqrt((x2 * x2) - log(x0)) * -354.47076) + (8768.773 - sqrt(x1)))"
25,67.12375,"(0.8474983 / ((x0 / (x2 * x2)) - 8.48561)) - (((sqrt((x2 * x2) - log(x0)) * -354.47076) + 8768.773) - (x1 / 2.1282742))"
27,66.89859,"(0.8474983 / ((x0 / (x2 * x2)) - 8.48561)) - ((8768.773 - (x1 / 1.7673737)) + (sqrt((x2 * x2) - log(x0 + x2)) * -354.47076))"
28,66.89832,"abs((8768.773 - (x1 / 1.7673737)) + ((sqrt((x2 * x2) - log(x0 + x2)) * -354.47076) - (0.8474983 / ((x0 / (x2 * x2)) - 8.48561))))"
29,66.89614,"(0.8474983 / ((x0 / (x2 * x2)) - 8.48561)) - ((8768.773 - (x1 / 1.7673737)) + (sqrt((x2 * x2) - log((x2 - 1.8693181) + x0)) * -354.47076))"
30,66.89553,"abs((8768.773 - (x1 / 1.7673737)) + ((-354.47076 * sqrt((x2 * x2) - log(x2 + (x0 - 1.7673737)))) - (0.8474983 / ((x0 / (x2 * x2)) - 8.48561))))"
32,66.88162,"x1 + ((0.8474983 / ((x0 / (x2 * x2)) - 8.48561)) - ((8769.331 + (sqrt((x2 * x2) - log(x0 + x2)) * -354.47076)) - (-0.39483464 * abs(1.0074253 - x1))))"
33,66.837746,"((x1 - ((x1 * (x2 / x0)) + (x1 / 3.0499353))) + (0.84749883 / ((x0 / (x2 * x2)) - 8.4856825))) - ((sqrt((x2 * x2) - log(x0)) * -354.47073) + 8769.284)"
34,66.82162,"((0.84749883 / ((x0 / (x2 * x2)) - 8.4856825)) - ((sqrt((x2 * x2) - log(x0)) * -354.47073) + 8769.284)) + abs(x1 - ((x1 * (x2 / x0)) + (x1 / 3.0499353)))"
36,66.78997,"((0.84749883 / ((x0 / (x2 * x2)) - 8.485682)) - ((sqrt((x2 * x2) - log(x0)) * -354.47073) + 8769.331)) + abs(x1 - (((x1 / (x0 - x1)) * x2) + (x1 / 3.0499353)))"
37,66.12609,"(0.8474983 / ((x0 / (x2 * x2)) - 8.48561)) + ((x1 - ((-354.47076 * sqrt((x2 * x2) - log(x0))) + 8769.331)) - ((-0.5427306 / ((0.38266653 - x2) + (x0 / x2))) + (x1 / 2.310759)))"
38,65.720924,"((x1 + (0.8474983 / ((x0 / (x2 * x2)) - 8.48561))) - ((sqrt((x2 * x2) - log(x0)) * -354.47076) + 8769.331)) - abs((x1 - (-2.4948623 / (((x0 / x2) + 0.3801631) - x2))) / -2.310759)"
40,65.393005,"(((0.8474983 / ((x0 / (x2 * x2)) - 8.48561)) - ((sqrt((x2 * x2) - log(x0 + x2)) * -354.47076) + 8769.331)) - abs((1.7884973 / ((x0 / (x2 - 0.34993517)) - x2)) + (x1 / 2.913007))) + x1"
41,65.3844,"(x1 + ((0.8522723 / ((x0 / (x2 * x2)) - 8.48561)) - ((sqrt((x2 * x2) - log(x0 + x2)) * -354.47076) + 8769.331))) - abs((1.5935675 / ((0.34993517 + (x0 / x2)) - x2)) + (x1 / log(x2)))"
42,65.31582,"((0.8474983 / ((x0 / (x2 * x2)) - 8.48561)) - ((sqrt((x2 * x2) - log(x0 + x2)) * -354.47076) + 8769.331)) + ((x1 - -0.24572173) - abs((1.7884973 / ((x0 / (x2 - 0.34993517)) - x2)) + (x1 / 2.913007)))"
43,65.311646,"(((0.8474983 / ((x0 / (x2 * x2)) - 8.48561)) - ((sqrt((x2 * x2) - log(x0 + x2)) * -354.47076) + 8769.331)) - abs(((sqrt(x2) / ((x0 / (x2 - 0.34993517)) - x2)) + x1) / 2.913007)) + (x1 - -0.24572173)"
44,65.23159,"(((0.8474983 / ((x0 / (x2 * x2)) - 8.48561)) - ((sqrt((x2 * x2) - log(x2 + x0)) * -354.47076) + 8769.331)) - abs((1.7884973 / ((x0 / x2) - (x2 - 0.34993517))) + (x1 / sqrt(sqrt(x2))))) + (x1 - -0.67847764)"
45,65.22671,"(((0.8474983 / ((x0 / (x2 * x2)) - 8.48561)) - ((sqrt((x2 * x2) - log(x0 + x2)) * -354.47076) + 8769.331)) - abs((x1 / sqrt(log(sqrt(8769.331)))) + (1.7884973 / ((x0 / x2) - (x2 - 0.34993517))))) + (x1 - -0.88255304)"
46,65.22524,"(((0.8474983 / ((x0 / (x2 * x2)) - 8.48561)) - ((sqrt((x2 * x2) - log(x2 + x0)) * -354.47076) + 8769.331)) - abs((1.7884973 / ((x0 / x2) - (x2 - 0.34993517))) + (x1 / sqrt(sqrt(x2))))) + (x1 - log(abs(-0.47420833)))"
48,65.22289,"(0.852319 / ((x0 / (x2 * x2)) - 8.485589)) + ((x1 - ((sqrt((x2 * x2) - log(x0)) * -354.47073) + 8769.331)) - abs((((x2 * 0.16692008) / ((x0 / x2) + (0.35356238 - x2))) + (x1 - 1.0127559)) / (log(sqrt(x0) + -1.8252743) + -0.64678913)))"
49,65.18927,"(0.852319 / ((x0 / (x2 * x2)) - 8.485589)) + ((x1 - ((sqrt((x2 * x2) - log(x0)) * -354.47073) + 8769.331)) - abs((((x2 * 0.16692008) / ((x0 / x2) + (0.35356238 - x2))) + abs(x1 - 1.0127559)) / (log(sqrt(x0) + -1.8252743) + -0.64678913)))"
