Age,Amount_invested_monthly,Annual_Income,Changed_Credit_Limit,Credit_History_Age,Credit_Utilization_Ratio,Delay_from_due_date,Interest_Rate,Monthly_Balance,Monthly_Inhand_Salary,Num_Bank_Accounts,Num_Credit_Card,Num_Credit_Inquiries,Num_of_Delayed_Payment,Num_of_Loan,Outstanding_Debt,Total_EMI_per_month,Month,Occupation,Credit_Mix,Payment_of_Min_Amount
31.0,188.63602033655977,35473.3792462029,11.958630796000019,23.0964776234091,34.10967856976945,41.0,11.0,328.0809868614813,4530.788126095489,7.0,7.0,11.0,17.0,3.0,2960.917208770952,50.97855445723884,December,Journalist,Standard,Yes
35.0,205.85687376364334,15637.146335165722,19.74375780329876,16.238796128366914,36.13613658350003,23.0,22.0,270.03770490825286,2542.2352782814246,9.0,1.0,9.0,25.0,3.0,3506.9591245657202,4238.329491370833,October,Lawyer,Standard,Yes
48.0,16.352394454915682,14792.363431197897,12.801347786586614,18.83267375924015,38.88535219496558,33.0,30.0,384.6351161646112,963.4830128003331,8.0,5.0,11.0,12.0,4.0,2894.048283542399,128.32818701230573,September,Doctor,Standard,Yes
50.0,54.64871550044349,31117.00079059614,6.116194376845726,29.706327691624836,27.791212510048688,6.0,12.0,455.1752154153653,1419.880332749543,7.0,5.0,11.0,14.0,1.0,780.8785260319753,754.0713470509817,September,Media_Manager,Good,Yes
28.0,35.042250268093746,22403.812793731984,16.859389705545407,11.581010077503038,30.818951334196722,15.0,32.0,499.67791802943384,1835.9342873931857,10.0,10.0,7.0,27.0,8.0,1471.3796624630352,47.324526340571424,September,Teacher,Standard,Yes
38.0,108.73435664617045,38156.32178111739,12.916199717057857,5.9272893233272725,30.739992673808956,45.0,19.0,97.2995793378445,2249.2807872726908,5.0,6.0,7.0,18.0,8.0,3283.4265077056934,295.89150887433453,September,Journalist,Standard,Yes
27.0,376.86665865472594,63237.60867192169,9.976922299004087,28.08400288598034,30.856514222699992,2.0,6.0,384.43888207213604,3737.8696317261906,7.0,2.0,3.0,13.0,1.0,120.54846305694458,158.52337258155177,December,Teacher,Bad,No
34.0,180.9993842227784,14605.119008061385,6.041926894168647,30.439306358815486,31.18957483654507,6.0,12.0,204.24834331691463,1397.380635933214,1.0,8.0,4.0,14.0,6.0,304.8665821690098,31.63801760889187,October,Accountant,Good,No
39.0,76.5380293754496,26096.682686202024,0.3560280957564501,29.456045704515077,22.590177608522055,13.0,6.0,240.86228889884822,2859.5020079457768,3.0,8.0,3.0,15.0,5.0,759.7631287071948,234.34054524050075,November,Journalist,Good,No
25.0,45.51802694686843,68231.27873471128,11.552825607140441,11.407057579761158,41.07358183321477,13.0,13.0,432.540033444316,2531.110574064736,7.0,4.0,2.0,11.0,3.0,1012.5034121253832,121.07294844385925,October,Accountant,Good,No
47.0,106.93327791578429,25519.761420160536,6.440931466775645,18.275815402215017,31.668645091675863,42.0,12.0,250.47238983128634,1909.7860348294307,8.0,4.0,42.0,16.0,4.0,1326.7908724847887,3412.022986903452,October,Developer,Good,Yes
31.0,265.63050977131917,84191.35663545741,4.811871974182523,25.924520348697058,35.32233737341162,14.0,8.0,307.52944962775496,6555.260692211047,10.0,9.0,1.0,24.0,2.0,275.38484465243556,400.9527679399489,September,Journalist,Standard,Yes
49.0,633.2621159448496,161831.3602593205,2.268864432324669,23.162830852225,33.19283293276828,10.0,3.0,413.75208105460115,7494.558931855845,6.0,4.0,2.0,11.0,1.0,799.1431225741518,162.28835739495167,November,Accountant,Bad,No
36.0,557.8159605302799,550608.394030945,14.594943855059757,18.64455301070427,29.87533234782084,57.0,15.0,276.4106560890323,10374.653122542519,7.0,7.0,7.0,22.0,6.0,1116.7799306979994,520.2002466367148,December,Scientist,Standard,Yes
34.0,189.9779133713422,20488.463527574197,12.367961671140577,18.156886549682042,40.345382431726215,48.0,17.0,300.27653819112595,1572.5260634702477,7.0,5.0,10.0,15.0,4.0,1414.8709416293289,122.33331077022913,September,Mechanic,Standard,Yes
32.0,173.6855819260295,28961.15117580065,3.4609981884164327,13.17016873834524,30.34338959823044,19.0,19.0,306.3306086391452,3184.8980436945094,10.0,6.0,13.0,16.0,4.0,2976.508167330389,363.7721036918481,September,Journalist,Standard,Yes
36.0,290.8478028881877,21157.64431374547,7.086108035515,23.128171086427585,37.09258384392394,-0.0,6.0,192.76631050682656,1693.0266236474445,6.0,5.0,10.0,7.0,2.0,732.7973547598599,1655.6214028626075,December,Lawyer,Good,No
45.0,28.695992936104194,31261.276651709148,1.7784423718231324,30.525299574759117,32.39686523078586,24.0,4.0,586.0608585906994,3528.747117513935,2.0,5.0,2.0,7.0,1.0,235.91551271820455,4336.749729800391,October,Mechanic,Bad,NM
31.0,92.11320470722194,32122.917608342203,8.162713099797113,4.994753681017471,23.943042257031777,43.0,20.0,259.4346327768295,926.9540485817354,9.0,8.0,11.0,19.0,5.0,1371.9942254270672,70.37217369285881,September,Entrepreneur,Standard,Yes
37.0,94.33686025502122,34353.92923836539,6.280736411445599,13.849655831127166,24.067145850926494,20.0,20.0,418.98918958657646,3653.6359547384004,7.0,4.0,6.0,14.0,3.0,1610.5622922187447,160.92944686390683,November,Accountant,Standard,Yes
32.0,158.77179113026835,90301.3994966304,5.344731057865307,26.60697973007035,32.46238608849381,16.0,9.0,329.83631029919206,4431.628287258268,7.0,5.0,3.0,14.0,4.0,419.5463606405228,223.37637120263128,October,Developer,Good,No
21.0,292.34425299486315,13619.204386636924,6.7270154636039265,18.821232638399465,29.245079699547,14.0,8.0,231.67804649926794,1341.5919481123833,4.0,7.0,6.0,1.0,2.0,401.06044279622654,314.58296035312395,November,Developer,Bad,NM
40.0,473.4706220954373,240520.2482583414,3.0694383367094957,31.575160603797997,32.28069115981778,7.0,12.0,591.171235341685,6750.167230147753,3.0,4.0,6.0,7.0,6.0,701.2444157511397,660.090046294713,November,Manager,Good,Yes
31.0,636.2497462207926,354089.22242914245,2.4144326573425907,19.684914026997774,32.37013536961831,15.0,8.0,425.7248016960906,9236.085771688615,5.0,4.0,5.0,20.0,2.0,495.85339031915447,407.3870007803797,September,Lawyer,Good,No
28.0,55.81229623783654,10204.323517076115,11.785774292401033,14.850431787911248,33.63593610133704,15.0,2.0,316.2523840792651,1340.4218147785807,7.0,6.0,6.0,8.0,2.0,101.89831543931737,1649.7043799818773,September,Musician,Bad,No
39.0,400.7847455828887,49885.26517582997,8.400719933726709,24.76672903008631,34.73155600694306,16.0,7.0,593.3724841780925,6199.788121209735,3.0,3.0,5.0,7.0,7.0,166.57389036782902,261.6900209200163,October,Architect,Bad,No
31.0,140.83265772385565,39162.814750068566,5.605677991211511,32.477645436828425,24.022090405063928,22.0,7.0,295.14663718593,3424.6480926447884,7.0,8.0,10.0,15.0,6.0,969.0194331081932,341.1567100609851,November,Architect,Standard,Yes
37.0,237.89074389244027,25906.852480750596,4.3188966708686465,32.9490229644656,29.75814409382553,6.0,4.0,238.8423600254226,2907.0224096204192,6.0,6.0,7.0,9.0,1.0,611.1651206859552,875.1346499204863,September,Accountant,Bad,No
43.0,39.347111084757756,57567.94188314818,2.4436083928712513,7.5697126206356415,32.315839876635394,32.0,9.0,294.8315949996867,2953.9632416636773,9.0,5.0,8.0,16.0,2.0,1342.19856862549,206.64772512651604,December,Developer,Good,No
28.0,36.317322062911096,12981.092044854424,28.10451209614641,20.180843801949834,33.46667444775821,16.0,7.0,376.50272834808675,2939.333781564117,8.0,6.0,7.0,18.0,5.0,1074.1244518622402,622.6701603020692,October,Teacher,Standard,Yes
41.0,134.69304590641698,98988.33353256194,3.5343439687026432,26.55347726143492,27.28032243169813,-4.0,3.0,529.8927603468621,4285.620219633355,6.0,4.0,2.0,5.0,3.0,262.1986089539694,2815.4331527706013,September,Doctor,Bad,NM
