Age,Age Group,Call Failure,Charge Amount,Churn,Complains,Customer Value,Distinct Called Numbers,Frequency of SMS,Frequency of use,Seconds of Use,Status,Subscription Length,Tariff Plan
41.0,4.0,9.0,1.0,0.0,0.0,133.88603808908175,30.0,28.0,55.0,1731.0,1.0,20.0,1.0
29.0,3.0,0.0,0.0,0.0,0.0,2.148901969630278,4.0,1.0,104.0,462.0,1.0,30.0,1.0
27.0,2.0,1.0,0.0,0.0,0.0,406.4774143022936,50.0,70.0,80.0,2443.0,1.0,40.0,1.0
24.0,2.0,5.0,2.0,0.0,1.0,426.000903988286,65.0,17.0,139.0,9997.0,1.0,18.0,1.0
23.0,2.0,0.0,0.0,0.0,1.0,0.36956553904282036,5.0,0.0,136.0,367.0,1.0,33.0,1.0
38.0,4.0,35.0,4.0,0.0,0.0,204.7659605205183,15.0,87.0,96.0,6608.0,1.0,27.0,1.0
35.0,3.0,0.0,0.0,1.0,0.0,391.6799727446163,32.0,15.0,93.0,6069.0,1.0,34.0,1.0
26.0,2.0,8.0,4.0,0.0,0.0,51.543275196460755,12.0,0.0,117.0,3252.0,1.0,32.0,1.0
38.0,4.0,4.0,3.0,0.0,0.0,529.0960597344853,37.0,69.0,98.0,7576.0,1.0,35.0,1.0
23.0,2.0,3.0,0.0,0.0,0.0,90.95477850867108,34.0,1.0,141.0,8698.0,1.0,29.0,1.0
24.0,2.0,1.0,0.0,0.0,0.0,548.1792467469351,25.0,12.0,124.0,6570.0,1.0,28.0,1.0
25.0,2.0,14.0,1.0,0.0,0.0,620.4511178840221,40.0,97.0,129.0,8819.0,1.0,34.0,1.0
27.0,3.0,1.0,0.0,0.0,1.0,703.4814447438467,28.0,172.0,89.0,3985.0,1.0,30.0,1.0
28.0,3.0,11.0,6.0,0.0,1.0,1087.0571134414492,72.0,33.0,217.0,14152.0,1.0,44.0,2.0
44.0,4.0,9.0,2.0,0.0,0.0,60.5769612362748,41.0,465.0,156.0,11838.0,1.0,42.0,1.0
23.0,2.0,2.0,1.0,0.0,1.0,430.8242937115797,7.0,100.0,27.0,1506.0,1.0,40.0,1.0
29.0,3.0,0.0,0.0,0.0,0.0,0.7138048801430652,5.0,0.0,152.0,64.0,1.0,37.0,1.0
42.0,4.0,0.0,0.0,0.0,0.0,231.7798094866928,11.0,12.0,95.0,6300.0,1.0,24.0,1.0
35.0,3.0,3.0,1.0,0.0,0.0,727.1726612687177,90.0,133.0,172.0,7025.0,1.0,37.0,1.0
26.0,2.0,1.0,0.0,0.0,0.0,16.837922340665948,6.0,3.0,41.0,701.0,1.0,35.0,1.0
37.0,3.0,5.0,6.0,0.0,0.0,593.5003035519564,17.0,154.0,36.0,1235.0,1.0,43.0,1.0
30.0,3.0,7.0,2.0,0.0,0.0,188.26680980845654,25.0,27.0,73.0,5040.0,1.0,34.0,1.0
28.0,3.0,6.0,1.0,0.0,0.0,130.8643636263979,9.0,5.0,54.0,1361.0,1.0,40.0,1.0
22.0,2.0,4.0,0.0,0.0,0.0,224.02913962356965,25.0,9.0,78.0,1530.0,1.0,38.0,1.0
47.0,5.0,0.0,0.0,0.0,0.0,351.76739556861554,30.0,54.0,103.0,3415.0,1.0,36.0,1.0
39.0,4.0,2.0,1.0,0.0,1.0,621.4746423616103,19.0,23.0,102.0,4614.0,1.0,33.0,1.0
40.0,4.0,16.0,2.0,0.0,0.0,2.6251427551444118,30.0,0.0,81.0,1981.0,1.0,19.0,1.0
44.0,4.0,3.0,0.0,0.0,0.0,535.8977997270268,60.0,52.0,159.0,5377.0,1.0,33.0,1.0
28.0,3.0,0.0,0.0,0.0,0.0,3.1866821902623528,10.0,0.0,109.0,21.0,1.0,29.0,1.0
32.0,3.0,1.0,0.0,0.0,0.0,1350.4969857060432,22.0,39.0,57.0,4511.0,1.0,33.0,1.0
27.0,3.0,2.0,1.0,0.0,0.0,127.68806451236658,10.0,3.0,78.0,2975.0,1.0,32.0,1.0
25.0,2.0,0.0,0.0,0.0,0.0,173.07568254436492,1.0,6.0,79.0,351.0,1.0,19.0,1.0
32.0,3.0,16.0,3.0,0.0,1.0,475.3219919580609,34.0,36.0,108.0,10114.0,1.0,29.0,1.0
24.0,2.0,1.0,0.0,0.0,0.0,120.03262965442697,8.0,10.0,34.0,553.0,1.0,21.0,1.0
