Call Failure,Complains,Subscription Length,Charge Amount,Seconds of Use,Frequency of use,Frequency of SMS,Distinct Called Numbers,Age Group,Tariff Plan,Status,Age,Customer Value,Churn
1,0,29,0,1521,80,-6,22,3,1,1,30,40.58565259989604,0
19,1,36,0,-675,-1,-15,5,3,1,1,26,202.20912005023354,0
23,0,38,3,18787,192,108,12,5,1,1,30,-44.86214099105784,0
0,0,35,1,16857,94,80,-5,3,1,1,30,959.271077231107,0
0,0,38,0,9044,172,2,4,3,1,2,16,-52.23841036550512,0
20,1,44,1,14359,77,21,38,2,1,2,25,254.0194661540772,0
14,0,43,2,5285,2,378,22,3,1,1,31,236.31338207079796,0
12,0,39,4,5026,10,-9,11,2,1,2,30,104.91474995443176,0
21,0,38,12,547,183,-6,25,3,1,1,25,-8.54167989203323,0
6,0,41,2,1285,139,44,0,2,1,2,30,173.62197067311783,0
2,0,43,1,15409,61,-13,47,3,1,1,26,252.08284033019342,0
22,0,41,1,2527,66,7,16,2,1,1,25,29.162464419498065,0
17,0,40,1,13252,2,3,19,3,1,1,30,75.36545810803074,0
1,0,25,0,3866,-2,-19,57,3,1,1,31,0.2737632490404138,0
1,0,35,1,2566,96,278,19,3,1,1,30,7.784915912977937,1
4,0,39,3,322,42,277,12,3,1,1,30,29.28969901098803,0
1,0,38,0,377,40,6,30,3,1,1,30,137.54884807173917,0
5,0,17,3,12796,-5,3,18,2,1,1,30,78.36187538660948,0
13,0,36,0,1314,99,22,3,3,1,1,24,114.46734806373054,0
19,0,39,2,5552,1,18,7,3,1,1,25,1829.1827769592326,0
32,0,42,0,300,194,248,0,3,1,1,30,120.88017911403995,0
1,0,39,2,15361,17,-3,15,3,1,1,30,87.81764624663862,0
22,0,41,2,8051,30,-12,20,3,1,1,30,47.16119121098974,1
1,0,44,0,2953,16,168,42,5,1,1,30,29.766402239174653,1
3,0,41,1,807,-3,10,44,3,1,1,30,361.87710831929826,0
15,0,41,0,15552,5,116,6,3,1,1,31,24.123209726695407,0
3,0,44,0,2049,51,9,4,3,1,1,30,895.081625344986,0
0,0,37,0,14545,188,0,11,5,1,1,25,961.2754989512326,0
4,0,38,0,1897,-2,2,8,2,1,1,30,1419.144136660632,0
11,0,28,2,16127,24,-10,7,4,1,2,25,351.5778710185681,0
1,0,31,0,-276,16,-17,42,3,1,1,31,4.176342682404282,0
12,0,36,1,1858,142,-13,0,3,1,1,25,63.035332785028416,0
10,0,38,0,13996,138,18,-1,2,1,1,30,153.0791378896026,1
10,0,32,1,4524,147,42,10,3,1,1,30,-120.33793042709311,0
23,0,35,0,2293,14,-3,25,2,1,1,25,700.8953250164861,0
1,0,37,0,1778,9,17,-1,3,1,1,31,45.67657049307127,0
2,0,41,2,-64,179,34,9,2,1,1,25,247.72930575101503,0
8,0,31,2,339,-5,7,17,3,1,1,30,998.9147238878921,0
1,0,35,0,8907,166,21,4,4,1,1,30,103.17827171833767,0
10,0,13,0,666,135,43,28,3,1,1,30,-18.739972012620868,0
20,0,41,1,2231,54,33,7,3,1,1,30,285.5959092049641,0
25,0,41,0,751,41,14,43,3,1,1,31,3.492430976283586,0
5,0,41,3,2497,58,158,36,3,1,2,24,265.36182300553,0
5,0,37,2,9622,38,181,2,3,1,1,30,453.41451065110687,0
11,0,34,0,2808,86,18,11,3,1,1,45,133.56064905257756,0
6,0,43,0,16152,67,140,12,3,1,1,31,74.72064990176625,0
1,0,42,3,17163,68,-1,13,3,1,1,25,677.2053909657329,0
32,1,45,1,2911,34,-3,13,4,1,1,31,-8.452004532022585,0
13,0,39,0,2310,61,-17,19,3,1,1,46,87.89556267081427,0
35,0,39,1,-62,64,0,11,3,1,1,30,109.46041234974452,0
12,0,45,0,3501,94,-4,28,3,1,1,30,265.4095100765972,0
5,0,7,0,3479,91,401,25,2,1,1,26,684.3106395419713,1
2,0,44,3,2291,40,12,35,2,1,2,25,857.2664688862552,1
0,0,33,0,2089,70,13,24,2,1,2,30,1759.2735876562529,0
1,0,38,0,2931,43,-16,25,3,1,1,30,1676.45624052149,0
