CO(GT),PT08.S1(CO),C6H6(GT),PT08.S2(NMHC),NOx(GT),PT08.S3(NOx),NO2(GT),PT08.S4(NO2),PT08.S5(O3),T,RH,AH
0.3,801.0,1.0,503.0,22.0,1509.0,48.0,1113.0,474.0,18.6,51.1,1.0424
0.7,1032.0,4.2,721.0,115.0,988.0,38.0,1509.0,684.0,19.5,59.7,1.1144
0.7,912.0,2.7,631.0,68.0,923.0,80.0,1144.0,603.0,21.3,36.7,0.8827
0.9,906.0,3.4,677.0,109.0,999.0,58.0,1257.0,716.0,14.3,64.1,1.224
2.2,1436.0,19.1,1264.0,317.0,611.0,138.0,1860.0,1501.0,15.5,53.7,1.0256
5.9,1349.0,18.5,1249.0,903.0,575.0,169.0,1491.0,1691.0,15.3,45.6,0.6575
1.3,959.0,3.3,670.0,223.0,733.0,98.0,1026.0,889.0,5.6,77.4,1.1109
3.1,1214.0,21.2,1337.0,318.0,617.0,127.0,1778.0,1095.0,22.9,36.2,0.8879
2.1,1099.0,7.0,847.0,148.0,862.0,138.0,1374.0,1001.0,14.1,49.0,0.7935
4.1,1403.0,23.3,1396.0,461.0,609.0,111.0,1943.0,1298.0,29.5,47.7,1.3837
1.0,967.0,2.8,640.0,136.0,903.0,68.0,1120.0,741.0,10.7,59.9,0.8488
0.8,871.0,3.4,679.0,125.0,1074.0,75.0,1143.0,733.0,17.5,37.3,0.7406
1.0,923.0,4.5,736.0,103.0,980.0,92.0,1168.0,649.0,27.5,24.4,0.7357
0.4,774.0,1.8,575.0,55.0,949.0,59.0,916.0,464.0,24.0,26.1,1.2038
0.5,892.0,2.1,597.0,30.0,866.0,50.0,1345.0,531.0,21.2,61.7,1.6089
1.8,1028.0,12.2,1063.0,169.0,783.0,109.0,1627.0,1211.0,19.0,27.8,0.8871
2.8,1071.0,19.1,1277.0,208.0,866.0,144.0,1937.0,925.0,34.0,24.6,1.094
1.6,997.0,6.4,825.0,381.0,943.0,166.0,1000.0,765.0,4.7,37.4,0.2809
1.5,1029.0,4.0,713.0,277.0,782.0,101.0,1054.0,1019.0,3.5,77.4,0.8107
0.9,810.0,2.4,610.0,99.0,1482.0,92.0,1087.0,424.0,19.3,38.3,0.8579
1.1,1032.0,4.7,749.0,214.0,1050.0,114.0,917.0,835.0,13.7,38.3,0.4867
2.6,1226.0,12.1,1048.0,301.0,738.0,89.0,1910.0,1616.0,12.0,85.6,1.8472
1.9,1253.0,8.5,918.0,226.0,990.0,82.0,1433.0,1037.0,7.9,66.0,0.8038
8.3,1531.0,35.7,1682.0,1396.0,394.0,291.0,1606.0,2174.0,17.1,29.8,0.6344
4.8,1162.0,15.9,1175.0,226.0,831.0,120.0,2038.0,918.0,22.1,53.8,1.2794
1.9,1088.0,11.2,1015.0,232.0,932.0,132.0,1616.0,814.0,30.5,24.3,0.9482
1.2,1090.0,5.6,791.0,152.0,894.0,74.0,1173.0,1083.0,4.9,77.2,0.8359
3.1,1307.0,11.9,1046.0,351.0,922.0,96.0,1796.0,1391.0,14.7,71.0,1.0393
8.9,2040.0,63.7,2154.0,753.0,346.0,236.0,2775.0,2503.0,41.6,32.2,1.995
1.1,1108.0,10.5,1002.0,328.0,635.0,93.0,1464.0,1332.0,16.0,76.9,1.5977
2.2,1226.0,10.1,980.0,298.0,636.0,115.0,1563.0,1493.0,17.2,61.7,1.2784
1.7,1076.0,6.9,847.0,349.0,829.0,128.0,940.0,936.0,9.4,47.6,0.4205
2.0,1186.0,15.2,1159.0,428.0,559.0,168.0,1587.0,1475.0,18.0,56.3,1.2551
