Call Failure,Complains,Subscription Length,Charge Amount,Seconds of Use,Frequency of use,Frequency of SMS,Distinct Called Numbers,Age Group,Tariff Plan,Status,Age,Customer Value,Churn
0,1,39,0,59,1,8,3,2,2,2,26,2.069,1
0,1,36,0,1351,15,6,9,2,2,1,28,535.98,1
0,1,40,0,781,7,195,4,3,2,2,41,26.605,1
0,1,29,0,9728,126,2,28,4,2,1,52,1632.276,1
0,1,37,0,1,0,1,0,2,2,1,27,0.042,1
0,1,28,0,10516,159,0,28,2,2,1,25,582.174,1
13,1,27,0,11329,143,255,55,3,2,1,36,1435.153,1
0,1,20,0,73,1,4,2,2,2,1,25,18.521,1
2,1,38,0,1507,16,1,20,4,2,2,47,80.142,1
8,1,36,0,9622,152,411,48,3,2,1,42,1574.083,1
1,1,34,1,974,12,1,11,3,2,1,47,3.557,1
0,1,8,0,238,9,9,8,2,2,2,32,18.522,1
2,1,16,0,8311,119,5,62,3,2,1,38,720.551,1
3,1,32,0,11949,181,15,85,2,2,1,25,1196.748,1
0,1,40,0,425,9,117,6,3,2,1,39,45.043,1
4,1,13,0,15312,235,370,51,4,2,1,50,1075.662,1
2,1,40,0,2383,35,24,13,2,2,2,26,68.042,1
0,1,36,0,5390,47,1,13,3,2,2,42,584.461,1
0,1,21,0,6336,96,348,44,2,2,1,26,1139.613,1
0,1,39,0,4076,37,25,10,3,2,2,42,145.594,1
3,1,37,0,2242,56,313,27,3,2,2,41,156.444,1
0,1,31,0,95,1,1,2,2,2,1,25,26.352,1
1,1,27,0,11359,141,61,62,3,2,1,42,890.611,1
0,1,21,0,5107,51,12,16,2,2,1,31,105.708,1
0,1,37,0,4035,53,3,21,2,2,2,29,201.916,1
4,1,36,0,1431,15,25,8,3,2,1,35,170.246,1
0,1,34,0,1465,11,23,5,2,2,1,28,334.793,1
3,1,26,0,5577,64,0,13,2,2,1,31,191.578,1
0,1,35,0,7,0,0,1,3,2,2,35,0.0,1
9,1,31,1,17090,255,4,97,4,2,1,53,888.975,1
0,1,26,0,1034,8,0,5,2,2,2,33,21.767,1
0,1,39,0,9327,87,7,32,3,2,1,37,803.767,1
4,1,44,0,2349,42,35,29,2,2,1,31,24.257,1
1,1,35,1,7662,63,0,28,3,2,1,40,53.846,1
0,1,37,0,236,6,5,6,2,2,2,33,3.145,1
2,1,29,0,7223,101,13,47,3,2,1,42,715.176,1
0,1,3,0,73,1,0,1,4,2,1,52,1.684,1
2,1,32,0,8179,117,372,40,4,2,1,48,1336.116,1
0,1,41,0,825,7,0,2,2,2,1,33,422.173,1
0,1,31,0,3102,28,212,21,3,2,1,35,426.332,1
1,1,34,0,2780,28,3,9,3,2,1,42,43.089,1
8,1,36,0,11535,152,34,59,3,2,1,41,832.623,1
1,1,40,0,2835,38,6,10,2,2,1,30,674.985,1
6,1,30,0,13827,193,42,45,2,2,1,26,1645.519,1
9,1,40,0,6401,75,60,33,2,2,2,32,287.753,1
1,1,40,0,11193,133,10,48,2,2,1,28,400.124,1
0,1,22,1,9782,108,292,40,3,2,1,40,1775.722,1
0,1,33,0,2398,18,9,6,2,2,1,29,176.609,1
0,1,28,0,2412,33,9,21,3,2,1,40,112.701,1
14,1,42,1,8052,84,323,35,2,2,1,33,1034.247,1
0,1,18,0,5489,42,2,17,2,2,1,25,444.828,1
1,1,30,0,11140,169,449,49,5,2,1,54,2071.347,1
0,1,27,0,2526,47,4,16,2,2,1,31,683.904,1
0,1,33,0,3270,35,1,21,2,2,1,34,405.317,1
13,1,35,0,14623,203,245,55,2,2,1,26,1838.074,1
18,1,42,0,9654,130,125,40,2,2,1,27,440.87,1
0,1,19,0,1071,25,3,18,3,2,2,33,257.389,1
0,1,36,0,4287,42,102,15,2,2,1,29,849.28,1
0,1,31,0,1307,20,0,15,3,2,2,35,177.381,1
2,1,34,0,6524,109,42,27,2,2,1,26,1268.828,1
0,1,32,0,2,0,0,0,2,2,1,33,0.134,1
0,1,27,0,1643,22,85,14,2,2,1,27,252.828,1
0,1,27,0,2198,23,28,19,2,2,1,27,51.222,1
3,1,31,0,721,20,1,8,3,2,2,44,15.799,1
0,1,36,0,163,3,33,3,2,2,1,33,113.687,1
0,1,40,0,321,6,0,8,2,2,1,29,7.226,1
20,1,34,0,10150,169,144,40,2,2,2,25,1468.14,1
3,1,40,0,2025,32,0,9,2,2,1,28,32.659,1
14,1,39,0,11194,167,362,72,2,2,1,25,1776.87,1
8,1,43,0,16468,255,65,97,2,2,2,30,1703.147,1
0,1,32,1,2507,35,101,24,3,2,1,41,337.358,1
0,1,40,0,55,1,44,2,2,2,1,35,1.979,1
0,1,37,0,478,12,140,6,2,2,2,28,299.451,1
20,1,39,0,17090,255,128,94,3,2,1,38,1875.098,1
0,1,35,0,1981,21,48,23,3,2,1,42,271.732,1
3,1,35,0,9631,155,187,41,2,2,1,27,1514.356,1
0,1,32,0,3185,37,66,13,2,2,1,29,194.065,1
0,1,8,0,949,21,35,10,2,2,2,25,61.147,1
3,1,25,0,2994,46,57,28,2,2,1,25,314.28,1
19,1,35,0,6993,86,319,27,3,2,1,35,1673.007,1
0,1,37,0,3588,26,5,18,2,2,1,27,636.792,1
0,1,11,0,16129,255,129,78,5,2,1,55,1507.13,1
0,1,28,0,207,3,0,3,2,2,1,25,33.837,1
0,1,37,0,137,5,0,10,2,2,1,26,7.704,1
0,1,36,0,140,4,3,6,3,2,2,34,45.522,1
3,1,26,0,11,1,323,1,3,2,2,35,17.258,1
0,1,21,0,13636,183,57,45,2,2,1,30,1302.55,1
0,1,16,0,125,4,42,1,2,2,2,25,3.631,1
1,1,42,0,178,2,60,1,2,2,1,25,160.874,1
0,1,37,0,3967,36,35,14,2,2,1,28,236.985,1
0,1,26,0,6248,73,8,40,2,2,1,27,152.471,1
2,1,34,0,1088,10,0,8,2,2,1,28,7.098,1
1,1,36,0,4744,59,118,39,2,2,2,27,409.717,1
0,1,40,0,246,2,2,2,2,2,2,27,7.603,1
0,1,46,0,3344,40,19,17,2,2,2,27,284.495,1
2,1,31,0,9887,115,54,41,2,2,1,26,947.734,1
0,1,16,0,5348,59,0,12,2,2,1,25,479.046,1
0,1,32,3,580,5,65,10,2,2,1,25,386.364,1
1,1,27,0,6222,72,2,36,2,2,1,25,229.861,1
2,1,35,0,3673,72,1,31,2,2,2,27,84.595,1
6,1,32,0,3888,52,22,12,3,2,1,40,226.847,1
0,1,25,1,4076,50,0,20,3,2,1,44,121.381,1
1,1,42,0,749,7,0,8,2,2,2,27,0.585,1
2,1,15,0,1856,27,2,13,3,2,1,37,465.934,1
3,1,28,0,6389,83,28,30,4,2,1,50,152.112,1
0,1,17,0,3015,49,37,13,2,2,1,30,975.752,1
0,1,27,0,431,6,98,6,2,2,1,30,727.807,1
0,1,19,0,501,8,117,2,2,2,1,26,298.141,1
0,1,21,0,964,13,79,7,2,2,1,25,284.663,1
1,1,26,0,6367,59,114,21,2,2,1,25,956.389,1
0,1,40,0,6474,63,11,18,2,2,1,26,96.103,1
0,1,26,0,2994,36,453,5,3,2,1,46,361.94,1
21,1,40,1,5435,83,508,28,2,2,1,28,854.152,1
1,1,31,0,243,5,2,3,3,2,1,45,24.761,1
3,1,20,0,5591,63,7,12,2,2,1,26,587.234,1
0,1,29,0,365,7,1,10,2,2,1,25,55.277,1
0,1,34,0,2000,27,2,6,2,2,2,25,117.491,1
0,1,39,0,55,2,0,5,4,2,1,49,0.173,1
4,1,35,0,13026,187,17,49,2,2,2,30,918.193,1
0,1,34,0,1860,19,46,17,2,2,1,29,93.998,1
0,1,43,0,4305,78,149,30,4,2,1,46,945.338,1
0,1,34,0,10332,95,10,19,2,2,1,26,1543.225,1
0,1,31,0,21,0,26,0,3,2,2,37,4.029,1
3,1,34,0,10868,140,85,32,2,2,2,28,1887.536,1
12,1,29,0,12049,207,216,40,2,2,2,27,1010.028,1
0,1,36,0,3007,36,9,12,2,2,1,25,103.346,1
2,1,34,0,5589,64,28,20,2,2,1,32,1058.779,1
1,1,43,0,14769,189,37,79,4,2,1,50,1674.017,1
0,1,32,0,5979,39,1,12,2,2,1,29,700.419,1
0,1,36,0,9,0,114,1,3,2,2,46,4.812,1
0,1,39,0,46,1,1,1,2,2,2,25,2.126,1
3,1,28,0,3631,46,79,14,2,2,1,25,832.347,1
0,1,39,0,13801,171,189,44,5,2,1,55,1467.843,1
14,1,42,4,10249,99,126,38,4,2,1,49,1305.293,1
7,1,25,3,14910,217,507,49,4,2,1,50,2075.54,1
0,1,21,0,6638,48,21,15,2,2,1,28,902.942,1
0,1,40,0,481,10,191,6,2,2,2,29,465.384,1
4,1,23,1,1195,28,43,11,3,2,2,37,387.547,1
0,1,36,0,234,4,0,3,2,2,1,25,9.329,1
0,1,18,0,6386,84,427,20,2,2,1,30,1174.183,1
0,1,36,0,599,11,6,4,2,2,2,25,170.774,1
0,1,25,0,676,6,80,9,5,2,2,55,61.213,1
0,1,28,0,3788,42,19,23,2,2,1,28,856.782,1
0,1,33,0,1625,25,115,11,2,2,2,32,357.178,1
0,1,34,0,2764,31,0,5,2,2,1,26,94.809,1
1,1,38,0,1062,17,136,7,2,2,1,33,325.288,1
3,1,40,0,17090,255,145,96,2,2,1,26,2129.239,1
0,1,37,0,5842,54,89,19,2,2,1,27,539.332,1
0,1,32,0,46,2,0,4,3,2,2,44,0.08,1
0,1,34,0,1867,30,27,17,2,2,1,26,364.721,1
2,1,42,0,1774,26,3,31,2,2,1,25,251.085,1
0,1,34,0,8220,123,136,51,2,2,1,25,1283.805,1
0,1,41,0,73,1,1,1,2,2,1,28,5.65,1
0,1,14,0,10215,85,8,47,2,2,1,34,671.504,1
12,1,34,0,440,10,327,4,3,2,2,39,19.42,1
0,1,31,0,12116,142,141,25,2,2,1,32,953.422,1
0,1,42,0,51,1,4,2,2,2,2,25,3.619,1
0,1,35,2,3582,21,283,13,3,2,1,41,1420.362,1
0,1,37,0,685,6,183,18,2,2,1,33,259.411,1
0,1,34,0,734,5,0,4,2,2,2,25,27.435,1
0,1,11,0,211,1,1,1,3,2,1,44,44.262,1
6,1,34,0,12177,165,380,44,3,2,1,44,2046.076,1
0,1,33,0,171,1,37,1,2,2,1,27,13.03,1
0,1,34,0,457,6,71,4,5,2,1,55,61.293,1
5,1,27,0,4269,79,353,20,2,2,1,33,852.834,1
0,1,31,0,27,0,30,0,2,2,1,25,9.088,1
3,1,44,0,663,14,502,5,3,2,1,36,1308.677,1
0,1,32,0,3412,58,105,21,3,2,1,38,65.465,1
7,1,35,0,10683,150,404,44,3,2,1,42,1889.249,1
0,1,31,0,1990,34,1,19,2,2,1,27,123.04,1
7,1,40,0,6098,52,133,17,2,2,1,33,856.591,1
3,1,36,0,7999,71,37,14,3,2,1,36,283.073,1
1,1,32,0,139,5,202,6,2,2,1,27,80.493,1
15,1,41,1,6723,86,46,37,2,2,1,28,168.371,1
0,1,34,0,14,1,2,0,2,2,2,25,21.29,1
0,1,11,0,7795,68,0,22,2,2,1,33,145.216,1
0,1,33,0,432,11,50,8,2,2,1,28,12.235,1
0,1,33,0,2026,16,58,3,2,2,1,30,414.602,1
0,1,37,0,7462,86,144,25,2,2,1,32,1139.533,1
0,1,28,0,5878,98,38,36,2,2,1,25,512.399,1
15,1,40,1,1206,25,317,10,2,2,1,25,205.333,1
2,1,40,0,12353,172,19,50,3,2,1,37,583.608,1
0,1,17,0,3,0,3,0,3,2,2,38,0.025,1
0,1,43,0,4117,51,0,12,2,2,1,26,246.284,1
0,1,35,0,38,1,14,1,2,2,2,33,4.267,1
2,1,39,1,10671,163,440,37,5,2,1,55,1536.902,1
15,1,42,0,9089,119,23,41,3,2,1,39,247.036,1
1,1,38,0,215,5,15,4,2,2,1,27,22.859,1
0,1,44,0,12,1,1,1,2,2,2,26,0.296,1
0,1,33,0,4936,58,371,28,2,2,1,32,1256.4,1
17,1,42,3,11046,149,161,40,2,2,1,26,1131.994,1
0,1,32,0,2427,39,0,28,2,2,1,27,100.063,1
2,1,24,0,3787,48,4,10,3,2,1,39,359.681,1
4,1,33,0,11550,179,461,66,2,2,1,26,2012.992,1
0,1,44,0,4084,67,37,18,2,2,1,27,1020.9,1
0,1,28,0,224,2,0,1,3,2,1,35,1.259,1
0,1,37,0,246,2,0,1,2,2,2,30,7.007,1
4,1,37,0,38,1,63,1,2,2,2,26,1.749,1
8,1,28,0,10697,139,522,51,2,2,2,29,1599.607,1
2,1,29,0,12797,159,87,25,4,2,1,46,1216.02,1
1,1,38,3,3840,28,1,13,2,2,1,33,98.474,1
9,1,36,0,11016,166,520,62,2,2,1,26,2165.28,1
1,1,32,0,4127,52,0,20,2,2,1,30,126.788,1
2,1,43,0,7399,67,7,26,5,2,2,55,289.255,1
1,1,26,1,8739,100,3,21,2,2,1,28,178.424,1
0,1,42,0,9704,129,156,40,2,2,1,26,1306.093,1
0,1,33,0,167,3,0,4,3,2,2,39,3.181,1
5,1,35,0,7164,90,18,14,4,2,1,43,532.799,1
2,1,36,0,3712,40,63,24,2,2,1,26,591.771,1
3,1,39,0,2388,28,8,15,4,2,2,49,47.947,1
0,1,31,0,1435,22,0,5,2,2,2,26,66.515,1
1,1,33,0,1492,35,377,17,3,2,1,42,155.05,1
14,1,31,1,12963,195,324,48,3,2,1,42,723.865,1
