X1 house age,X2 distance MRT station,X3 number convenience stores,X4 lat,X5 long,X6 price
38.2,1983.1896,1,24.97881,121.54345,24.7
0.7,2701.05471,2,24.96222,121.5636,17.7
6.8,1978.33724,0,24.95483,121.5434,23.6
26.4,64.89965,7,24.97732,121.56142,45.1
1.2,724.50313,0,24.96166,121.55919,46.3
23.6,281.61158,8,24.97833,121.53613,58.4
11.5,390.09426,1,24.98509,121.5616,49.6
42.6,1699.21125,0,24.95608,121.55289,17.6
20.3,1506.19938,2,24.97037,121.53383,39.3
1.1,1898.07049,3,24.96913,121.55607,27.9
21.0,435.58152,8,24.97754,121.56276,48.1
1.8,619.74736,0,24.96852,121.56547,42.4
22.4,524.42049,4,24.99064,121.55047,49.8
0.2,270.34474,0,24.98609,121.55929,57.9
35.8,2281.08385,0,24.9631,121.54903,31.0
30.3,223.82329,1,24.98284,121.56248,48.0
10.8,1793.12578,0,24.9696,121.53742,21.9
0.9,96.34973,7,24.97491,121.54768,44.4
6.2,847.2237,4,24.98349,121.54793,31.8
38.4,613.97424,6,24.95845,121.53091,27.6
34.9,1632.6341,0,24.97294,121.56023,16.6
12.1,586.05675,0,24.98316,121.56304,41.8
28.4,623.27958,0,24.96644,121.54927,20.3
9.4,2099.81269,1,24.97179,121.54505,30.8
8.0,192.02822,1,24.96997,121.56487,62.9
10.6,71.60607,1,24.98108,121.56585,55.6
4.2,106.87348,3,24.96236,121.56061,45.4
8.9,130.39594,8,24.96725,121.55721,65.7
1.2,58.92145,1,24.9838,121.56575,56.7
2.2,549.04094,0,24.96595,121.56055,43.7
12.7,1590.30186,0,24.97618,121.54404,39.9
21.2,316.63229,5,24.96298,121.56044,48.9
0.7,475.59849,0,24.95889,121.56154,29.5
0.3,683.87296,4,24.98132,121.55558,61.4
1.3,1643.91111,2,24.96395,121.55661,35.0
32.8,88.61276,7,24.96323,121.56618,50.0
26.5,1141.3953,0,24.98219,121.56094,33.3
16.2,1344.97906,1,24.96979,121.54418,22.6
15.3,691.9866,3,24.96993,121.56505,55.3
32.7,906.87567,0,24.96322,121.55527,24.6
17.1,36.11821,9,24.98125,121.56004,69.7
14.9,363.2423,7,24.95539,121.55484,48.1
28.4,2780.39472,0,24.9728,121.526,37.9
38.4,1719.81663,3,24.96122,121.55217,29.9
32.2,126.34255,7,24.96533,121.55945,32.9
28.2,2937.25154,0,24.96114,121.52378,21.0
0.3,1244.24803,0,24.94827,121.56018,36.9
2.5,145.60168,10,24.98253,121.55893,60.3
3.1,454.03837,4,24.98058,121.54555,62.6
2.4,1472.93297,0,24.97109,121.54918,37.0
0.3,2150.08474,0,24.96303,121.56338,37.1
36.1,196.41706,9,24.983,121.55087,61.9
25.4,1883.30229,4,24.9681,121.55372,26.6
10.2,31.48965,8,24.99218,121.56152,62.4
12.0,306.20748,3,24.955,121.53216,44.7
1.7,109.22396,1,24.96763,121.5591,51.8
22.2,1092.32766,1,24.9846,121.52676,34.8
11.2,1877.15159,0,24.95849,121.54416,32.3
3.6,198.34939,6,24.97987,121.557,42.8
30.2,1678.9663,0,24.9543,121.55508,33.3
23.1,1271.49514,2,24.96998,121.55695,31.1
7.8,1063.27314,3,24.97083,121.55574,34.6
21.2,253.86123,1,24.974,121.53598,32.1
1.6,1570.91131,4,24.96872,121.55491,39.4
16.5,688.00541,7,24.96679,121.54225,30.8
1.8,138.85874,1,24.95234,121.56406,46.9
0.6,285.64135,0,24.9721,121.5593,42.0
12.9,1839.69633,2,24.96923,121.53708,25.8
42.0,918.86231,3,24.97484,121.54205,45.2
8.5,882.32175,2,24.96947,121.54894,43.5
26.4,2607.05911,3,24.94332,121.54741,20.7
6.6,299.99447,0,24.96631,121.55817,37.7
5.1,2606.95562,0,24.95992,121.53858,20.8
24.2,796.32762,0,24.95911,121.56457,38.7
23.9,381.94453,0,24.96092,121.56296,52.8
4.3,485.34911,3,24.97243,121.55678,39.1
5.6,813.12008,1,24.96967,121.53908,39.2
2.2,29.50868,6,24.94941,121.55881,66.8
6.8,51.5842,4,24.96388,121.56224,53.2
5.6,33.35837,8,24.97926,121.5654,75.6
30.4,1961.26588,2,24.96445,121.53255,36.2
0.9,1823.9387,0,24.98101,121.55954,35.6
2.2,1134.46245,0,24.97712,121.56019,44.3
2.1,339.88986,0,24.96608,121.56076,47.8
30.3,1702.3123,0,24.96296,121.56095,17.3
24.9,864.79878,6,24.96031,121.55142,32.4
33.7,552.88966,0,24.97813,121.56304,29.6
24.6,1324.91257,8,24.96302,121.51692,22.2
3.9,210.75066,6,24.97066,121.55726,57.9
38.8,317.74244,6,24.98302,121.56356,32.8
6.5,815.89504,0,24.95186,121.54409,34.1
7.6,509.56113,0,24.95582,121.55972,32.3
42.4,1822.01321,1,24.9696,121.53816,21.4
21.0,1894.9931,2,24.97497,121.55258,22.0
10.8,901.83154,1,24.96955,121.53877,47.4
9.4,495.82086,0,24.95952,121.55695,26.0
11.4,65.7419,8,24.9756,121.55914,37.4
1.9,2391.58638,1,24.95829,121.53606,22.7
37.5,881.48352,0,24.94539,121.56045,30.8
28.3,993.2783,9,24.96762,121.56092,33.3
32.7,1558.17098,0,24.97383,121.50426,26.1
10.5,1103.59487,0,24.97446,121.55005,41.6
8.3,146.11946,5,24.97872,121.54229,34.2
3.1,341.39388,1,24.96335,121.56415,37.0
2.7,2092.314,0,24.95874,121.51355,25.9
21.9,1604.41133,1,24.97577,121.5313,39.9
0.7,46.77769,4,24.96532,121.56361,38.7
35.9,231.55544,1,24.98421,121.55767,32.2
2.2,2246.60397,5,24.97434,121.54642,32.3
21.2,1824.5437,1,24.97113,121.54749,34.2
15.8,1449.97535,0,24.96606,121.54536,30.0
25.7,1437.57955,0,24.96435,121.54617,25.9
1.7,193.08805,4,24.95635,121.56429,42.4
1.1,644.58864,10,24.97645,121.56153,59.8
12.3,1790.07944,10,24.9735,121.56282,24.6
21.0,2348.78295,0,24.95623,121.53204,28.8
39.3,929.41176,0,24.95703,121.55739,24.9
25.9,278.22577,10,24.98802,121.5618,65.1
3.4,249.9911,1,24.98658,121.56082,48.1
1.1,110.24878,5,24.96989,121.54931,56.7
19.6,716.11913,0,24.96925,121.5275,35.5
18.3,545.70565,0,24.95427,121.54721,30.4
23.1,57.0101,7,24.96757,121.55993,53.9
13.7,164.93298,10,24.97126,121.54941,40.2
0.6,121.86682,6,24.96424,121.54855,50.7
32.9,1645.33196,0,24.9723,121.5053,32.0
26.0,290.04165,6,24.96086,121.55806,34.7
5.4,235.66965,1,24.97484,121.56477,53.5
5.1,674.22666,1,24.97526,121.5532,36.8
20.6,2706.01741,8,24.98358,121.54653,38.2
1.4,1007.6944,6,24.97295,121.56056,41.7
2.6,61.67102,7,24.9802,121.56353,67.4
2.8,639.54834,2,24.95532,121.55615,38.2
31.3,470.24839,8,24.9771,121.55804,44.1
23.4,215.17264,0,24.97568,121.56429,39.3
14.4,1657.16243,5,24.95077,121.54181,29.2
29.4,1205.21645,5,24.97504,121.56491,27.5
7.5,1887.23005,1,24.98646,121.53682,35.6
4.9,1568.67089,0,24.95028,121.55252,21.4
4.8,1413.38891,0,24.97282,121.55854,35.3
26.8,1077.99716,1,24.97008,121.53342,37.9
11.6,401.22448,7,24.98348,121.54486,47.1
2.8,1369.83422,1,24.96683,121.56155,48.8
1.9,107.90525,4,24.97903,121.56611,66.4
11.2,655.0498,0,24.96336,121.535,38.5
40.2,1936.0608,1,24.98352,121.5285,29.2
1.2,1543.09195,3,24.96524,121.51043,38.8
33.6,739.02123,0,24.9656,121.55688,48.8
19.8,224.3261,0,24.97354,121.56194,32.0
0.3,757.80171,2,24.97707,121.5642,39.7
30.4,700.26521,1,24.97734,121.55004,31.0
14.9,1157.21511,0,24.95871,121.54218,19.1
2.4,86.15488,4,24.97712,121.56219,41.4
30.0,144.28288,0,24.97403,121.55455,34.1
3.8,978.68717,1,24.97549,121.55261,39.4
23.4,2651.35318,3,24.96149,121.54417,19.8
13.8,753.29509,4,24.93527,121.55074,25.8
42.2,1289.56163,0,24.95929,121.51908,16.6
24.0,1028.70378,1,24.93978,121.55424,28.7
14.7,1081.17678,5,24.96949,121.56047,26.4
3.4,1088.74937,0,24.96779,121.56431,34.2
32.6,287.46618,3,24.9853,121.56162,49.4
19.6,1806.42885,1,24.95582,121.50347,22.7
9.0,524.55394,8,24.97254,121.56449,41.6
12.1,544.75872,6,24.97726,121.5508,33.2
16.3,227.79439,2,24.96948,121.55814,46.5
13.0,307.37852,0,24.97354,121.53845,58.5
6.2,820.68071,8,24.97042,121.54028,35.5
13.0,5536.44471,2,24.96242,121.56201,23.6
1.4,328.51287,6,24.97421,121.55994,40.5
37.1,969.17665,6,24.9596,121.54209,34.3
0.4,1385.59385,6,24.94769,121.54065,28.9
29.8,1377.27169,9,24.97541,121.55999,22.9
40.7,5545.29088,0,24.93489,121.53537,16.7
0.6,108.38633,0,24.96652,121.55976,44.3
8.3,1415.2113,1,24.96083,121.55578,32.7
3.2,134.63545,2,24.96879,121.56318,48.6
2.4,189.51477,2,24.97211,121.54856,54.1
18.5,1892.19291,0,24.96552,121.52133,28.4
36.6,3251.04579,8,24.97145,121.5208,22.2
23.9,407.04941,1,24.96304,121.56293,36.7
20.9,1458.79216,0,24.95737,121.5317,25.4
22.1,2431.18381,1,24.97794,121.54321,23.9
18.7,44.90574,10,24.98897,121.56588,56.9
17.4,703.80158,1,24.97594,121.55666,45.0
43.0,1914.50253,9,24.95515,121.54449,16.6
2.7,2419.26626,0,24.96408,121.52901,24.9
29.2,1590.29049,4,24.96014,121.53235,34.2
30.8,959.86293,6,24.97185,121.55982,37.5
10.0,598.7074,0,24.95546,121.54503,30.9
3.9,1784.23373,2,24.96114,121.53022,41.3
19.3,666.46334,0,24.98224,121.55546,33.6
36.3,1588.16008,0,24.9626,121.55478,23.9
4.1,2383.27948,2,24.96926,121.52557,27.6
32.1,1387.90659,5,24.97796,121.54941,34.3
3.3,553.31852,2,24.9724,121.54493,41.5
5.2,1239.03547,0,24.98125,121.55,43.7
0.9,1317.0501,0,24.97846,121.55997,38.5
31.1,188.77273,8,24.96424,121.56501,40.7
22.5,130.8839,0,24.97292,121.56598,50.0
3.6,1626.48545,0,24.96691,121.54667,24.6
12.5,419.18917,0,24.98614,121.56282,42.7
10.5,404.02939,0,24.95639,121.54606,33.9
2.9,414.9559,0,24.97457,121.5465,30.3
31.9,1289.78081,0,24.95629,121.54841,35.5
26.4,738.11463,3,24.95974,121.55723,28.7
6.3,884.07723,0,24.96209,121.55336,29.0
28.8,477.57013,8,24.98584,121.55151,32.2
7.1,1196.67097,2,24.97305,121.55293,38.3
0.0,668.08049,2,24.97063,121.56251,36.3
7.6,3350.52917,3,24.95012,121.55877,20.8
36.8,476.26438,0,24.97676,121.56417,29.6
20.0,2509.21276,6,24.97515,121.54792,37.3
1.2,381.20704,2,24.9704,121.53662,49.3
2.4,4352.27016,0,24.95895,121.53847,19.7
2.0,3072.37822,0,24.94777,121.55202,21.0
13.9,369.30401,10,24.97934,121.54415,68.0
2.7,52.79343,9,24.97888,121.5638,60.3
3.2,1232.75017,1,24.9718,121.53137,25.9
27.5,586.12391,1,24.96629,121.55136,29.5
27.3,464.89233,2,24.97086,121.55711,43.7
35.8,2038.87808,10,24.97996,121.54669,28.8
16.7,93.55917,7,24.95197,121.55632,48.8
4.2,923.15328,0,24.9531,121.56132,41.2
2.8,201.85688,0,24.98546,121.55626,51.4
34.9,1749.39992,2,24.96466,121.56059,36.5
1.2,693.86602,1,24.97309,121.56535,40.9
4.8,294.66778,1,24.9699,121.55656,33.5
2.6,3680.22948,0,24.96176,121.5347,19.7
17.7,426.70089,5,24.97409,121.53845,27.3
8.9,168.09474,8,24.98579,121.5206,61.6
7.5,102.16801,8,24.97519,121.55074,48.0
9.1,203.85855,7,24.97859,121.55333,57.8
31.7,725.71174,1,24.96579,121.56365,20.9
11.0,2461.6817,1,24.97127,121.53133,21.7
14.0,1232.34916,7,24.98411,121.56067,29.3
10.4,291.87919,3,24.96332,121.56373,38.7
13.8,118.49841,1,24.96233,121.5662,40.9
14.1,539.21171,7,24.94842,121.53703,30.2
2.7,2014.28405,1,24.96629,121.5275,20.3
17.3,404.36938,3,24.97626,121.56077,63.4
15.2,3885.76405,1,24.96284,121.50548,23.2
17.9,776.45117,1,24.98121,121.56209,35.5
33.4,2579.81416,0,24.97245,121.48708,24.9
16.1,492.41539,2,24.95954,121.51713,35.2
34.1,185.19393,4,24.98362,121.56088,46.7
6.4,4039.21093,0,24.95201,121.52676,19.1
1.6,55.50894,10,24.97221,121.54562,49.0
9.7,559.18959,5,24.96655,121.55551,46.2
41.7,1442.37206,2,24.96419,121.55376,22.7
33.8,63.82901,2,24.95832,121.56297,31.1
22.9,214.29889,4,24.98119,121.54723,58.3
23.9,1595.59991,0,24.95819,121.55091,29.6
4.4,323.38255,4,24.97424,121.56273,51.9
5.3,818.30723,6,24.96968,121.55936,40.9
17.3,617.26897,0,24.96701,121.56479,38.6
5.4,33.63611,7,24.9728,121.56136,59.4
40.1,3471.35767,0,24.95593,121.548,20.1
10.2,1505.5157,4,24.95823,121.52306,29.2
6.4,3726.59214,0,24.9601,121.51538,11.4
11.0,1087.08431,3,24.97698,121.55167,38.3
33.8,390.98166,2,24.97797,121.55025,19.6
3.3,1453.66084,0,24.95456,121.5219,33.9
4.4,425.0745,1,24.95923,121.5585,35.5
5.0,2565.56349,0,24.95187,121.50662,28.8
22.4,893.82011,0,24.97374,121.5298,23.0
