CO(GT),PT08.S1(CO),C6H6(GT),PT08.S2(NMHC),NOx(GT),PT08.S3(NOx),NO2(GT),PT08.S4(NO2),PT08.S5(O3),T,RH,AH
0.6,0.0,0.4,425.0,39.0,1473.0,37.0,667.0,225.0,3.2,48.6,0.3879
1.0,0.0,5.1,766.0,235.0,854.0,153.0,805.0,710.0,10.0,25.6,0.3249
0.8,0.0,2.0,582.0,107.0,1081.0,85.0,792.0,377.0,11.2,33.8,0.449
1.4,0.0,7.2,867.0,197.0,706.0,133.0,1087.0,1000.0,16.4,55.1,1.0079
1.0,0.0,4.0,709.0,221.0,933.0,114.0,936.0,905.0,9.8,44.9,0.5296
1.4,0.0,7.2,867.0,219.0,890.0,116.0,1189.0,890.0,10.2,74.5,0.9488
2.0,0.0,3.4,676.0,180.0,960.0,124.0,838.0,629.0,21.1,30.8,0.5289
0.7,0.0,2.0,582.0,107.0,1081.0,85.0,792.0,670.0,11.6,33.3,0.449
0.5,0.0,1.1,509.0,112.0,1137.0,62.0,895.0,606.0,6.6,43.5,0.4499
2.5,0.0,4.0,709.0,171.0,892.0,137.0,939.0,854.0,3.4,58.6,0.4551
3.2,14.0,17.8,1233.0,551.0,477.0,169.0,1401.0,1911.0,22.0,27.1,0.6969
1.5,0.0,6.2,819.0,224.0,944.0,101.0,948.0,926.0,5.0,48.8,0.429
1.3,0.0,0.3,412.0,191.0,905.0,80.0,780.0,640.0,3.6,48.9,0.4039
2.5,0.0,4.0,709.0,221.0,920.0,121.0,964.0,879.0,3.8,64.9,0.5593
2.9,0.0,4.0,709.0,176.0,888.0,120.0,911.0,616.0,4.0,64.6,0.537
3.4,0.0,18.0,1238.0,261.0,668.0,183.0,1996.0,1813.0,37.1,16.6,1.2917
2.5,0.0,4.0,709.0,171.0,888.0,118.0,939.0,848.0,3.8,64.3,0.5116
2.7,0.0,4.0,709.0,176.0,987.0,126.0,840.0,670.0,12.3,38.7,0.5442
4.2,17.0,20.5,1311.0,160.0,754.0,126.0,2084.0,1280.0,24.7,45.3,1.3713
0.8,0.0,2.0,582.0,107.0,1081.0,85.0,792.0,517.0,11.2,33.8,0.449
2.0,10000.0,3.5,683.0,156.0,983.0,110.0,790.0,558.0,11.6,23.4,0.3202
4.0,0.0,35.1,1667.0,347.0,597.0,182.0,2416.0,2240.0,20.5,38.2,0.9133
0.8,0.0,2.0,582.0,107.0,1081.0,87.0,821.0,478.0,3.2,45.8,0.37
5.0,0.0,3.5,683.0,197.0,899.0,132.0,947.0,570.0,10.4,47.1,0.6498
2.0,0.0,3.4,678.0,176.0,960.0,125.0,863.0,588.0,2.8,49.0,0.37
3.2,12.0,19.9,1295.0,590.0,800.0,171.0,1626.0,1481.0,31.0,21.9,0.9708
1.8,0.0,5.6,793.0,257.0,839.0,167.0,916.0,836.0,11.6,30.1,0.4067
1.7,0.0,8.4,914.0,157.0,985.0,106.0,966.0,876.0,4.5,51.6,0.4775
0.7,0.0,2.5,621.0,41.0,1257.0,58.0,1389.0,500.0,20.5,32.6,0.7677
1.6,0.0,4.5,736.0,221.0,933.0,111.0,948.0,861.0,4.9,64.1,0.5583
2.5,0.0,4.0,713.0,171.0,888.0,108.0,1001.0,630.0,22.8,47.4,1.3224
3.9,0.0,3.8,699.0,176.0,900.0,128.0,939.0,863.0,4.8,64.0,0.537
0.5,0.0,1.1,509.0,112.0,1149.0,62.0,890.0,385.0,6.7,43.6,0.4129
2.0,0.0,3.1,658.0,126.0,955.0,102.0,866.0,691.0,5.6,48.2,0.4464
2.0,0.0,5.2,774.0,358.0,1064.0,147.0,839.0,629.0,-0.2,40.2,0.2478
2.0,0.0,3.4,674.0,180.0,940.0,88.0,981.0,891.0,2.1,73.1,0.5289
0.8,0.0,2.0,582.0,107.0,1081.0,87.0,802.0,382.0,3.4,48.8,0.3725
1.0,10000.0,9.1,945.0,176.0,848.0,81.0,1192.0,929.0,5.7,73.5,0.7276
1.7,0.0,8.5,919.0,180.0,942.0,121.0,866.0,946.0,1.6,61.3,0.4383
1.0,0.0,4.5,736.0,221.0,888.0,125.0,948.0,613.0,21.6,44.1,1.1267
2.2,10.0,11.0,1015.0,111.0,806.0,114.0,1685.0,1064.0,17.8,43.5,0.884
0.7,0.0,2.0,582.0,107.0,1081.0,85.0,792.0,382.0,11.6,33.3,0.449
4.2,9.0,23.3,1385.0,240.0,649.0,169.0,1947.0,1734.0,32.3,25.7,1.2575
1.8,0.0,5.6,791.0,277.0,839.0,134.0,992.0,691.0,11.8,33.69,0.4488
1.9,0.0,5.5,790.0,210.0,921.0,113.0,896.0,1038.0,4.3,46.4,0.3896
0.8,0.0,2.0,582.0,107.0,1081.0,87.0,802.0,377.0,3.2,46.8,0.3674
1.4,0.0,7.0,857.0,180.0,1158.0,102.0,1158.0,673.0,19.3,47.4,1.0885
6.0,0.0,23.1,1379.0,428.0,579.0,175.0,2081.0,1779.0,29.9,30.2,1.2013
0.6,0.0,0.4,425.0,29.0,1409.0,28.0,667.0,261.0,3.8,48.0,0.3879
4.0,0.0,23.1,1381.0,266.0,579.0,187.0,2205.0,1795.0,21.4,32.3,0.9367
1.3,0.0,0.3,412.0,191.0,905.0,132.0,855.0,640.0,5.6,42.4,0.4094
2.4,0.0,13.5,1100.0,133.0,799.0,121.0,1692.0,994.0,25.2,31.9,0.9692
3.6,0.0,38.4,1737.0,411.0,617.0,194.0,2414.0,2306.0,23.1,26.5,0.7403
1.0,10000.0,4.5,736.0,227.0,889.0,133.0,938.0,1173.0,4.8,64.1,0.563
2.0,10000.0,3.4,676.0,148.0,888.0,110.0,920.0,555.0,4.8,65.5,0.532
0.8,0.0,2.0,582.0,107.0,1081.0,87.0,802.0,382.0,3.3,48.8,0.3725
3.4,0.0,18.0,1238.0,235.0,580.0,126.0,2141.0,2078.0,32.5,32.9,1.4839
2.7,0.0,10.1,983.0,359.0,657.0,89.0,1358.0,1017.0,11.3,78.2,1.097
3.3,0.0,11.4,1029.0,427.0,751.0,166.0,1033.0,1271.0,5.1,40.7,0.3621
0.7,0.0,2.0,582.0,107.0,1081.0,85.0,792.0,561.0,11.2,33.8,0.449
0.9,0.0,3.9,705.0,73.0,1186.0,69.0,1320.0,660.0,11.2,56.9,0.7444
2.5,0.0,4.0,709.0,171.0,768.0,118.0,942.0,588.0,19.3,44.4,1.0893
2.0,0.0,3.5,683.0,166.0,890.0,120.0,893.0,472.0,13.6,30.6,0.4651
2.2,10.0,11.0,1015.0,139.0,815.0,96.0,1632.0,1144.0,24.8,31.0,0.9212
1.6,0.0,0.4,424.0,218.0,1798.0,109.0,790.0,467.0,10.7,25.5,0.3363
2.8,0.0,49.4,1955.0,404.0,459.0,151.0,2679.0,2222.0,23.5,54.2,1.5349
2.0,0.0,3.4,674.0,162.0,888.0,117.0,888.0,630.0,12.8,23.4,0.3408
2.5,0.0,10.4,993.0,133.0,976.0,114.0,1539.0,1018.0,21.3,31.1,0.8675
1.9,0.0,5.5,786.0,210.0,921.0,124.0,953.0,1081.0,3.4,64.3,0.5654
1.3,0.0,0.4,425.0,162.0,1144.0,123.0,731.0,606.0,3.7,38.8,0.3264
2.0,10000.0,3.8,702.0,197.0,705.0,133.0,937.0,898.0,9.5,44.4,0.5223
1.7,0.0,8.5,919.0,270.0,743.0,157.0,989.0,918.0,5.6,33.1,0.3249
1.9,0.0,5.5,790.0,266.0,839.0,182.0,917.0,898.0,5.2,48.6,0.3889
0.5,0.0,1.1,509.0,112.0,1149.0,62.0,895.0,427.0,6.6,43.5,0.4499
1.3,0.0,0.4,425.0,152.0,1144.0,104.0,744.0,632.0,6.9,39.4,0.3939
3.2,11.0,20.3,1306.0,218.0,673.0,139.0,2001.0,1786.0,31.5,29.9,1.2683
2.4,0.0,10.5,998.0,133.0,976.0,114.0,1552.0,861.0,21.9,26.7,0.7359
0.9,0.0,3.9,705.0,73.0,1186.0,69.0,1392.0,659.0,11.2,58.9,0.7741
1.5,0.0,6.2,821.0,224.0,944.0,101.0,948.0,926.0,4.1,48.8,0.4048
0.6,0.0,0.4,425.0,29.0,1409.0,28.0,667.0,291.0,3.8,48.0,0.3879
0.9,0.0,3.9,705.0,73.0,1186.0,73.0,1339.0,658.0,15.5,59.6,1.0693
0.8,0.0,2.0,583.0,93.0,1102.0,61.0,1046.0,604.0,12.5,65.3,0.998
1.0,10000.0,9.5,960.0,223.0,838.0,122.0,948.0,1139.0,4.0,51.1,0.4375
2.6,0.0,4.0,709.0,204.0,964.0,110.0,893.0,898.0,8.8,40.3,0.4436
1.5,0.0,6.2,819.0,224.0,923.0,101.0,959.0,926.0,5.0,48.8,0.429
3.4,0.0,18.0,1238.0,261.0,588.0,166.0,1996.0,1816.0,29.1,19.6,0.8702
0.6,0.0,0.4,425.0,39.0,1473.0,37.0,667.0,268.0,3.2,48.6,0.3879
2.3,0.0,10.0,978.0,133.0,974.0,97.0,1577.0,899.0,14.6,58.7,0.9801
0.4,0.0,2.2,597.0,18.0,1070.0,29.0,1346.0,603.0,20.2,48.3,1.1754
4.7,0.0,23.1,1381.0,339.0,667.0,124.0,2094.0,1610.0,11.5,60.0,0.8117
0.9,0.0,3.9,705.0,73.0,1186.0,69.0,1321.0,660.0,11.2,58.9,0.7714
1.0,0.0,5.2,774.0,239.0,854.0,128.0,917.0,915.0,11.2,40.7,0.5023
2.9,0.0,5.3,777.0,253.0,839.0,132.0,939.0,821.0,4.2,64.8,0.4807
1.4,0.0,7.8,891.0,170.0,902.0,90.0,1142.0,953.0,11.4,73.6,1.0086
