Call_Failure,Complains,Subscription_Length,Charge_Amount,Seconds_of_Use,Frequency_of_use,Frequency_of_SMS,Distinct_Called_Numbers,Age_Group,Tariff_Plan,Status,Age,Customer_Value,Churn
4.0,0.0,26.0,0.0,1568.0,39.0,30.0,68.0,4.0,1.0,1.0,45.0,115.175,0.0
12.0,0.0,40.0,2.0,4820.0,89.0,9.0,27.0,3.0,1.0,1.0,30.0,232.36,0.0
0.0,0.0,36.0,0.0,2088.0,52.0,0.0,31.0,1.0,1.0,1.0,15.0,117.7,0.0
20.0,0.0,45.0,2.0,3018.0,76.0,381.0,32.0,3.0,1.0,1.0,30.0,1647.76,0.0
10.0,0.0,39.0,0.0,15190.0,178.0,136.0,17.0,2.0,1.0,1.0,25.0,1303.56,0.0
22.0,0.0,29.0,0.0,875.0,45.0,6.0,13.0,2.0,1.0,2.0,25.0,68.4,1.0
17.0,0.0,39.0,1.0,2948.0,67.0,375.0,29.0,3.0,1.0,1.0,30.0,1620.6,0.0
34.0,1.0,40.0,6.0,16045.0,241.0,82.0,49.0,3.0,2.0,1.0,30.0,979.44,0.0
0.0,0.0,33.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,2.0,25.0,0.0,1.0
11.0,0.0,35.0,0.0,4675.0,71.0,4.0,18.0,2.0,1.0,1.0,25.0,231.57,0.0
30.0,0.0,40.0,4.0,15445.0,231.0,61.0,34.0,3.0,2.0,1.0,30.0,871.04,0.0
5.0,0.0,40.0,0.0,7688.0,135.0,395.0,48.0,2.0,1.0,1.0,25.0,2129.535,0.0
17.0,0.0,45.0,3.0,12030.0,170.0,33.0,55.0,4.0,1.0,1.0,45.0,387.5,0.0
21.0,0.0,19.0,2.0,6697.0,147.0,92.0,44.0,2.0,2.0,1.0,25.0,721.98,0.0
4.0,0.0,36.0,0.0,1933.0,48.0,1.0,15.0,3.0,1.0,2.0,30.0,83.24,0.0
9.0,0.0,41.0,0.0,15440.0,186.0,158.0,34.0,2.0,1.0,1.0,25.0,1414.17,0.0
21.0,0.0,41.0,4.0,9480.0,130.0,156.0,47.0,3.0,1.0,1.0,30.0,1008.4,0.0
14.0,0.0,40.0,2.0,5010.0,90.0,18.0,30.0,3.0,1.0,1.0,30.0,276.0,0.0
9.0,0.0,36.0,1.0,7123.0,80.0,109.0,35.0,2.0,1.0,1.0,25.0,814.635,0.0
5.0,0.0,39.0,0.0,6205.0,82.0,172.0,13.0,3.0,1.0,1.0,30.0,939.48,0.0
0.0,0.0,26.0,0.0,0.0,0.0,0.0,0.0,4.0,1.0,2.0,45.0,0.0,0.0
6.0,0.0,37.0,0.0,5803.0,89.0,0.0,8.0,2.0,1.0,1.0,25.0,265.14,0.0
6.0,0.0,38.0,0.0,5918.0,95.0,7.0,12.0,3.0,1.0,1.0,30.0,268.52,0.0
23.0,0.0,33.0,2.0,15140.0,219.0,46.0,31.0,3.0,1.0,1.0,30.0,798.36,0.0
7.0,0.0,36.0,1.0,4665.0,75.0,19.0,30.0,2.0,1.0,1.0,25.0,298.8,0.0
14.0,0.0,35.0,1.0,2678.0,64.0,356.0,22.0,3.0,1.0,1.0,30.0,1533.68,0.0
17.0,0.0,45.0,2.0,4503.0,78.0,16.0,38.0,1.0,1.0,1.0,15.0,339.955,0.0
3.0,0.0,37.0,0.0,10865.0,144.0,0.0,32.0,3.0,1.0,1.0,30.0,440.36,0.0
