X1_house_age,X2_distance_MRT_station,X3_number_convenience_stores,X4_lat,X5_long,X6_price
16.3,0.6977,6.0,24.983,121.53423,38.5
1.0,10000.218,3.0,24.9863,121.53715,35.6
0.0,0.9679,6.0,24.96398,121.54413,42.7
24.2,0.0392,8.0,24.9895,121.53986,40.4
1.5,0.5325,6.0,24.98254,121.54026,40.5
13.6,0.6419,8.0,24.9645,121.53923,48.6
38.3,0.6977,4.0,24.98419,121.53713,31.5
16.7,0.6985,6.0,24.98281,121.53913,36.7
8.0,10000.3248,8.0,24.98203,121.53797,45.4
33.9,0.6977,4.0,24.98353,121.542,41.5
4.0,0.12,6.0,24.96299,121.54494,32.7
17.4,0.6783,5.0,24.98674,121.534,24.5
30.9,0.6419,8.0,24.9845,121.53923,48.5
13.2,0.2313,7.0,24.983,121.53951,42.2
35.9,0.5487,4.0,24.98353,121.53445,36.5
17.2,0.8877,8.0,24.98102,121.54722,47.2
37.0,10000.3248,8.0,24.98203,121.53765,36.7
29.6,0.6977,6.0,24.98281,121.53885,25.3
17.2,0.88643,8.0,24.983,121.54722,47.2
14.7,0.719,6.0,24.96172,121.54767,28.5
13.0,0.12,6.0,24.96299,121.54494,31.3
20.0,0.12,6.0,24.96299,121.54494,31.3
31.4,0.6719,1.0,24.95468,121.53046,117.5
14.6,0.6977,6.0,24.988,121.53812,43.5
31.9,0.6985,4.0,24.97707,121.543,47.1
13.3,0.917,6.0,24.96305,121.542,31.3
8.9,0.6977,4.0,24.98298,121.53981,47.3
14.0,10000.3286,8.0,24.97707,121.54477,36.5
2.7,0.3302,6.0,24.96606,121.5425,23.5
13.0,0.1,6.0,24.97563,121.54477,36.7
14.0,10000.3248,8.0,24.98203,121.53762,36.3
16.4,0.6945,6.0,24.97838,121.53464,35.5
4.0,10000.3248,8.0,24.98203,121.53762,45.4
5.6,0.6985,6.0,24.9826,121.54019,50.5
4.0,10000.3248,8.0,24.98203,121.53765,44.2
41.4,0.3248,6.0,24.98203,121.54026,47.1
19.0,10000.3248,8.0,24.98203,121.53777,47.3
12.0,0.1,6.0,24.95744,121.54436,45.1
16.9,0.6783,5.0,24.9851,121.5457,22.5
32.3,0.7721,8.0,24.98118,121.54095,36.7
16.4,0.6783,5.0,24.98674,121.54464,24.5
14.0,10000.218,3.0,24.97707,121.54477,36.5
32.3,0.8302,6.0,24.98298,121.54765,47.3
38.3,0.4459,6.0,24.96398,121.5425,31.5
13.7,0.6419,8.0,24.96756,121.54765,53.5
