Complexity,Loss,Equation
1,20.473324,"37.97207"
3,11.04269,"x1 + 33.878036"
5,7.454954,"(x0 * -0.002862049) + 41.073814"
7,7.4398623,"((x0 - x1) * -0.0028598623) + 41.06002"
9,1.7540963,"43.625725 - (x0 * ((x0 * -1.1828248e-6) + 0.008232347))"
11,1.5867716,"43.863693 - (x0 * (((x0 + 0.008651105) * 0.99999875) - x0))"
13,1.4766222,"43.905895 - (x0 * ((((x0 * 0.9999992) + 0.0051996894) - x0) * 1.6702468))"
15,1.2132577,"((x0 + ((x0 * x0) * -0.00010585742)) * ((x0 * 1.0899856e-6) + -0.010300809)) - -44.28804"
17,1.2060704,"(((x0 * -1.0862883e-6) + 0.010258665) * (x1 - (x0 + ((x0 * x0) * -0.0001058906)))) + 44.220753"
19,1.0137894,"((x0 * -0.003323773) + (((x0 * 2.1008552e-6) + -0.008451291) * (x0 + ((x0 * -0.000108160966) * x0)))) - -44.7228"
21,1.0102226,"((((x0 * 1.0996663e-6) + -0.00925233) * ((((x0 * x0) * -0.0002058417) + x0) - x1)) + (x0 * -0.0024788354)) - -44.661026"
23,0.8699449,"(x0 * -0.0019015558) + (((x0 + (((x0 - (x1 * -206.32346)) * x0) * -0.00013666092)) * ((x0 * 1.8868543e-6) + -0.010710028)) - -44.50508)"
25,0.8510007,"((((x0 * (x0 - (x1 * (x1 / -0.034923792)))) * -0.00017228127) + x0) * ((x0 * 1.404977e-6) + -0.01015089)) + ((x0 * -0.0018501448) - -44.291313)"
27,0.793328,"(((((x0 + -88.6107) * (x0 - ((x1 * x1) / -0.03170093))) * -0.00021143688) + x0) * ((x0 * 1.2475647e-6) + -0.009950216)) + ((x0 * -0.0024641226) - -44.567577)"
29,0.7458226,"(((x1 * x1) + (((x0 * (x0 - ((x1 * x1) / -0.02829207))) * -0.0001797053) + x0)) * ((x0 * 1.4753269e-6) + -0.010701147)) + ((x0 * -0.0020044013) - -44.708843)"
