Complexity,Loss,Equation
1,1.0044588,"3.6552029"
5,0.69378686,"(Outstanding_Debt * -0.0004748262) + 4.336265"
7,0.58726734,"((Outstanding_Debt * Outstanding_Debt) * -1.2161276e-7) + 4.0729284"
9,0.55235577,"((0.000518971 - (Outstanding_Debt * 2.3077592e-7)) * Outstanding_Debt) + 3.703212"
11,0.5515477,"3.703212 + (Outstanding_Debt * (0.00052037736 - ((Delay_from_due_date + Outstanding_Debt) * 2.2833737e-7)))"
13,0.5400094,"((0.00053823466 - (Outstanding_Debt * 2.2333947e-7)) * Outstanding_Debt) + ((-1.4206843 / Credit_History_Age) + 3.758524)"
15,0.48330286,"(Outstanding_Debt * (((Outstanding_Debt * 4.178036e-5) + -0.2493985) * (-0.007876524 - (Outstanding_Debt * -3.0690785e-6)))) + 3.2052703"
17,0.4569168,"3.652111 - ((Outstanding_Debt * ((-0.005982409 - (Outstanding_Debt * -2.4983713e-6)) * Outstanding_Debt)) * ((Outstanding_Debt * -2.9575283e-8) + 0.00015491595))"
19,0.45640105,"3.641449 - ((((Outstanding_Debt * (-0.0060008783 - (Outstanding_Debt * -2.520661e-6))) * ((Outstanding_Debt * 3.569767e-5) + -0.18586604)) * Outstanding_Debt) * -0.000830683)"
21,0.45300773,"(-1.7290852 / Outstanding_Debt) + (3.652266 - (((Outstanding_Debt * -2.9575283e-8) + 0.00015491595) * ((Outstanding_Debt * Outstanding_Debt) * (-0.005982409 - (Outstanding_Debt * -2.4983713e-6)))))"
23,0.45237857,"((-1.4393364 / Outstanding_Debt) + 3.65891) - ((((Outstanding_Debt * Outstanding_Debt) * -0.00081895606) * ((Outstanding_Debt * 3.564157e-5) + -0.18586808)) * (-0.005962161 - (Outstanding_Debt * -2.5245718e-6)))"
25,0.45038173,"(-1.4497774 / Outstanding_Debt) + (3.6522644 - ((((Outstanding_Debt * -2.9826094e-8) + 0.00015536572) * (Outstanding_Debt * Outstanding_Debt)) * (-0.0060059354 - ((Outstanding_Debt + (Num_Credit_Inquiries * Num_Credit_Inquiries)) * -2.4303688e-6))))"
27,0.45030755,"(-1.4497774 / Outstanding_Debt) + (3.6522644 - ((((Outstanding_Debt * 3.5560497e-5) + -0.18572284) * -0.0008373836) * ((Outstanding_Debt * Outstanding_Debt) * (-0.0059928517 - (((Num_Credit_Inquiries * Num_Credit_Inquiries) + Outstanding_Debt) * -2.4150922e-6)))))"
29,0.4488159,"(-1.4497774 / Outstanding_Debt) + (3.6522644 - ((-0.0008393549 * (Outstanding_Debt * (-0.0059919395 - (-2.3837297e-6 * (Outstanding_Debt + ((Num_Bank_Accounts + Num_Bank_Accounts) * Num_Credit_Inquiries)))))) * (Outstanding_Debt * (-0.18572284 + (Outstanding_Debt * 3.5546982e-5)))))"
