Complexity,Loss,Equation
1,1.8816133,"5.429959"
5,1.5631154,"(Outstanding_Debt * -0.0005006283) + 6.1302137"
7,1.2883856,"(Outstanding_Debt * (Outstanding_Debt * -1.5336882e-7)) + 5.924905"
9,1.0024164,"(Outstanding_Debt * ((Outstanding_Debt * -4.7678253e-7) + 0.0015161595)) + 4.848208"
11,1.0008287,"(Outstanding_Debt * (((Outstanding_Debt + Delay_from_due_date) * -4.7525205e-7) + 0.0015274304)) + 4.8468013"
13,0.9440425,"((Outstanding_Debt * -0.003204242) - (122.608986 / (5.7238603 - (Outstanding_Debt / -593.33295)))) + 25.80076"
15,0.89039356,"((Outstanding_Debt * -0.002065884) - (22.673635 / (3.4411795 - ((Outstanding_Debt * Outstanding_Debt) * -2.7292515e-6)))) + 11.766005"
17,0.8884398,"(((Outstanding_Debt - Num_of_Delayed_Payment) * -0.002066789) + 11.733457) - (22.673635 / (3.4391136 - ((Outstanding_Debt * -2.7492874e-6) * Outstanding_Debt)))"
19,0.88368684,"11.733457 + ((Outstanding_Debt * -0.0020659012) - (22.673635 / (3.4391136 - ((Outstanding_Debt * ((Num_Bank_Accounts * Num_of_Delayed_Payment) + Outstanding_Debt)) * -2.7261483e-6))))"
21,0.880932,"((Outstanding_Debt * -0.0020659012) - (22.673635 / (3.4391136 - ((Outstanding_Debt * -2.7261483e-6) * (((Num_Bank_Accounts * Num_of_Delayed_Payment) - Credit_History_Age) + Outstanding_Debt))))) + 11.733457"
23,0.87153465,"((Outstanding_Debt * -0.002065884) + 11.725614) - (22.865623 / (3.4391136 - ((Outstanding_Debt + (((Delay_from_due_date - 22.673635) * Delay_from_due_date) * -0.34466022)) * (Outstanding_Debt * -2.9922594e-6))))"
25,0.8127007,"((Outstanding_Debt * -0.0020994006) + 11.989705) - (22.888094 / (3.4391162 - ((-2.8639847e-6 * Outstanding_Debt) * (Outstanding_Debt + ((Delay_from_due_date + -23.18171) * ((Delay_from_due_date + -23.18171) * -0.7935185))))))"
27,0.8119422,"((Outstanding_Debt * -0.0020994006) + 11.989705) - (22.888094 / (3.4391162 - (-2.8639847e-6 * ((Delay_from_due_date + Outstanding_Debt) * (Outstanding_Debt + (((Delay_from_due_date + -23.18171) * (Delay_from_due_date + -23.18171)) * -0.7935185))))))"
29,0.8037578,"(Outstanding_Debt * -0.0020994006) + (((-1.9851406 / Outstanding_Debt) + 11.989705) - (22.888094 / (3.4391162 - ((Outstanding_Debt + (((Delay_from_due_date + -23.18171) * (Delay_from_due_date + -23.18171)) * -0.7935185)) * (Outstanding_Debt * -2.8639847e-6)))))"
