Complexity,Loss,Equation
1,23.738598,"x4"
3,13.928919,"x2 + x3"
5,12.537751,"(x3 + x2) + 1.1794761"
7,11.06566,"x2 + (0.40772992 * (x4 + x3))"
9,9.381668,"sqrt(sqrt((x5 * (x2 * x3)) + 1948.9012))"
11,8.674289,"sqrt(sqrt((x5 * (x3 * x2)) + 5171.856) - x0)"
12,8.603454,"sqrt(sqrt(((x3 * x5) * x2) + 5171.856) - sqrt(x5))"
13,8.049722,"sqrt(sqrt((x5 + 591.6478) * (x4 + (x2 * x3)))) - 3.3989475"
14,7.823829,"abs(sqrt(sqrt(((x3 * x2) + x4) * (x5 + 688.4516))) - 3.666827)"
15,7.555362,"sqrt(sqrt(((x4 * 99.88561) + x5) * ((x3 * x2) + 12.1728525))) - 4.968708"
16,7.4963527,"sqrt(sqrt(((73.845245 * x4) + x5) * ((x3 * x2) + 15.129116))) - sqrt(x0)"
17,7.1853094,"sqrt(sqrt((((x1 + 73.845245) * x4) + x5) * ((x3 * x2) + 15.129116))) - 5.182625"
18,6.9468813,"sqrt((x4 * 7.480945) + sqrt((x5 + 614.44855) * (abs(x1) + (x3 * x2)))) - 6.5966706"
19,6.861966,"abs(sqrt(sqrt((x5 + 644.715) * ((x2 * x3) + abs(x1))) + (x4 * 7.660994)) - 6.7332)"
21,6.401588,"abs(abs(sqrt(sqrt(((x3 * x2) + x4) * (((x1 * x1) + 486.60846) + x5))) + -27.90768) + -23.835655)"
22,6.401427,"abs(-23.835655 + abs(sqrt(sqrt((x5 + (486.60846 + (abs(x1) * x1))) * ((x3 * x2) + x4))) + -27.90768))"
23,6.311064,"abs(abs(sqrt(sqrt(((x2 * x3) + x4) * ((x5 + 308.02606) + ((x4 * x1) * 2.2158108)))) + -27.608358) + -23.697882)"
25,6.3043294,"abs(abs(sqrt(sqrt((x4 + (x3 * x2)) * ((((x4 * x1) * 2.1731424) + x5) + 308.02))) + -27.561335) + -21.975351) + 1.6954706"
26,5.7878876,"abs(abs(sqrt(sqrt((abs(x5 - (x0 * x0)) + (x1 * 23.845266)) * (x4 + (x3 * x2)))) + -25.786707) + -19.789759) - -4.0237465"
27,5.2937784,"abs(abs(-24.837143 + sqrt(sqrt(((x3 * x2) + x4) * ((abs((sqrt(x5) * x0) - x5) + (x4 * x1)) + 130.87318)))) + -23.89864)"
29,5.2393627,"abs(abs(sqrt(sqrt(((x1 * x4) + (abs(x5 - (x0 * sqrt(x5))) + 130.826)) * ((x2 * x3) + x4))) + -24.85554) + -21.70092) - -2.2317536"
30,5.1982884,"abs(abs(2.0476637 - abs(sqrt(sqrt((((x4 * x1) + abs(x5 - (sqrt(x5) * x0))) + 209.65315) * (x4 + (x3 * x2)))) + -26.506542)) + -23.17814)"
32,5.0410933,"abs((abs(2.323089 - abs(sqrt(sqrt(((x3 * x2) + x4) * ((x4 * x1) + (abs((x0 * sqrt(x5)) - x5) + 209.68481)))) + -26.177967)) + -21.54195) * 1.0906883)"
34,4.85428,"abs((abs(abs(sqrt(sqrt((x4 + ((x2 * x3) + 10.608243)) * ((x1 * x4) + (abs((x0 * sqrt(x5)) - x5) + 209.64217)))) + -26.531454) - 2.3367972) + -20.193478) * 1.1694629)"
36,4.7698445,"1.1704683 * abs(abs(2.2676325 - abs(-27.807846 + sqrt(sqrt(((351.29666 + (x4 * x4)) + abs(x5 - (sqrt(x5) * x0))) * ((x4 + (x3 * x2)) + (x1 + 7.86194)))))) + -20.144127)"
37,4.7676654,"1.2272971 * abs(abs(2.384911 - abs(sqrt(sqrt(((abs(x1 + (x2 * x3)) + x4) + 7.928664) * ((351.3042 + (x4 * x4)) + abs((x0 * sqrt(x5)) - x5)))) + -27.546776)) + -19.392353)"
38,4.701967,"abs((abs(abs(-27.618093 + sqrt(sqrt(((x4 * x4) + (351.30984 + abs(x5 - (sqrt(x5) * (x0 + 2.4654405))))) * ((x1 + (x3 * x2)) + (x4 + 8.057141))))) - 2.4654405) + -19.42326) * 1.2273952)"
42,4.6992087,"abs(((abs(abs(sqrt(sqrt(((abs(x5 - (sqrt(x5) * (x0 + 2.5392354))) + 351.31274) + (x4 * x4)) * (x4 + ((x1 + 8.159956) + (x3 * x2))))) + -27.56621) - 2.5060952) + -19.531252) * 1.2366824) - 0.4086122) + -0.71922666"
44,4.68312,"abs((abs(abs(sqrt(sqrt((((x1 * x4) + abs((sqrt(x5) * (x0 + 2.3245049)) - x5)) + 351.2963) * (((x4 + 6.9505253) + (x2 * x3)) + ((x1 + (x4 + 9.45861)) * 0.4262208)))) + -27.631363) - 2.3655033) + -19.545862) * 1.2123388)"
45,4.682875,"abs(-19.496984 + abs(abs(sqrt(sqrt(((abs(x1) * x4) + (abs((sqrt(x5) * (x0 + 2.2675226)) - x5) + 351.29367)) * ((x4 + (6.901062 + (x2 * x3))) + (((x4 + x1) + 9.438104) * 0.4070113)))) + -27.597507) - 2.4030943)) * 1.2155044"
48,4.6824417,"abs(abs((abs(abs(sqrt(sqrt((((x1 * x4) + abs((sqrt(x5) * (x0 + 2.3245049)) - x5)) + 351.2963) * (x4 + ((6.9505253 + cos(x0)) + ((x2 * x3) + ((x1 + (9.45861 + x4)) * 0.4262208)))))) + -27.631363) - 2.3655033) + -19.545862) * 1.2123388))"
