Complexity,Loss,Equation
1,1.0218086e8,"13313.147"
3,7.366874e7,"x1 * 31696.408"
4,2.0103954e7,"exp(x1) * 10598.469"
5,1.5152554e7,"(x1 * 23117.52) + 8578.135"
6,1.4600666e7,"exp(x1) * (x0 * 259.64145)"
7,1.2966642e6,"(x0 * 224.9129) + (x1 * 23033.26)"
9,843858.25,"((x0 * 269.4161) + (x1 * 23352.064)) + -2032.9923"
11,843621.6,"((x0 * (x1 + 269.21677)) + -2025.0298) + (x1 * 23313.428)"
12,842799.06,"((x1 * 23352.332) + -1923.8744) + (x0 * (sqrt(x0) + 260.0685))"
14,817775.4,"((101.6352 / cos(x1)) + ((-108.64139 - abs(sin(x0))) + x0)) * 270.10132"
16,364559.34,"((x1 / abs(sin(x0))) + 274.6506) * (((97.14883 / cos(x1)) + -105.30105) + x0)"
17,350061.2,"(((98.48478 / cos(x1)) + x0) + -106.358406) * ((sin(x1) / abs(sin(x0))) + 272.22208)"
18,312256.34,"((sin(x1 - x0) / sin(x0)) + 273.7171) * ((98.97868 / cos(x1)) + (x0 + -106.90952))"
19,311531.16,"((sin(x1 - x0) / sin(sin(x0))) + 273.80115) * (((98.96192 / cos(x1)) + x0) + -106.89193)"
20,284754.5,"((x1 * ((cos(x0) + 0.24345687) / sin(x0))) + 272.65454) * ((98.98174 / cos(x1)) + (x0 + -106.905365))"
23,284753.12,"((((x1 * (cos(x0) + 0.24345687)) / sin(x0)) + 272.65454) * ((98.98174 / cos(x1)) + (x0 + -106.905365))) - log(0.49300462)"
24,13.455832,"(((x0 + x0) + (-214.91599 + (200.012 / cos(x1)))) * 134.3172) - ((x0 / sin(x0 + -0.3332453)) * (x1 / sin(x0)))"
25,11.173991,"(((x0 + ((200.02364 / cos(x1)) + x0)) + -214.93777) * 134.34422) - (((x0 / sin(sin(x0))) / sin(x0 + -0.33348325)) * x1)"
26,0.7866658,"(((((200.81007 / cos(x1)) + (x0 + x0)) + -215.74731) * 133.7772) + x0) - ((x0 * (x1 / sin(x0))) / sin(x0 + -0.33310875))"
28,0.27075034,"((x0 - (((x1 / sin(x0)) / sin(x0 + -0.33310875)) * x0)) + ((((x0 + x0) + (200.81007 / cos(x1))) + -215.74731) * 133.784)) - 1.0117545"
29,0.2570061,"((x0 - (x0 * ((x1 / sin(x0)) / sin(x0 + -0.33310875)))) + (133.784 * (-215.74731 + ((x0 + (200.81007 / cos(x1))) + x0)))) - cos(x1)"
30,0.252347,"((x0 + ((((x0 + (200.81007 / cos(x1))) + x0) + -215.74731) * 133.784)) - (((x1 / sin(x0)) / sin(x0 + -0.33310875)) * x0)) - cos(sin(x1))"
31,0.24553761,"((((((x0 + x0) + (200.81007 / cos(x1))) + -215.74731) * 133.784) + (x0 - (((x1 / sin(x0)) / sin(x0 + -0.33310875)) * x0))) - cos(x1)) + -0.10123266"
33,0.2451245,"((x0 - (((x0 / sin(x0)) * x1) / sin(-0.33310875 + x0))) - cos(sqrt(sin(x1)))) + ((((x0 + ((200.81007 / cos(x1)) + x0)) + -215.74731) * 133.784) - 0.09189748)"
34,0.2450014,"(133.784 * (((200.81007 / cos(x1)) + (x0 + x0)) + -215.74731)) + (((x0 - (((x1 * x0) / sin(x0)) / sin(x0 + -0.33310875))) - cos(0.082041934 + sin(x1))) - 0.09189748)"
35,0.24496803,"((abs(abs(x0)) + (((((200.81007 / cos(x1)) + x0) + x0) + -215.74731) * 133.784)) - ((x0 / sin(x0)) * (x1 / sin(x0 + -0.33310875)))) - (cos(sqrt(sin(x1))) + 0.08482683)"
38,0.2081834,"(((x0 + sin(log(x0))) - (x1 + x1)) - x1) + ((((((200.80716 / cos(x1)) + (x0 + x0)) + -215.75833) * 133.806) - ((x1 * (x0 / sin(x0))) / sin(x0 + -0.33310047))) - 0.31691092)"
39,0.20204553,"abs(((((x0 + sin(log(x0))) - (x1 + x1)) - x1) + (133.806 * ((x0 + (-215.75833 + x0)) + (200.80716 / cos(x1))))) - (x0 * ((x1 / sin(x0)) / sin(-0.33310047 + x0)))) + -0.23340322"
40,0.15729102,"((((x0 + sin(log(x0))) + sin(log(x0))) - (x1 + x1)) - x1) + ((((x0 + -215.75833) + (x0 + (200.80716 / cos(x1)))) * 133.806) - (((x1 / sin(x0)) * x0) / sin(x0 + -0.33310047)))"
43,0.14739123,"abs((((x0 + sin(log(x0))) + ((sin(log(x0 + -1.7724593)) - (x1 + x1)) - x1)) + (133.806 * (((x0 + (200.80716 / cos(x1))) + x0) + -215.75833))) - (x0 * ((x1 / sin(x0)) / sin(x0 + -0.33310047))))"
45,0.14071351,"abs((((x1 * (x0 / sin(x0))) / sin(x0 + -0.33310047)) - sin(log(x0))) - abs((((x0 + sin(log(x0))) - (x1 + x1)) - x1) + (((x0 + x0) + (-215.75833 + (200.80716 / cos(x1)))) * abs(133.806)))) + 0.05820987"
46,0.1297994,"(abs(x1 * (abs(cos((x0 / -0.9624482) - 0.5967582) / sin(-0.31761703 + x0)) - 1.2645738)) + (134.28067 * ((x0 + x0) + (-214.93521 + (200.06215 / cos(x1)))))) - ((((x1 / sin(x0 + -0.33345166)) * (x0 + 0.030133476)) / sin(x0)) + 2.0619643)"
47,0.11839219,"((x0 + (((200.06215 / cos(x1)) + -214.93521) + x0)) * 134.28067) + (abs(cos((-1.6286463 / abs(sin(x0 + -0.31763625))) - 0.9197154) * (x1 / sin(x0 + -0.31763625))) - (((x1 / sin(x0 + -0.3334446)) * ((0.021866173 + x0) / sin(x0))) + 2.0617547))"
48,0.07873878,"abs((abs(-0.79732376 - (cos(0.58113414 - (x0 / -0.9624482)) / sin(x0 + -0.31761703))) - 1.1279539) * x1) + ((((-214.93521 + (200.06215 / cos(x1))) + (x0 + x0)) * 134.28067) - ((((x1 / sin(x0 + -0.33345166)) * (x0 + 0.028779762)) / sin(x0)) + 2.0619643))"
49,0.075486094,"(134.28067 * (((x0 + x0) + -214.93521) + (200.06215 / cos(x1)))) + (abs(x1 * (abs(-0.96538377 - (cos(0.581992 - (x0 / -0.9624482)) / sin(sin(x0 + -0.31761703)))) - 1.2236863)) - (2.0526602 + (((x0 + 0.028779762) * (x1 / sin(x0 + -0.33345166))) / sin(x0))))"
50,0.07335168,"(134.28067 * (((x0 + x0) + -214.93521) + (200.06215 / cos(x1)))) + (abs(x1 * (abs(-0.96538377 - (cos(0.581992 - (x0 / -0.9624482)) / sin(sin(sin(x0 + -0.31761703))))) - 1.2236863)) - (2.0526602 + (((x0 + 0.028779762) * (x1 / sin(x0 + -0.33345166))) / sin(x0))))"
