Complexity,Loss,Equation
1,1.4654272e8,"13269.835"
3,1.1228994e8,"x1 * 32051.8"
4,6.1592868e7,"exp(x1) * 10634.059"
5,5.57207e7,"(x1 * 23616.273) + 8435.021"
6,5.4530324e7,"exp(x1) * (x0 * 261.29993)"
7,4.1453416e7,"(x0 * 222.51553) - (x1 * -23480.105)"
9,4.079751e7,"(x0 * (x0 + 173.3064)) - (x1 * -23698.879)"
10,4.0664764e7,"(x1 + exp(-2.424629 - (x0 / -30.620554))) * 23825.836"
11,4.0578944e7,"((x0 * 3.459023) * x0) - ((x1 * -23868.078) - 2383.9202)"
13,4.0570784e7,"(((x0 * 3.4517522) * (x1 + x0)) - (x1 * -23734.31)) - -2395.657"
15,4.0331284e7,"(((9.465975 - x0) / -84.58393) + x1) * (abs(68.01047 / sin(x0)) + 23486.87)"
17,4.0176924e7,"(((x1 / abs(sin(x0))) * 82.09367) + 23232.637) * (((9.030635 - x0) / -83.61407) + x1)"
19,3.988651e7,"(((8.576348 - x0) / -84.81101) + x1) * (((-44.593884 / sin(x0)) / sin(x0 * 0.6801409)) + 23226.543)"
20,3.9801572e7,"(23224.848 + abs((60.846893 / sin(x0)) / sin(0.6800012 * x0))) * (((9.591311 - x0) / -84.5763) + x1)"
21,3.956789e7,"((((x1 * -60.80925) / sin(x0)) / sin(x0 * 0.68015367)) + 23226.543) * (x1 + ((8.55372 - x0) / -84.81295))"
22,3.954066e7,"(abs((x1 / sin(x0 * 0.6801608)) * (-63.98912 / sin(x0))) + 23077.115) * (((8.727435 - x0) / -84.60685) + x1)"
23,3.95296e7,"((abs((x1 / sin(x0 * 0.6801608)) / sin(sin(x0))) * 63.98912) + 23077.115) * (x1 + ((8.727435 - x0) / -84.60685))"
24,3.952153e7,"(abs((x1 / sin(x0 * 0.6801608)) * (-63.98912 / sin(sin(sin(x0))))) + 23077.115) * (((8.727435 - x0) / -84.60685) + x1)"
25,3.9448132e7,"((((x1 * -62.92164) / sin(x0)) / sin(x0 * 0.68012)) + 23077.346) * (((cos(exp(x0)) + (8.727435 - x0)) / -84.60685) + x1)"
26,3.939708e7,"(((cos(exp(x0)) + (8.728433 - x0)) / -84.60765) + x1) * (abs(x1 * ((65.84563 / sin(x0)) / sin(x0 * 0.6801343))) + 23077.346)"
27,3.9384076e7,"(((x1 * (-61.24592 / sin(x0 * 0.6800998))) / sin(x0)) + 23224.936) * ((((8.812552 - x0) / -84.58606) + (cos(exp(x0)) * -0.028708557)) + x1)"
28,3.9341584e7,"(x1 + ((((cos(exp(x0)) * 2.3183827) - x0) + 8.728036) / -84.6074)) * (abs((-60.822437 / sin(x0)) * (x1 / sin(x0 * 0.6801559))) + 23077.346)"
29,3.9316484e7,"(abs(((x1 * 65.84647) / sin(x0)) / sin(x0 * 0.68012)) + 23077.346) * (((((exp(x1) * cos(exp(x0))) + 8.727435) - x0) / -84.60685) + x1)"
30,3.9281732e7,"(((x1 * (-62.92164 / sin(x0))) / sin(x0 * 0.68012)) + 23077.346) * ((((cos(exp(x0)) + 8.727435) - (x0 - sin(x0 * 0.19869944))) / -84.60685) + x1)"
31,3.9244544e7,"(x1 + (((cos(exp(x0)) - (x0 - sin(x0 * 0.19577661))) + 9.143025) / -84.60685)) * (abs((x1 * (-64.84943 / sin(x0))) / sin(x0 * 0.68011796)) + 23077.346)"
32,3.9226916e7,"(((((cos(exp(x0)) * 2.319026) - (x0 - sin(x0 * 0.19869944))) + 8.727435) / -84.60685) + x1) * ((((x1 * -60.822937) / sin(x0)) / sin(x0 * 0.68012)) + 23078.178)"
33,3.918075e7,"(((((cos(exp(x0)) * 2.319026) - (x0 - sin(x0 * 0.19869944))) + 8.727435) / -84.60685) + x1) * (abs((x1 * (64.903656 / sin(x0))) / sin(x0 * 0.68012)) + 23077.346)"
34,3.916323e7,"((((cos(exp(x0)) * exp(x1)) + (8.727435 - (x0 - sin(x0 * 0.19869944)))) / -84.60685) + x1) * (abs((x1 * (-62.92164 / sin(x0))) / sin(x0 * 0.68012)) + 23077.346)"
35,3.9155316e7,"((((cos(exp(x0)) * exp(x1)) + (8.727435 - (x0 - sin(x0 * 0.19869944)))) / -84.60685) + x1) * (abs(x1 * ((-62.92164 / sin(sin(x0))) / sin(0.68012 * x0))) + 23077.346)"
36,3.9096936e7,"(((((cos(exp(x0)) * exp(x1)) + 8.727435) - (x0 - (sin(x0 * 0.19869944) / 0.5761659))) / -84.60685) + x1) * (abs(((x1 * -62.92164) / sin(x0)) / sin(x0 * 0.68012)) + 23077.346)"
37,3.9088956e7,"(abs(((x1 * -62.92164) / sin(sin(x0))) / sin(x0 * 0.68012)) + 23077.346) * (((((cos(exp(x0)) * exp(x1)) + 8.727435) - (x0 - (sin(x0 * 0.19869944) / 0.5761659))) / -84.60685) + x1)"
39,3.9056332e7,"(x1 + (((cos(exp(x0)) * exp(x1)) + (9.143025 - ((x0 - sin(x0 * 0.19869971)) - sin(x0 * 1.2352583)))) / -84.60685)) * (23077.346 + abs(((x1 * -66.00393) / sin(x0)) / sin(x0 * 0.68011796)))"
40,3.901747e7,"(23077.346 + abs(((x1 / sin(x0 * 0.68011796)) * -68.68904) / sin(x0))) * (((9.143025 + ((exp(x1 + sin(x0 * 0.6996418)) * sin(x0 * 0.68011796)) - (x0 - sin(0.19869971 * x0)))) / -84.60685) + x1)"
42,3.8998336e7,"((((9.143025 - ((x0 - sin(x0 * 0.19869971)) - sin(x0 * 1.2352583))) + (sin(0.6787001 * x0) * exp(x1 + 0.6787001))) / -84.60685) + x1) * (abs((x1 * (69.65461 / sin(x0))) / sin(x0 * 0.68011796)) + 23077.346)"
43,3.8986932e7,"(((((sin(x0 * 0.6787001) * exp(x1 + 0.6564326)) + 9.143025) - ((x0 - sin(x0 * 0.19869971)) - sin(x0 * 1.2352583))) / -84.60685) + x1) * (abs((x1 * (-67.270096 / sin(sin(x0)))) / sin(x0 * 0.68011796)) + 23077.346)"
44,3.8965412e7,"(((((cos(exp(x0)) * exp(x1)) - (((x0 - sin(x0 * 0.68011796)) - sin(x0 * 0.19869971)) - sin(x0 * 1.2352583))) + 9.143025) / -84.60685) + x1) * (abs((x1 / sin(x0)) * (63.880226 / sin(x0 * 0.68011796))) + 23077.346)"
45,3.8895944e7,"(abs(((x1 * 67.18854) / sin(x0 * 0.68011796)) / sin(x0)) + 23077.346) * (x1 + ((9.143025 + ((exp(x1 + sin(0.6996418 * x0)) * sin(x0 * 0.68011796)) - ((x0 - sin(x0 * 0.19869971)) - sin(1.2352583 * x0)))) / -84.60685))"
47,3.8884524e7,"((abs(((x1 * 67.18854) / sin(x0 * 0.68011796)) / sin(x0)) + 23077.346) * (x1 + ((9.143025 + ((exp(x1 + sin(0.6996418 * x0)) * sin(x0 * 0.68011796)) - ((x0 - sin(x0 * 0.19869971)) - sin(1.2352583 * x0)))) / -84.60685))) + x0"
49,3.887636e7,"x0 + (((abs(x1 * ((-67.37631 / sin(x0 * 0.68011796)) / sin(x0))) + 23077.346) * (x1 + (((9.143025 + (exp(x1 + sin(0.6996418 * x0)) * sin(x0 * 0.68011796))) - ((x0 - sin(x0 * 0.19869971)) - sin(1.2352583 * x0))) / -84.60685))) + x0)"
50,3.8787376e7,"(abs(((67.18854 * x1) / sin(x0 * 0.68011796)) / sin(x0)) + 23077.346) * (x1 + (((9.143025 + (exp(x1 + sin(0.6996418 * x0)) * sin(x0 * 0.68011796))) - (((x0 - sin(x0 * 0.19869971)) - sin(x0 * 0.19869971)) - sin(1.2352583 * x0))) / -84.60685))"
