Complexity,Loss,Equation
1,1.2171891e8,"12991.308"
3,1.0936045e8,"x0 * 329.18478"
5,1.0923821e8,"(x1 + x0) * 329.27396"
6,1.0491832e8,"x0 * (exp(x1) * 326.57578)"
7,1.0434643e8,"(x1 * 26843.375) + (x0 * 324.9717)"
8,1.0433859e8,"(x0 + exp(x1 / 0.22489586)) * 317.554"
9,1.04338584e8,"((x1 * 26810.387) + (x0 * 317.23636)) + 329.4409"
10,1.0433843e8,"(317.52643 - x1) * (exp(x1 * 4.450952) + x0)"
11,1.0381166e8,"x0 * (((x1 * (62.50118 - x0)) * x0) + 324.89188)"
13,1.0374555e8,"x0 * (((-295.3207 - ((x0 + -68.76322) * x0)) * x1) + 325.0065)"
14,1.0318473e8,"((x1 * ((34.40177 / cos(x0 + 1.2261947)) + 793.9072)) + 325.1625) * x0"
16,1.0318311e8,"(x0 * (((x0 / cos(x0 + 1.2010981)) + 794.9914) * x1)) + (x0 * 325.0065)"
17,1.031085e8,"x0 * (((exp(x1 * 3.5001252) / cos(x0 + 1.2276659)) + 324.76248) + (x1 * 794.88104))"
18,1.0310654e8,"((exp(x1 * 3.500125) / sin(cos(x0 + 1.2276212))) + ((x1 * 794.88104) + 324.76248)) * x0"
19,1.0301438e8,"(338.1055 - ((2.7318275 / sin(sqrt(x0 + ((x1 / 0.28943098) + 25.32232)))) + (-853.7094 * x1))) * x0"
20,1.0300527e8,"(338.1055 - ((2.7318275 / sin(sin(sqrt((x0 + (x1 / 0.28943098)) + 25.32232)))) + (-853.7094 * x1))) * x0"
21,1.0293258e8,"(339.09122 - ((x1 * -853.7094) + (2.6382284 / sin(sqrt(x0 + (25.32232 + (x1 / 0.28943098))))))) * (x0 + -0.9219636)"
22,1.02931336e8,"(339.09122 - ((x1 * -853.7094) + (2.6382284 / sin(sin(sqrt(x0 + (25.32232 + (x1 / 0.28943098)))))))) * (x0 + -0.9219636)"
23,1.0284795e8,"((x1 * ((x0 / cos(1.2003562 + x0)) + 792.40765)) + (330.17905 - (2.092891 / sin(sin(sqrt(x0 + 25.309868)))))) * x0"
25,1.0284794e8,"(x0 * (x1 * ((x0 / cos(x0 + 1.2004262)) + 792.40765))) + (x0 * (330.17905 - (2.0928988 / sin(sin(sqrt(x0 + 25.309868))))))"
26,1.0276392e8,"(x0 * ((331.9861 + (((x1 * x0) + 1.4752414) / cos(x0 + 1.1996715))) + (x1 * 794.0816))) - (149.04115 / sin(sqrt(x0 + 25.316208)))"
27,1.02761464e8,"(x0 * (331.9861 + ((((x1 * x0) + 1.4752414) / sin(cos(x0 + 1.1996715))) + (x1 * 794.0816)))) - (149.04115 / sin(sqrt(x0 + 25.316208)))"
28,1.0276038e8,"(((x1 * x0) * 793.7739) - (135.32413 / sin(sqrt(x0 + 25.353867)))) + (x0 * ((((x1 * x0) + 1.4946555) / cos(x0 + 1.2002566)) + 332.01724))"
29,1.02747784e8,"abs((((((x1 * x0) + 1.5233208) / cos(x0 + 1.212588)) + 331.62057) * x0) + (((x1 * x0) * 814.9678) - (125.083664 / sin(sqrt(x0 + 25.383133)))))"
30,1.0274059e8,"(((x1 * x0) * 814.9678) + (((((x1 * (0.7715429 * x0)) + 1.5233239) / cos(x0 + 1.2134521)) + 331.62057) * x0)) - (130.38994 / sin(sqrt(25.383188 + x0)))"
31,1.0273846e8,"((x1 * (x0 * 814.9678)) + ((((((x0 * x1) * 0.7715429) + 1.5233239) / cos(x0 + 1.2134521)) + 331.62057) * x0)) - (130.38994 / sin(sin(sqrt(x0 + 25.383188))))"
32,1.027371e8,"((x1 * (x0 * 814.9678)) + (((((x0 * (x1 * 0.7715429)) + 1.5233239) / cos(x0 + 1.2134521)) + 331.62057) * x0)) - (130.38994 / sin(sin(sin(sqrt(x0 + 25.383188)))))"
33,1.0273579e8,"((x0 * ((((x1 * x0) + 1.991998) * (0.80045974 / cos(x0 + 1.2110938))) + 332.35974)) + (((x0 + -0.85438776) * x1) * 815.393)) - (128.79803 / sin(sin(sqrt(x0 + 25.387274))))"
34,1.02733576e8,"((x0 * ((((x0 * x1) + 1.991998) * (0.80045974 / cos(x0 + 1.2110919))) + 332.35974)) + ((x0 + -0.85438776) * (x1 * 815.393))) - (128.79803 / sin(sin(sin(sqrt(x0 + 25.387274)))))"
35,1.0264665e8,"((x0 / cos((x0 + x0) + 0.6461762)) + ((x0 * (x1 * 791.96765)) - (x0 / sin(sqrt(x0 + 25.587364))))) + (x0 * ((x0 * (x1 / cos(x0 + 1.2007989))) + 328.0425))"
36,1.0264037e8,"(x0 * ((x0 * (x1 / cos(x0 + 1.2017658))) + ((2.1793606 / cos((x0 + x0) + 0.61832327)) + 328.0268))) + ((x0 * (x1 * 791.9678)) - (x0 / sin(sin(sqrt(x0 + 25.547281)))))"
37,1.02518376e8,"((((((x0 * x1) + 1.8567673) / cos(x0 + 1.2001321)) + 327.69748) * x0) + (x0 * (x1 * 791.992))) + ((x0 / cos((x0 + x0) + 0.6505375)) - (x0 / sin(sqrt(x0 + 25.622622))))"
38,1.0251767e8,"((((1.8567673 + (x0 * x1)) / cos(1.2001321 + x0)) + 327.69748) * x0) + ((((x0 * x1) * 791.992) + (x0 / cos((x0 + 0.6505375) + x0))) - (x0 / sin(sin(sqrt(x0 + 25.622622)))))"
39,1.0248326e8,"(x0 * ((((x0 * x1) + 1.7940953) / cos(x0 + 1.1997904)) + 329.11673)) + ((x1 * (x0 * 791.9979)) + ((x0 / cos((x0 + x0) + 0.65090156)) - ((x0 + x0) / sin(sqrt(x0 + 25.389896)))))"
40,1.0248206e8,"(x0 * ((((x0 * x1) + 1.7942129) / cos(x0 + 1.1994203)) + 329.11673)) + (((x1 * x0) * 791.9979) + ((x0 / cos(x0 + (x0 + 0.6509379))) - ((x0 + x0) / sin(sin(sqrt(25.391045 + x0))))))"
41,1.02457096e8,"(x0 / cos(x0 + (x0 + 0.6507128))) + ((((x0 * 792.5185) * x1) - ((x0 + 77.66153) / sin(sqrt(x0 + 25.34382)))) + (((((x1 * (x0 + -8.99575)) + 1.8235307) / cos(x0 + 1.2069612)) + 330.7097) * x0))"
42,1.02455064e8,"((((x0 * 792.5185) * x1) - ((x0 + 77.66153) / sin(sin(sqrt(x0 + 25.34382))))) + (((((x1 * (x0 + -8.99575)) + 1.8235307) / cos(x0 + 1.2069612)) + 330.7097) * x0)) + (x0 / cos((x0 + x0) + 0.6507128))"
43,1.0245378e8,"((((x1 * x0) * 792.5185) - ((x0 + 77.66153) / sin(sin(sin(sqrt(x0 + 25.34382)))))) + ((((((x0 + -8.99575) * x1) + 1.8235307) / cos(1.2069612 + x0)) + 330.7097) * x0)) + (x0 / cos((x0 + x0) + 0.6507128))"
44,1.0244865e8,"(x0 / cos((x0 + x0) + 0.650533)) + ((x0 * ((((x1 * (x0 + -8.801724)) + 1.8133911) / cos(x0 + 1.2061733)) + 330.7097)) + (((x1 * 792.5185) * (x0 + cos(x0))) - ((x0 + 77.66153) / sin(sqrt(x0 + 25.343773)))))"
45,1.024307e8,"(x0 / cos(x0 + (0.65063775 + x0))) + (((x1 * (792.5184 * x0)) - ((x0 + 77.66208) / sin(x1 + sqrt((x0 + x1) + 25.341007)))) + ((330.7084 + (((x1 * (x0 + -8.799528)) + 1.8067505) / cos(x0 + 1.2073373))) * x0))"
46,1.02391416e8,"((((((x1 * x0) + 1.7939535) / cos(x0 + 1.1997218)) + 330.2923) * x0) + ((((x0 * x1) * 792.2047) - (x0 / sin(x0 + 5.0861197))) + (x0 / cos((x0 + x0) + 0.65038776)))) - ((x0 + x0) / sin(sqrt(x0 + 25.429758)))"
47,1.0239004e8,"((((((x1 * x0) + 1.7939535) / cos(x0 + 1.1997218)) + 330.2923) * x0) + (((x0 * (x1 * 792.2047)) - (x0 / sin(x0 + 5.0861197))) + (x0 / cos((x0 + 0.65038776) + x0)))) - ((x0 + x0) / sin(sin(sqrt(x0 + 25.429758))))"
48,1.0238491e8,"(((((x1 * x0) * 792.2047) - (x0 / sin(x0 + 5.0861163))) - ((x0 + x0) / sin(sqrt(x0 + 25.42983)))) + (x0 / cos(x0 + (x0 + 0.6505149)))) + (x0 * ((((x1 * (x0 + -1.7075663)) + 2.0083184) / cos(x0 + 1.1999701)) + 330.2923))"
49,1.0238189e8,"((x1 * ((cos(x0) + x0) * 792.2047)) + ((x0 * ((((x0 * x1) + 1.9410839) / cos(x0 + 1.1989455)) + 330.2923)) + ((x0 / cos((x0 + x0) + 0.65010685)) - (x0 / sin(x0 + 5.0861187))))) - ((x0 + x0) / sin(sqrt(x0 + 25.430662)))"
50,1.02379304e8,"(((((x1 * x0) * 792.2047) - (x0 / sin(x0 + 5.0861163))) - ((x0 + x0) / sin(sqrt(x0 + 25.42983)))) + (x0 / (cos((x0 + x0) + 0.6505149) + x1))) + (x0 * ((((x1 * (x0 + -1.7075663)) + 2.0083184) / cos(x0 + 1.1999701)) + 330.2923))"
