Complexity,Loss,Equation
1,1.4687993e7,"7180.7964"
3,1.1568598e7,"x0 * 177.55219"
4,7.8202925e6,"exp(x1) * 5031.176"
5,7.129864e6,"(x1 * 6812.426) + 5785.5664"
7,3.3328055e6,"(x1 * 6982.5596) + (x0 * 145.8037)"
9,2.3833202e6,"(x0 + ((x1 / x0) * 1441.8854)) * 151.72528"
10,2.3832322e6,"(x0 + (sin(x1 / x0) * 1442.2981)) * 151.72563"
11,2.212561e6,"((x0 + 102.2874) * x0) + (x1 * (229116.28 / x0))"
13,2.1714048e6,"(((-0.30846912 - x1) * -226433.17) / x0) - ((x0 * -233.87584) + 5455.4614)"
15,2.1594575e6,"((-0.36198863 - x1) * (-242360.86 / (x0 + 1.9339758))) - ((x0 * -238.11078) + 5990.037)"
16,2.1366775e6,"(((-0.3043081 - x1) * -226302.64) / (x0 + sin(x0))) - ((x0 * -233.81357) + 5431.7925)"
17,2.1098415e6,"((-242320.5 / (x0 + exp(sin(x0)))) * (-0.32761863 - x1)) - ((x0 * -236.93939) + 5811.516)"
18,1.8122994e6,"(x0 * (x0 + 101.74302)) + (((1818.2632 * sin(x0 * -1.8447614)) + (225877.03 / x0)) * x1)"
19,1.8057915e6,"(x0 * (x0 + 101.098625)) + (x1 * ((sin(sin(-1.8447614 * x0)) * 1818.2632) + (225877.03 / x0)))"
20,1.7030508e6,"((x0 + 101.46675) * x0) + (((sin(-35988.32 / (x0 + 100.71372)) * 2175.8213) + (225884.31 / x0)) * x1)"
22,1.7028405e6,"((x0 + 101.46675) * x0) + (x1 * ((225884.31 / (x0 + 0.26690236)) + (sin(-35988.32 / (x0 + 100.71372)) * 2175.8213)))"
23,1.497429e6,"(((225877.03 / x0) + (sin((-36167.766 / sin(19605.66 / x0)) / 1.661583) * 2726.9634)) * x1) + (x0 * (x0 + 101.06111))"
24,1.489744e6,"(((225877.03 / x0) + (2726.9634 * sin(sin((-36167.766 / sin(19605.66 / x0)) / 1.661583)))) * x1) + (x0 * (x0 + 101.09846))"
25,1.4827901e6,"abs((x1 * ((sin(sin((-36167.766 / sin(19605.66 / x0)) / 1.661583)) * 2899.3176) + (225877.03 / x0))) + ((x0 + 101.09846) * x0))"
26,1.4750899e6,"(x1 * ((225877.03 / x0) + (2726.9634 * sin(sin((-36167.766 / sin(19605.66 / x0)) / 1.6615827) / 0.46383378)))) + (x0 * (x0 + 101.42604))"
28,1.3729594e6,"(x0 * (x0 + 101.098625)) + (x1 * (((sin(-1.8447614 * x0) + sin((-36167.766 / sin(19605.66 / x0)) / 1.6615827)) * 1818.2632) + (225877.03 / x0)))"
29,1.371018e6,"(x0 * (x0 + 101.098625)) + (x1 * abs((225877.03 / x0) + ((sin(x0 * -1.844763) + sin((-36167.766 / sin(19605.66 / x0)) / 1.661583)) * 1818.2632)))"
30,1.3664318e6,"(x1 * ((1818.2632 * (sin(-1.8447614 * x0) + sin((-36167.766 / sin(19605.66 / x0)) / 1.6615827))) + (225877.03 / (x0 + x1)))) + (x0 * (101.098625 + x0))"
31,1.3430671e6,"(x1 * ((1818.2632 * (sin(sin(-1.8447614 * x0)) + sin((-36167.766 / sin(19605.66 / x0)) / 1.6615827))) + (225877.03 / (x0 + x1)))) + (x0 * (x0 + 101.098625))"
32,1.3427022e6,"(x1 * ((1818.2632 * (sin(sin(-1.8447614 * x0)) + sin((-36167.766 / sin(19605.66 / x0)) / 1.6615827))) + (225877.03 / (x0 + 0.41067475)))) + abs(x0 * (101.098625 + x0))"
33,1.3208525e6,"(((sin(sin((-36167.766 / sin(19605.66 / x0)) / 1.661583) + (sin(-36167.766 / (19605.66 / x0)) * 0.6276051)) * 2726.9634) + (225877.03 / x0)) * x1) + ((x0 + 101.09846) * x0)"
35,1.2801629e6,"(x1 * ((225877.03 / x0) + (sin(sin((-36167.766 / sin(19605.66 / x0)) / 1.661583) + sin((-36167.766 / x0) / (x0 / (0.99588174 * 0.6276051)))) * 2726.9634))) + ((x0 + 101.09846) * x0)"
36,1.2800935e6,"((((225877.03 / x0) + (2726.9634 * sin(sin((-36167.766 / sin(19605.66 / x0)) / 1.661583) + sin((-36167.766 / x0) / (x0 / 0.62502044))))) * x1) + ((x0 + 101.09846) * x0)) + cos(-0.18841515)"
