Complexity,Loss,Equation
1,0.079155475,"0.08667764"
3,0.0730789,"x1 * 0.00080981076"
5,0.064974435,"(x1 * 0.0029519985) + -0.3212338"
7,0.053912036,"((x0 * 0.00051150506) * x1) + -0.30849582"
9,0.05020111,"x0 * (((x1 * 7.962965e-5) * x0) + -0.048681077)"
11,0.048968185,"(x0 + -3.512356) * (((x1 * 0.00015511551) * x0) + -0.09090628)"
12,0.0483763,"abs((((x1 * x0) * 9.202325e-5) + -0.055607393) * x0) + -0.053085115"
13,0.04687089,"((x0 * 0.040949836) - 0.15091507) * (((x1 * 0.02369571) + x0) + -8.412711)"
14,0.046833947,"abs((x0 + (-8.03978 + (x1 * 0.023126906))) * (x0 * 0.022127286)) + -0.08192772"
15,0.04614455,"((x0 * 0.066842206) - 0.2593892) * (x0 + (((x1 * 0.105814755) / x0) + -7.881915))"
16,0.046013582,"(((x0 * 0.03646069) - 0.09928077) * abs(((x1 * 0.022484472) + -8.172613) + x0)) - 0.049690425"
17,0.045221284,"abs(-0.091174304 - ((x0 * abs((x0 + (x1 * 0.024094965)) + -8.040644)) * -0.024024427)) + -0.049565252"
18,0.04468041,"abs(abs((abs((x1 * 0.023035944) + (x0 + -8.008169)) * (x0 * 0.026782708)) + -0.112682834) + -0.06591198)"
21,0.042956386,"((x1 * -0.0029647881) + 0.24553111) * ((((x0 * (x0 * (x0 * -2.333819))) / x1) + x0) + (x1 * -0.019849777))"
22,0.04232421,"((x1 * -0.0028387064) + 0.22789994) * (abs(x0 + (x1 * -0.020524979)) + ((x0 * x0) * (x0 * (-2.2775598 / x1))))"
24,0.04223193,"((((x0 * ((x0 * -2.2775598) * x0)) / x1) + abs((x1 * -0.02060031) + x0)) * ((x1 * -0.0028847542) + 0.22859797)) - 0.013294119"
25,0.04195755,"abs((((x0 * -2.277562) * (x0 * (x0 / x1))) + abs((x1 * -0.02058427) + x0)) * ((x1 * -0.0028981606) + 0.22287218)) + -0.024153786"
27,0.041912023,"(-0.12858942 / x0) + abs((abs((x1 * -0.020584082) + x0) + (x0 * (((x0 * x0) / x1) * -2.277562))) * ((x1 * -0.0028882513) + 0.22287218))"
29,0.041820776,"abs((((((x0 * x0) * (x0 * -2.2775629)) / (x1 + -3.9789715)) + abs((x1 * -0.020629618) + x0)) * ((x1 * -0.002886157) + 0.2278929)) + -0.01889601) + -0.02414945"
31,0.041773744,"abs((((x1 * -0.0028986938) + 0.2278951) * (abs(x0 + (x1 * -0.020584252)) + (((x0 * x0) * (x0 * -2.277562)) / (x1 + -5.554209)))) + (-0.08756146 / x0)) + -0.029402962"
32,0.04170874,"abs((((x1 * -0.0028720323) + 0.2278943) * abs(abs(x0 + (x1 * -0.020600855)) + (((x0 * -2.2775621) * (x0 * x0)) / (x1 + -6.03589)))) + 0.02940248) + (-0.08756138 / x0)"
33,0.041702967,"(-0.08756138 / x0) + abs(-0.03144609 + abs((abs((x1 * -0.020600855) + abs(x0)) + (((x0 * x0) * (-2.2775621 * x0)) / (-6.03589 + x1))) * (0.2278943 + (-0.0028720323 * x1))))"
36,0.041697565,"(-0.08756138 / abs(x0 - 0.5666103)) + abs(-0.03144609 + abs((abs((-0.020600855 * x1) + abs(x0)) + ((x0 * x0) * ((x0 * -2.2775621) / (-6.03589 + x1)))) * ((-0.0028720323 * x1) + 0.2278943)))"
38,0.04169753,"(-0.08756138 / ((-1.4240537 / x0) + abs(x0))) + abs(abs(((x1 * -0.0028720323) + 0.2278943) * (abs((x1 * -0.020600855) + abs(x0)) + (((x0 * -2.2775621) * (x0 * x0)) / (x1 + -6.03589)))) + -0.03144609)"
