Complexity,Loss,Equation
1,267220.06,"470.9729"
3,56428.062,"x1 * 4.909752"
4,51031.105,"sqrt(x1) * 77.36741"
5,19404.467,"(x1 + x2) / 0.28266796"
6,17387.398,"(x1 + sqrt(x3)) * 3.8199947"
7,10905.763,"(x1 + (x3 * 0.009556492)) * 4.0916743"
9,10878.775,"((x1 + -1.9662695) + (x3 * 0.009713897)) * 4.1078258"
10,10857.449,"(x3 * 0.03955025) + abs((x1 + -2.1742897) * 4.1189027)"
11,10172.638,"((x2 * 0.00409793) - -3.8811326) * ((x3 * 0.0081247315) + x1)"
13,10113.565,"(((x2 * 0.004678627) - -3.8217764) * (x1 + (x3 * 0.007727947))) + 12.949027"
15,9894.312,"((((x1 / 3.8421419) - x2) * -0.0042654974) - -4.296265) * ((x3 * 0.0071631894) + x1)"
17,9857.155,"(((x0 + ((x1 / 4.754845) - x2)) * -0.005520977) - -4.360754) * ((x3 * 0.007077078) + x1)"
18,9680.767,"(((x1 - x2) * -0.0024145173) - -4.988553) * ((x3 * 0.0068629524) + abs((x0 / -3.7972097) + x1))"
19,9597.338,"((x1 + (x3 * 0.008155892)) * ((x2 * 0.005292988) - -3.313631)) + abs(x0 - (sqrt(x1) * 10.92844))"
20,9331.582,"((x3 * 0.0065503735) + abs((x0 / -3.6706357) + x1)) * ((((x1 / 2.7494092) - x2) * -0.0052484046) - -4.6435866)"
22,9262.991,"((((x1 / 3.3929455) - x2) * -0.0059779817) - -4.5274925) * (((x3 * 0.006194965) + abs((x0 / -3.3757539) + x1)) + 3.3149972)"
23,9102.603,"(sqrt(x1) * 15.896513) + ((((x2 - x0) * 0.011511024) - -3.0208485) * ((x3 * 0.007244247) + abs(x1 + (x2 * -0.1710363))))"
25,9023.514,"((((x2 - x0) * 0.012043839) - -2.8686757) * ((x3 * 0.007022879) + abs((x1 + (x2 * -0.15479206)) + -6.063564))) + (sqrt(x1) * 19.538374)"
27,8848.228,"abs((sqrt(x1) + -1.0995969) * 54.00066) + ((abs((42.99515 - x2) * -0.0090152435) + 1.9243504) * (abs(x1 + -50.385517) + ((x3 * 0.0121279815) + -62.51722)))"
