Complexity,Loss,Equation
1,78.134125,"17.755495"
3,45.636482,"x0 * 17.525475"
5,9.502923,"(728.7423 / x2) * x0"
7,2.2039738,"1011.30756 / ((x2 / x0) + 10.093816)"
9,0.09825204,"(2390.1536 / ((x2 / x0) + 34.04592)) + -10.908732"
10,0.09825202,"abs(2390.1536 / ((x2 / x0) + 34.04592)) + -10.908732"
11,0.097967654,"(2393.5422 / (((x2 + -0.12003765) / x0) + 34.17381)) + -10.947684"
13,0.08882505,"(2497.7542 / (((x2 / x0) + 36.64567) - (18.653185 / x2))) + -11.410287"
15,0.04030571,"(x2 / (x0 / -0.047810625)) + (x0 * (1431.0137 / (x2 + (21.75137 * x0))))"
17,0.03751884,"(x2 / (x0 / -0.058509544)) + (((1257.066 / ((x0 * 19.041399) + x2)) * x0) + 2.28151)"
19,0.037051935,"(((x0 * 1257.0713) / (x2 + (x0 * 19.10671))) - -2.3630214) + (x2 / (-0.15311643 + (x0 / -0.060361363)))"
21,0.034840055,"(x2 / ((x0 / -0.06639962) - (x1 / 2548.5254))) + ((x0 * (1204.147 / ((x0 * 18.25762) + x2))) + 3.1147282)"
23,0.032526217,"((x2 / ((x0 / -0.0670765) - (x1 / 1691.4391))) + (((1203.3273 / (x2 + (x0 * 18.285505))) - -0.17759562) * x0)) + 2.9151404"
25,0.032402582,"(x0 * ((1203.3274 / (x2 + (x0 * 18.276379))) - -0.13535947)) + (((x2 + 0.61813605) / ((x0 / -0.06670111) - (x1 / 1709.0942))) + 2.9858263)"
27,0.032347582,"(x0 * ((1203.3116 / ((x0 * 18.317204) + x2)) - -0.14704372)) + (((x2 + 0.8126557) / (((x0 / -0.06773594) + -0.08650502) - (x1 / 1710.3726))) + 3.0256124)"
29,0.03118208,"((2.8298266 - (x2 * (((x1 / (x0 / -3.276177e-6)) / x0) + -0.005711181))) + ((1206.7749 * x0) / ((x0 * 18.137573) + x2))) + (x2 / (x0 / -0.07056714))"
31,0.031015338,"((((x0 * 1206.7756) / ((x0 * 18.148685) + x2)) + 2.83303) - (x2 * (((((x1 / -303476.72) + -0.000481406) / x0) / x0) + -0.0068021086))) + (x2 / (x0 / -0.072224304))"
35,0.02840324,"(x2 / (x0 / -0.0750779)) + (2.0642831 + (((x0 * 1263.5975) / (x2 + (x0 * 19.061125))) - ((((x1 * 5.5544115e-6) + -0.018963188) + (x1 / (x0 / (0.2841284 / (x0 / -1.8767436e-5))))) * x2)))"
36,0.027758172,"(x0 * (1263.5973 / ((x0 * 19.083038) + x2))) + (2.0857067 + ((x2 / (x0 / -0.07810551)) - (x2 * ((x1 / (x0 / (0.28320593 / (x0 / -2.1163023e-5)))) + ((0.010413514 * log(x1)) + -0.08830515)))))"
37,0.027281655,"((x0 / ((x0 * 19.164833) + x2)) * 1263.5958) + ((((x2 + 1.3951616) / (x0 / -0.07857439)) + 2.2979925) - (x2 * ((0.011883109 * abs(log(x1))) + ((x1 / (x0 / (-6.681013e-6 / x0))) + -0.09716829))))"
38,0.02723546,"(((x2 + 1.5565765) / (x0 / -0.07870641)) + 2.325388) + (((x0 * 1263.5961) / (x2 + (x0 * 19.18658))) - (x2 * (((log(x1) * 0.011990808) + -0.09767578) + (x1 / (x0 / (0.23814973 / (x0 / -2.8493898e-5)))))))"
40,0.027165571,"((((x2 + 1.5600019) / (x0 / -0.07887377)) + ((x0 * 1263.5952) / (x2 + ((x0 * 19.21816) - 0.07189484)))) + 2.2923834) - (x2 * ((x1 / (x0 / (0.23969121 / (x0 / -2.8493967e-5)))) + ((log(x1) * 0.012093828) + -0.09895484)))"
42,0.026851628,"((((x0 / ((x0 * 19.163286) + x2)) * 1263.5958) + 2.2988522) + ((x2 + 1.3949475) / (x0 / -0.08142627))) - (((((x0 / x1) * x0) + (x1 / (x0 / (-7.2762814e-6 / x0)))) + ((log(x1) * 0.013665466) + -0.11293479)) * x2)"
44,0.026568769,"(((x0 / ((x0 * 19.152811) + x2)) * 1263.596) + (((x2 + 1.3937567) / (x0 / -0.08380354)) + 2.3022923)) - (x2 * (((x0 / x1) * (x0 * x0)) + ((log(x1) * 0.014857539) + (-0.12337923 + (x1 / (x0 / (-7.82556e-6 / x0)))))))"
46,0.026560845,"(((x0 / ((x0 * 19.152811) + x2)) * 1263.596) + (((x2 + 1.3937567) / (x0 / -0.08380354)) + 2.3022923)) - (x2 * (((x0 / x1) * (x0 * x0)) + (((log(x1) * 0.014857539) + -0.12337923) + ((x1 - -1.2319821) / (x0 / (-7.82556e-6 / x0))))))"
47,0.026258416,"(((x2 + 1.0560616) / (x0 / -0.0765448)) + (2.198934 + ((x0 / (x2 + (x0 * 19.095211))) * 1263.5994))) - (x2 * ((sqrt(sqrt(x1)) * (((x0 - 2.52075) / (x1 / x0)) + 0.0044547324)) + (-0.030935716 + (x1 / (x0 / (0.2785513 / (x0 / -2.3621731e-5)))))))"
49,0.026134351,"(((x2 + 1.0173433) / (x0 / -0.077600546)) + 2.2567143) + (((x0 * 1263.5992) / (x2 + (x0 * 19.14368))) - (x2 * ((sqrt(sqrt(x1)) * (((x0 - 2.5603938) / (x1 / x0)) + 0.0043498967)) + (((x1 + x2) / (x0 / (0.25182092 / (x0 / -2.5971343e-5)))) + -0.029979432))))"
