Complexity,Loss,Equation
1,73.249954,"17.676226"
3,49.67135,"x1 * 0.0122082615"
4,49.372814,"sqrt(x1) - 20.325232"
5,36.493263,"x1 / (x2 - -36.90387)"
6,31.728817,"x0 * (118.528885 / sqrt(x2))"
7,25.91352,"x1 / ((x2 / x0) - -37.133842)"
8,25.717632,"sqrt((x0 * (x1 / x2)) * 10.260047)"
9,25.548883,"(x1 / ((x2 / x0) - -40.60955)) + 1.075578"
10,23.010925,"(sqrt(x1) * 35.848198) / ((x2 / x0) - -28.723774)"
12,22.64416,"((57.174004 / ((x2 / x0) - -45.69192)) + -0.13711217) * sqrt(x1)"
13,22.644012,"sqrt(x1) * abs((57.45526 / ((x2 / x0) - -45.92507)) + -0.13846166)"
14,21.738594,"(sqrt(x1) / ((x2 / x0) - ((x0 / x2) * -264.68045))) * 25.050543"
16,21.692734,"((23.567312 / ((x2 / x0) - ((x0 * -245.77705) / x2))) - -0.023548134) * sqrt(x1)"
17,21.654373,"((-24.806742 / (((x0 / x2) * -251.02933) - (x2 / x0))) * sqrt(x1)) - log(x0)"
18,21.626253,"((sqrt(x1) * -27.742552) / (((x0 / x2) * -269.90308) - ((x2 + 2.3121493) / x0))) - x0"
19,21.543758,"((sqrt(x1) * -25.888441) / (((-249.53731 / x2) * x0) - ((x2 - -2.1557097) / x0))) - log(x0)"
21,21.523859,"((sqrt(x1) * -25.186628) / ((((x0 * -258.54443) / x2) + 1.911087) - ((x2 + 2.5629144) / x0))) - log(x0)"
22,21.433352,"sqrt((10.899791 * x1) / (((4.036248 + x2) / x0) - (20.034796 - ((x0 / x2) * 279.82382)))) - (0.054633886 * x2)"
23,21.432215,"abs(sqrt((x1 * 10.899791) / (((x2 + 4.036248) / x0) - (20.034796 - ((x0 / x2) * 279.82382)))) - (x2 * 0.054633886))"
24,21.42473,"(sqrt((x1 * 11.007872) / (((x2 + 4.6135154) / x0) - (20.124905 - ((x0 * 279.9027) / x2)))) - (x2 * 0.054661293)) + 0.054661293"
25,21.251015,"sqrt(abs(((14.651634 / ((x2 / x0) - (x0 * x0))) - ((x0 * 36.600765) / (x2 + 6.3149076))) * x1)) - (x2 * 0.0979624)"
26,21.198702,"abs((x2 * 0.099888556) - sqrt(abs(x1 * ((14.606192 / ((x2 / x0) - (x0 * x0))) - ((x0 * 36.821842) / (x2 + 6.4964266))))))"
27,21.14686,"abs((x2 * 0.10433363) - sqrt(x1 * abs(((x0 * 37.068478) / (log(x1) + x2)) - (13.97809 / ((x2 / x0) - (x0 * x0))))))"
29,21.141453,"abs(((x2 * 0.100424126) + 0.41361788) - sqrt(x1 * abs(((x0 * 37.644424) / (log(x1) + x2)) - (14.1507635 / ((x2 / x0) - (x0 * x0))))))"
30,21.140871,"abs(((x2 - log(x0)) * 0.10433363) - sqrt(abs((((x0 * 37.068478) / (log(x1) + x2)) - (13.97809 / ((x2 / x0) - (x0 * x0)))) * x1)))"
31,21.11832,"abs(((sqrt(x1) + x2) * 0.087226816) - sqrt(((x0 / (x2 + 9.669016)) * 29.084286) * abs(x1 - ((x1 * -4.555885) / ((x0 * x0) - (x2 / x0))))))"
32,21.085773,"sqrt(abs((((x1 * (x0 * 2.357809)) / ((x0 * x0) - (x2 / x0))) + x1) * ((x0 / (x2 + 15.974812)) * 31.23383))) - ((sqrt(x1) + x2) * 0.08872509)"
33,21.021593,"abs(sqrt((x0 * (31.485617 / (x2 + 16.04147))) * abs((((x1 * x0) * 2.3600168) / ((x0 * x0) - (x2 / x0))) + x1)) - ((x2 + sqrt(x1)) * 0.089866064))"
35,20.968256,"abs(sqrt(abs(((35.702114 * x0) / (x2 + 23.656242)) * (((x0 * (x1 * 2.3533452)) / ((x0 * x0) - (x2 / x0))) + x1))) - (((sqrt(x1) + x2) * 0.12179021) + -2.7450612))"
36,20.904982,"sqrt(abs((((x1 * -5.713725) / (((6.4793506 * x0) - 10.072709) - (x2 / x0))) - x1) * ((52.56447 / (x2 + 12.617895)) * x0))) - (((x2 * x0) * 0.05083185) + (0.33131528 * sqrt(x1)))"
38,20.544926,"sqrt(abs((((x1 * -6.60608) / (((x0 * 7.5930867) - 13.116386) - (x2 / x0))) - x1) * (x0 * (56.29718 / (x2 + 13.382663))))) - ((sqrt(x1) * 0.34098905) + (((-0.03686648 / x0) + 0.1002028) * x2))"
40,20.541338,"sqrt(((56.520515 / (x2 + 12.796542)) * x0) * abs(x1 - ((x1 * -6.6470833) / (((x0 * 7.281393) - 12.532512) - (x2 / x0))))) - (((x2 * 0.28006786) + (((x2 * -0.1065018) / x0) + sqrt(x1))) * 0.34975436)"
41,20.539791,"sqrt(abs((x1 - ((x1 * -6.60608) / (((7.5930867 * x0) - 13.116386) - (x2 / x0)))) * (x0 * (56.29718 / ((sqrt(x1) * 0.34098905) + x2))))) - ((sqrt(x1) * 0.34098905) + (((-0.03686648 / x0) + 0.1002028) * x2))"
42,20.455954,"sqrt((x0 * (59.89793 / (x2 + 15.258861))) * abs(((x1 * -6.2702913) / (((x0 * 6.646926) - 10.900075) - (x2 / x0))) - x1)) - ((((x2 / x0) * -0.0009356728) + 0.45176) * ((x2 * 0.2787044) + (sqrt(x1) + -10.701902)))"
44,20.44203,"sqrt(abs((((x1 * -6.2201724) / (((x0 * 6.5907254) - 10.796475) - (x2 / x0))) - (x1 - x2)) * (x0 * (60.18842 / (x2 + 14.490268))))) - (((x2 * (-0.00095322187 / x0)) + 0.47740376) * (sqrt(x1) + ((x2 * 0.22268943) + -11.162237)))"
46,20.441767,"sqrt(abs((((x1 * -6.2201724) / (((x0 * 6.5907254) - 10.796475) - (x2 / x0))) - ((x1 - x0) - x2)) * (x0 * (60.18842 / (x2 + 14.490268))))) - ((((x2 * -0.00095322187) / x0) + 0.47740376) * (sqrt(x1) + ((x2 * 0.22268943) + -11.162237)))"
