Complexity,Loss,Equation
1,267168.4,"470.93906"
3,56415.98,"x1 * 4.908899"
4,51020.2,"sqrt(x1) * 77.359505"
5,19399.512,"(x2 + x1) * 3.5374887"
6,17382.758,"(sqrt(x3) + x1) / 0.26181018"
7,10902.337,"(x3 * 0.039100844) + (x1 * 4.091296)"
9,10875.3545,"((x1 * 4.107606) - (x3 * -0.03990492)) - 8.131272"
10,10854.03,"(x3 * 0.03954782) + abs((x1 * 4.1184406) + -8.95302)"
11,10169.358,"(x1 - (-0.008124629 * x3)) * (3.8808806 - (x2 * -0.0040966747))"
13,10110.301,"(((x3 * -0.007726749) - x1) * ((x2 * -0.004680453) - 3.8211508)) + 12.969867"
15,8024.356,"(((x3 * 0.0026057335) * log(abs(x2 + (-103.499985 - x1)))) + x1) * 3.8454456"
16,7987.807,"(x1 * 3.846672) + (x3 * (abs(log(abs(x2 + (-101.664246 - x1)))) * 0.010039013))"
17,7674.55,"((x3 * (log(abs(((x0 + -141.4553) - x1) + x2)) * 0.0025179593)) + x1) * 3.8717575"
18,7647.304,"(x1 * 3.8711646) + abs((log(abs((x0 + -140.4592) + (x2 - x1))) * x3) * 0.009762371)"
20,7626.8164,"((x3 + x2) * abs(log(abs(((x2 + x0) - x1) + -140.46034)) * 0.009628983)) + (x1 * 3.8695004)"
21,7479.0234,"((log(abs((x2 + -104.454384) - x1)) * ((x3 - (x2 * -39.462547)) * 0.0070595285)) + (x1 * 3.8138945)) - x0"
22,7443.1265,"abs((log(abs(x2 + (-102.7606 - x1))) * ((x3 - (x2 * -39.87686)) * 0.0070452336)) - x0) + (x1 * 3.8138711)"
23,7236.3696,"((x3 - (x2 * -35.31316)) * (log(abs(x2 + ((x0 + -143.60045) - x1))) * 0.007117172)) + ((x1 * 3.8445652) - x0)"
24,7209.332,"((x1 * 3.845514) + ((((x2 * -33.852993) - x3) * -0.0072264317) * abs(log(abs((x2 + x0) + (-142.54666 - x1)))))) - x0"
25,7205.699,"((log(abs(x0 + ((x2 + -144.45491) - x1))) * ((x3 - (x2 * -46.32064)) * 0.0067334566)) + (x0 * -1.5199039)) + (x1 * 3.8389525)"
26,7187.755,"((x0 * -1.3929499) + (3.8410585 * x1)) + abs(log(abs(x1 - (x0 + (-142.63747 + x2)))) * (((x2 * -44.048573) - x3) * 0.0068061063))"
27,7182.602,"(3.8410585 * x1) + abs((x0 * -1.3929499) + abs(log(abs((x2 - x1) + (x0 + -142.63747))) * ((x3 - (-44.048573 * x2)) * 0.0068061063)))"
29,7181.827,"abs((-1.3929499 * x0) + abs(log(abs((x2 - x1) + (-142.63747 + x0))) * ((x3 - (-44.048573 * (x2 - 0.5748715))) * 0.0068061063))) + (3.8410585 * x1)"
31,7181.821,"(3.8410585 * x1) + abs((x0 * -1.3929499) + abs(log(abs((x2 - x1) + (-142.63747 + x0))) * (0.0068061063 * ((x3 + -1.4115543) - (-44.048573 * (x2 - 0.5748715))))))"
32,7181.475,"(3.8410585 * x1) + abs((-1.3929499 * x0) + abs((((-44.048573 * (x2 - 0.5748715)) - (sqrt(x2) + x3)) * 0.0068061063) * log(abs((x2 - x1) + (-142.63747 + x0)))))"
33,7148.1245,"(((x2 * (log(abs(x1 - (x2 + -36.53604))) * -0.26574856)) + ((x1 * 3.8949077) + (x3 * 0.023965402))) - (log(abs((x2 + -96.500244) - x1)) * (x2 * -0.6339967))) - x0"
34,7124.779,"(((x1 * 3.888121) + (x3 * 0.023316033)) - ((x2 * -0.6650199) * abs(log(abs((-96.47642 - x1) + x2))))) + (((log(abs((x2 + -36.535717) - x1)) * x2) * -0.28584084) - x0)"
35,7080.603,"((x3 * 0.024878401) + ((x1 * 3.9164777) - (x2 * (log(abs((x2 + -96.49882) - x1)) * -0.6481163)))) + ((((x2 * log(abs((x2 - x1) + -36.585743))) * -0.27254266) - x0) - 13.019524)"
36,6817.8794,"(sqrt(sqrt(x2) * abs((x2 + (-94.73635 - x1)) * x2)) - x0) + (((x3 * 0.029517494) + (x1 * 3.7487047)) - sqrt(abs(((-94.226295 - x1) + (x2 * 1.307148)) * (x2 / 0.33473125))))"
37,6797.8184,"(sqrt(abs((sqrt(x2) * ((-95.77774 - x1) + x2)) * x2)) + (((x3 * 0.029772138) - x0) + (x1 * 3.7219944))) - sqrt(abs((sqrt(x3) + ((x2 - x1) + -142.98221)) * (x2 * -2.76654)))"
38,6734.579,"sqrt(abs(((-95.87258 - x1) + x2) * (sqrt(x2) * x2))) + ((x3 * 0.03107863) + (((x1 * 3.7198844) - sqrt(abs((x2 / -0.3986144) * ((x2 * 1.2931687) + (-91.49642 - x1))))) - (x0 * 1.733582)))"
39,6656.6084,"(x1 * 3.6765034) + ((sqrt(abs((sqrt(x2) * ((-93.78527 - x1) + x2)) * (x2 + 15.535363))) + ((x3 * 0.03157935) - x0)) - sqrt(abs(((sqrt(x3) + x2) + (-143.48875 - x1)) * (x2 * -3.9335184))))"
40,6655.317,"(x3 * 0.031579465) + (abs(sqrt(abs(((x2 + -93.78522) - x1) * (sqrt(x2) * (x2 + 15.535325)))) + ((x1 * 3.676698) - x0)) - sqrt(abs(((sqrt(x3) + ((x2 + -143.48846) - x1)) * x2) * 3.935183)))"
41,6569.2383,"((((x3 * 0.033524737) + ((x1 * 3.582894) - 30.598333)) + sqrt(abs(((x2 + -94.830696) - x1) * (sqrt(x2) * (x2 + 37.472576))))) - sqrt(abs(x2 * ((sqrt(x3) + (x2 + (-143.45453 - x1))) * 4.1767426)))) - x0"
42,6515.469,"((((x1 * 3.6159098) - (sqrt(x3) + x0)) + sqrt(abs((x2 + 34.394505) * (((x2 - x1) + -95.488464) * sqrt(x2))))) + (x3 * 0.04034165)) - sqrt(abs((x2 * (x1 - ((sqrt(x3) + x2) + -142.99956))) * 4.186573))"
43,6452.5815,"((x3 * 0.03582971) + (((x1 * 3.4568202) - 70.05313) - x0)) + (sqrt(abs(sqrt(x2 + 0.4864858) * (((x2 - x1) + -96.10287) * (x2 + 71.68066)))) - sqrt((x2 * 4.5660996) * abs(sqrt(x3) + ((-143.4464 - x1) + x2))))"
44,6451.5874,"abs((sqrt(sqrt(x2 + 0.4864858) * abs((x1 - (x2 + -96.10287)) * (x2 + 71.68066))) - sqrt((x2 * 4.5660996) * abs((sqrt(x3) + (-143.4464 - x1)) + x2))) + ((x3 * 0.03582971) + (((x1 * 3.4568202) - 70.05313) - x0)))"
45,6329.9556,"((x3 * 0.03561761) - sqrt((x2 * 4.313995) * abs(((x2 + -175.01985) - x1) + (sqrt(x3) + x0)))) + ((((x1 * 3.386731) - 69.73043) + sqrt(abs(((x2 + (-94.51623 - x1)) * (x2 + 79.62196)) * sqrt(x2 + 0.42476183)))) - x0)"
46,6323.857,"((x3 * 0.035316836) - sqrt(abs(((x2 + x0) + ((-175.03172 - x1) + sqrt(x3))) * (x2 * 4.28126)))) + abs((((x1 * 3.3860953) - 68.94623) - x0) + sqrt((x2 + 79.64286) * abs(sqrt(x2 + 0.36327925) * ((x2 - x1) + -94.62056))))"
47,6265.5576,"((x3 * 0.036917333) - sqrt(abs((x2 * 3.9015505) * ((sqrt(x3) + x0) + ((x2 - x1) + -175.01895))))) + (((x1 * 3.3595386) - 66.71202) + (sqrt(abs((((x2 - x1) + -95.40379) * sqrt(x2 + 0.31546703)) * (x2 + 80.956215))) - (x0 * 1.7015979)))"
48,6263.8843,"abs(((x3 * 0.0369343) - sqrt((x2 * 3.9009178) * abs((sqrt(x3) + -175.01903) + (x0 + (x2 - x1))))) + ((((x1 * 3.3634646) - 66.71195) + sqrt((sqrt(x2 + 0.3157735) * (x2 + 80.28912)) * abs((x2 - x1) + -95.40388))) - (x0 * 1.7017921)))"
49,6174.956,"(sqrt(abs((((x2 + 67.51247) * 1.5668223) - (x0 * 1.831276)) * (((x2 - x1) + -94.54996) * sqrt(x2 + 0.472461)))) + ((x1 * 3.32417) - ((x3 * -0.03199752) + 83.245346))) - sqrt(abs((((((x0 + x2) + -175.05023) - x1) + sqrt(x3)) * 4.8748937) * x2))"
50,6171.2725,"abs((sqrt(abs((((x2 + 67.51247) * 1.5668223) - (x0 * 1.831276)) * (((x2 - x1) + -94.54996) * sqrt(x2 + 0.472461)))) + ((x1 * 3.32417) - ((x3 * -0.03199752) + 83.245346))) - sqrt(abs(((((x0 + x2) + (-175.05023 - x1)) + sqrt(x3)) * 4.8748937) * x2)))"
