Complexity,Loss,Equation
1,166695.05,"352.51364"
3,109262.06,"x1 * 5.019381"
4,52535.996,"sqrt(x3 * x1)"
6,51560.508,"sqrt((x1 + 2.601261) * x3)"
8,48716.883,"(x2 + sqrt(x3 * x1)) * 0.84320647"
10,48339.45,"(sqrt(x1 * (x3 + x1)) + x2) * 0.83382565"
11,48251.996,"sqrt(sqrt((x1 * x3) / 0.093170166) * (x2 + x1))"
12,47579.344,"((x0 * x2) / 40.24736) + sqrt(x1 * (x3 * 0.67651445))"
13,47065.67,"sqrt((x3 * x1) * 0.6327368) + (x2 * sqrt(x0 / 26.673477))"
14,46490.83,"sqrt((x3 * x1) * 0.65126795) + ((x2 - x0) * (x0 / 23.444836))"
15,45944.98,"sqrt((x3 * x1) * 0.6359305) + abs((x0 * (x2 - x0)) / 22.239094)"
16,45355.05,"sqrt(((x3 * 0.55407745) + 500.20718) * x1) + ((x0 / -22.67256) * (x0 - x2))"
17,44852.5,"abs((x0 / 21.652012) * (x0 - x2)) + sqrt(x1 * ((x3 * 0.5425519) + 486.6952))"
19,43954.234,"sqrt((x1 * 0.550179) * (x3 + 1319.2183)) + ((x0 / 14.425423) * (abs(x2 - x0) - 37.47544))"
20,43888.605,"abs((((abs(x2 - x0) - 39.219856) * x0) / 14.161528) + sqrt((x1 * 0.55412066) * (x3 + 1319.255)))"
21,43535.918,"(x0 * ((abs(x2 - x0) - 45.92084) / 15.58132)) + (sqrt(x1 * x3) - ((0.00014323111 * x3) * x1))"
22,43428.62,"abs((sqrt(x1 * x3) + ((x0 * (abs(x2 - x0) - 45.92084)) / 15.58132)) - (x3 * (x1 * 0.00014323111)))"
23,42747.168,"(sqrt((x1 + x3) * x1) + ((abs(x2 - x0) - 41.740005) * (x0 / 15.500944))) - ((x1 * 0.0001533551) * x3)"
24,42303.785,"abs(((((abs(x2 - x0) - 54.42885) / 12.16863) * x0) + sqrt(x3 * x1)) - (x1 * ((x3 * 0.000227054) + -0.67990804)))"
25,42191.227,"abs((x0 * ((abs(x0 - x2) - 54.42885) / 12.16863)) + abs(sqrt(x3 * x1) - (((0.000227054 * x3) + -0.75722355) * x1)))"
26,42074.9,"abs((((0.000227054 * x3) + -0.75722355) * x1) - ((((x0 + -1.7294058) * (abs(x2 - x0) - 54.42885)) / 12.16863) + sqrt(x3 * x1)))"
28,41987.88,"abs((((x3 * 0.000227054) + -0.75722355) * x1) - (sqrt((x0 + x3) * x1) + (((x0 + -1.7294058) * (abs(x0 - x2) - 54.42885)) / 12.16863)))"
29,41867.684,"abs((((x3 * -0.00021044828) + 0.7107904) * x1) + (((abs(x0 - x2) - 55.073505) * abs((x0 - 4.2515244) / 12.142809)) + sqrt(x1 * (x0 + x3))))"
31,41820.79,"abs(((abs(x0 - 4.2515244) * ((abs(x2 - x0) - 55.073505) / 12.142809)) + sqrt(x1 * ((x0 + x3) + x0))) + ((0.7107904 + (-0.00021044828 * x3)) * x1))"
34,41819.02,"abs(((((abs(x0 - x2) - 55.073505) * abs(x0 - 4.2515244)) / 12.142809) + sqrt(x1 * ((x0 + x3) + abs(x0 - 4.2515244)))) + (((x3 * -0.00021044828) + 0.7107904) * x1))"
36,41792.492,"abs((x1 * ((x3 * -0.00021044828) + 0.7107904)) + ((sqrt(((x0 + x0) + (x0 + x3)) * abs(x1)) + 0.18033044) + (((abs(x2 - x0) - 55.073505) / 12.142809) * abs(4.2515244 - x0))))"
37,41711.504,"abs(((abs(x0 - 4.2515244) * ((abs(x2 - x0) - 55.073505) / 12.142809)) + sqrt((x1 + 0.8402433) * ((x3 + x0) + abs(x0 - abs(4.2515244))))) + ((0.7107904 + (-0.00021044828 * x3)) * x1))"
42,41612.246,"abs((((x3 + x1) * (abs(x1) * -0.00021044828)) + 0.7107904) + (sqrt(x1 * (x0 + (x3 + x0))) + ((abs(4.2515244 - abs(0.39166716 - x0)) * ((abs(x2 - x0) - 55.073505) / 12.142809)) + abs(x0 - x1))))"
44,41595.785,"(((x3 + 0.40287054) + x1) * (abs(x1) * -0.00021073269)) + abs((sqrt((((x0 + x3) + x0) + -0.12159705) * x1) + (abs(2.643962 - abs(2.3681452 - x0)) * ((abs(x2 - x0) - 57.580338) / 11.154343))) + abs(x0 - x1))"
47,41585.832,"sqrt((((x2 + 411.38464) * (sqrt(x1 / 0.44085735) + 3.2409768)) - (abs((x2 + -107.50308) - (x1 * -2.974162)) * -14.980928)) * sqrt(abs(abs((5.1513567 - x0) * (x2 + -128.00014)) + (((x0 + -8.063268) * (x2 + -144.82468)) + (x2 + x3))))) - 296.5035"
48,41585.367,"sqrt(sqrt(abs(abs((x2 + -128.02086) * (x0 - 5.1980243)) + (((x0 + -8.108132) * (x2 + -144.9133)) + abs(x3 + x2)))) * (((sqrt(x1 / 0.4423645) + 3.2231119) * (x2 + 412.89038)) - (abs((x2 - (x1 * -2.98655)) + -107.67671) * -14.927577))) - 296.34708"
