Complexity,Loss,Equation
1,160369.44,"358.04184"
3,107037.22,"x3 / 13.07666"
4,52013.652,"sqrt(x3 * x1)"
6,50759.746,"sqrt((3.0809526 + x1) * x3)"
7,49890.203,"sqrt(x3 * sqrt(x1 * 82.824196))"
8,47392.22,"(x2 + sqrt(x3 * x1)) * 0.83200175"
9,46286.582,"(sqrt(sqrt(x1) * x3) * 2.5921533) + x1"
11,45358.598,"x1 + sqrt(x3 * sqrt((x2 * x1) / 2.586688))"
12,45273.777,"x1 + abs(sqrt(sqrt(x1) * (x3 * 8.092574)) + -53.808117)"
13,45021.992,"(x1 * 1.3276999) + sqrt(sqrt((x2 * x1) / 3.2047093) * x3)"
15,44537.637,"(sqrt(((x3 * sqrt(x1)) + (x2 * x0)) * 7.851806) - 69.924675) + x1"
16,43999.625,"x1 + abs(sqrt(((x2 * x0) + (x3 * 7.368045)) * sqrt(x1)) + -51.407127)"
17,43877.297,"(sqrt(((x3 * 7.3977146) + (x2 * x0)) * sqrt(x1 - -0.18186626)) + -53.368904) + x1"
18,43423.656,"x1 + abs(sqrt(sqrt(x1) * (((x0 / 0.37527087) * x2) + (x3 * 6.4522767))) + -55.019196)"
19,43084.535,"((x0 * 0.038035955) * x2) + (x1 - ((x0 * 4.2640743) - sqrt(sqrt(x1) * (x3 * 6.313155))))"
20,42644.03,"abs((((x2 * 0.04204318) * x0) + x1) - ((x0 * 5.2676306) - sqrt(sqrt(x1) * (x3 * 6.6988225))))"
21,42296.47,"abs(((x0 * (x2 * 0.087787256)) + x1) - ((sqrt(x2) * x0) - sqrt(x3 * (sqrt(x1) * 6.684061))))"
22,42017.137,"x1 + abs((x0 * sqrt(sqrt(x3))) - (sqrt((x3 * 8.055987) * sqrt(x1)) - (x0 * (x2 * -0.059992608))))"
24,41562.86,"x1 + abs(((x0 * sqrt(sqrt(x3))) - sqrt((sqrt(x1) * 8.733752) * x3)) - ((x0 - 6.5099745) * (x2 * 0.06492356)))"
25,41495.74,"((x2 * ((x0 * 0.06449842) - 0.46442246)) - ((sqrt(sqrt(x3)) * x0) - sqrt((x3 * 8.8634615) * sqrt(x1 - -0.31924388)))) + x1"
26,41264.164,"x1 + abs((x2 * (0.06686998 * (x0 + -5.2870765))) - ((x0 * sqrt(sqrt(x3 + 621.03674))) - sqrt(x3 * (8.523465 * sqrt(x1)))))"
27,41218.61,"(x1 + (x2 * ((x0 + -6.048251) * 0.06635279))) - ((x0 * sqrt(sqrt(x3 + 620.985))) - sqrt((sqrt(x1 + 0.31355298) * 8.680875) * x3))"
28,41021.383,"x1 + abs(((-6.3728013 + x0) * (x2 * 0.066546105)) - ((sqrt(sqrt(x3 + 621.1687)) * x0) - sqrt((sqrt(x1 + 0.2624153) * 8.72702) * x3)))"
30,40945.08,"x1 + abs(((sqrt(sqrt((x2 * 8.671836) + x3)) * x0) - sqrt(x3 * (sqrt(x1 - -0.229643) * 8.501206))) - (x2 * ((x0 * 0.068835385) - 0.40090853)))"
32,40922.234,"x1 + abs(((x2 * 0.06866246) * (x0 - 5.8318634)) - ((x0 * sqrt(sqrt((x2 * 8.340874) + (x3 - x1)))) - sqrt((sqrt(x1 - -0.23261431) * 8.477856) * x3)))"
33,40843.13,"x1 + abs((sqrt((x0 * x0) * (sqrt(x3) + x2)) - sqrt((sqrt(x1) * x3) * 8.496183)) - (((x0 * 0.10735386) - abs((x3 * -9.06395e-5) + 0.42119762)) * x2))"
34,40785.05,"x1 + ((x2 * ((x0 * 0.10678259) - abs((-8.8729845e-5 * x3) + 0.44113564))) - (sqrt(x0 * (x0 * (x2 + sqrt(x3)))) - sqrt((sqrt(0.24072802 + x1) * 8.49618) * x3)))"
35,40568.742,"x1 + abs((sqrt(((x2 + sqrt(x3)) * x0) * x0) - sqrt((8.496183 * x3) * sqrt(x1 + 0.17930555))) - (((x0 * 0.107353866) - abs(0.4641494 + (-9.141541e-5 * x3))) * x2))"
