Complexity,Loss,Equation
1,50.474792,"x4"
3,38.94302,"x2 + x3"
5,37.688354,"(x3 + x2) + 1.1201167"
6,37.20284,"x2 + (sqrt(x5) * 0.24003199)"
7,36.294285,"x2 + ((x5 * 0.0008942367) + x3)"
8,35.258812,"x2 + ((x3 + sqrt(x5)) * 0.20183574)"
9,34.641186,"(x3 * 0.7036874) + (x2 + (x5 * 0.0020338502))"
10,34.072952,"(x3 * 0.5226059) + ((sqrt(x5) * 0.13551599) + x2)"
11,33.90076,"((x2 + (x5 * 0.001942286)) + (x3 * 0.52514535)) + 1.8291725"
12,33.01976,"(x2 + (x3 + ((x1 + sqrt(x5)) * 0.19893914))) * 0.5781584"
13,33.01253,"((((sqrt(x5) + abs(x1)) * 0.1992767) + x3) + x2) * 0.57766545"
14,32.31315,"((x3 + x2) + (((x4 + x1) + sqrt(x5)) * 0.21976896)) * 0.49572"
15,32.30674,"((x2 + x3) + ((x4 + (abs(x1) + sqrt(x5))) * 0.22006974)) * 0.49530023"
16,32.171753,"((x3 + x2) + (((x4 + sqrt(x5)) + (x4 + x1)) * 0.20376195)) * 0.4696433"
17,32.16646,"((x3 + (((x4 + sqrt(x5)) + (x4 + abs(x1))) * 0.20398349)) + x2) * 0.4693259"
18,31.994164,"sqrt(sqrt((x2 * abs((x5 * (x3 + -4.018748)) + ((x1 * x4) / 0.086015545))) + 1177.2238))"
19,31.993652,"sqrt(sqrt(abs((((x3 + -3.9560986) * x5) + abs((x4 * x1) / 0.087629355)) * x2) + 1154.5206))"
20,31.765026,"sqrt(sqrt((x2 * abs((x4 * (x1 / 0.107014544)) + (x5 * (x3 + (x0 * -0.18263797))))) + 1349.7443))"
22,31.389765,"sqrt(sqrt((x2 * (abs(((x0 * x0) - x5) * (x3 + -2.9198992)) + ((x4 * x1) / 0.114566475))) + 1240.6896))"
23,31.349434,"sqrt(sqrt(((abs(x4 * (x1 / 0.11167139)) + abs((x5 - (x0 * x0)) * (x3 + -2.6534877))) * x2) + 949.4311))"
24,31.2369,"sqrt(sqrt(((((x1 / 0.12632924) * x4) + abs((x5 - (x0 * x0)) * (x3 + (x0 * -0.1388679)))) * x2) + 1182.3728))"
25,31.222767,"sqrt(sqrt((x2 * (abs((x3 + (x0 * -0.1395099)) * (x5 - (x0 * x0))) + abs(x4 * (x1 / 0.123115756)))) + 1031.9807))"
26,31.19278,"abs((sqrt(x5) - (abs(x0 - x3) - x3)) * -0.15613401) + (((x1 + (x4 / 0.39770225)) * 0.07059329) + ((x2 * 0.48132238) - -2.628208))"
27,31.169733,"(abs((sqrt(x5) + (x3 - x0)) * 0.12784845) + ((x4 - ((x3 * -1.5833458) - (x1 / 2.5624497))) * 0.17600533)) + ((x2 * 0.47634813) + 2.1460173)"
28,30.877344,"abs((abs(x0 - x3) - (x3 - (sqrt(x5) * -0.6883975))) * -0.21381876) + ((x2 * 0.46742177) + ((((x4 / 0.3838779) + x1) * 0.0676424) - -3.0273876))"
29,30.875319,"((abs((abs(x0 - x3) - (x3 - (sqrt(x5) * -0.6883975))) * -0.21381876) + (x2 * 0.46742177)) + (((x4 / 0.3838779) + abs(x1)) * 0.0676424)) - -3.0273876"
30,30.697058,"(((x1 + ((x4 + x3) / 0.37558895)) * 0.064838305) + (x2 * 0.45759118)) + (abs(((sqrt(x5) * -0.64294827) - (x3 - abs(x0 - x3))) * -0.1979609) - -2.5019875)"
31,30.694708,"((((x4 + x3) / 0.37558895) + abs(x1)) * 0.064838305) + (((x2 * 0.45759118) + abs(((sqrt(x5) * -0.64294827) - (x3 - abs(x0 - x3))) * -0.1979609)) - -2.5019875)"
