Complexity,Loss,Equation
1,25.182234,"x4"
3,14.016917,"x3 + x2"
5,12.834963,"x2 + (x3 - -1.0871874)"
6,12.191567,"x2 + (sqrt(x5) * 0.23888868)"
7,11.076989,"sqrt(sqrt(x3 * x5)) + x2"
8,9.942735,"sqrt((x4 * x3) + (x5 * 0.07386297))"
10,8.975012,"sqrt((x3 * x4) + ((x5 * 0.060445383) + x1))"
11,8.61494,"sqrt((x3 * x4) + ((x2 * sqrt(x5)) * 0.5425434))"
12,8.115163,"sqrt(((x3 * x4) + ((x2 * 0.010017627) * x5)) + 20.29561)"
13,7.759897,"sqrt((abs(x1) + (x3 * x4)) + ((x2 * 0.0097519355) * x5))"
14,7.399147,"sqrt((x4 * x2) + ((abs(x1) + (x5 * 0.019507898)) * sqrt(x3)))"
15,7.3795786,"sqrt(((x3 * x4) + ((x2 * 0.007908912) * x5)) + abs(x1 + x1))"
16,7.1601467,"sqrt(((x3 * x4) + (x1 * sqrt(x2))) + abs((x5 * 0.05299964) - x0))"
17,7.155946,"sqrt(((sqrt(x2) * abs(x1)) + abs((x5 * 0.05296128) - x0)) + (x3 * x4))"
18,7.067705,"sqrt((((x2 + x1) * sqrt(x2)) + (x3 * x4)) + abs(x0 - (x5 * 0.046021786)))"
19,6.9259458,"sqrt(abs(((x1 - x0) + (x5 * 0.022442995)) * 2.1702414) + ((x2 * x2) + (x3 * x4)))"
20,6.8650928,"sqrt(((abs(abs(x0 - (x5 * 0.06072104)) - x0) + (x2 * x2)) + (x4 * x3)) + x1)"
21,6.6504736,"sqrt((abs((x5 * 0.06144547) + ((x1 - x0) * 2.551926)) + ((x3 * x4) * 0.7715442)) + (x2 * x2))"
22,6.643339,"sqrt(((x2 * x2) + (x4 * (x3 * 0.7699925))) + abs(((abs(x1) - x0) * 2.5599587) + (x5 * 0.06156196)))"
23,6.452077,"sqrt((abs((x0 * 2.236278) - (x1 + (x5 * 0.06602713))) + ((x2 * x2) + ((x4 * 0.738494) * x3))) + x1)"
24,6.3596387,"sqrt(((x4 * (x3 / 1.2697201)) + x1) + (abs(abs(x1 + ((x5 * 0.060341813) - x0)) - x0) + (x2 * x2)))"
25,6.354737,"sqrt((abs(abs(x1 + ((x5 * 0.060305372) - x0)) - x0) + abs(x1)) + ((x2 * x2) + ((x4 * x3) / 1.2697146)))"
26,6.1549735,"sqrt((x2 * x2) + ((x1 + ((x3 * x4) / 1.3731729)) + abs(x0 - abs(((x1 - x0) * 1.8595607) + (x5 * 0.062631704)))))"
27,6.153514,"sqrt((((x3 * x4) / 1.373551) + ((x2 * x2) + abs(x1))) + abs(x0 - abs((x5 * 0.0626288) + ((x1 - x0) * 1.857623))))"
28,6.0785537,"sqrt((((x5 / 6.8553886) * x3) / (x0 + abs(x2 + (x3 - x0)))) + sqrt((((x1 + x3) * (x4 * x2)) - -150.26308) / 0.13632885))"
29,5.7226286,"sqrt(((x3 * (x5 / 5.2031536)) / (x0 + abs((2.8004677 - x0) - (x5 / -141.23195)))) + sqrt((abs(x4 * (x2 * x1)) - -73.23988) / 0.11619648))"
30,5.656283,"sqrt((x5 * ((x3 / 5.0325446) / (abs((sqrt(x3) - x0) - (x5 / -141.02524)) + x0))) + sqrt(abs((-73.22077 - ((x1 * x4) * x2)) / 0.11245424)))"
31,5.5778766,"sqrt(((x5 / 4.933147) * (x3 / (x0 + abs((x5 / -141.05182) - ((x1 * 0.13434823) - x0))))) + sqrt(abs((-74.863945 - (x1 * (x2 * x4))) / 0.11541777)))"
32,5.577875,"sqrt(((x5 / 4.931395) * (x3 / (abs(x0) + abs((x5 / -141.05626) - ((x1 * 0.13448489) - x0))))) + sqrt(abs((-74.86694 - (x1 * (x2 * x4))) / 0.11542658)))"
33,5.559804,"sqrt(((x3 * (x5 / 5.0325446)) / (x0 + abs(((x1 * 0.17260638) - (x0 + 1.6809134)) - (x5 / -141.02524)))) + sqrt((((x4 * x2) * abs(x1)) - -73.22077) / 0.11245424))"
34,5.5597997,"sqrt(((x3 * (x5 / 5.0325446)) / (x0 + abs(((abs(x1) * 0.17260638) - (1.6809134 + x0)) - (x5 / -141.02524)))) + sqrt(((x4 * abs(x1 * x2)) - -73.22077) / 0.11245424))"
35,5.5305924,"sqrt((((x5 / 5.087248) * x3) / (abs(((x1 * 0.173303) - (x0 + 1.7912959)) - (x5 / -141.01964)) + x0)) + sqrt((abs(x1 * ((x2 - 0.46598226) * x4)) - -73.222496) / 0.102965534))"
36,5.530295,"sqrt((((x5 / 5.087248) * x3) / (abs((x5 / -141.01964) - ((x1 * 0.173303) - (x0 + abs(-2.2053943)))) + x0)) + sqrt((abs(x4 * ((0.46598226 - x2) * x1)) - -73.222496) / 0.102965534))"
38,5.5192094,"sqrt((((x5 / 5.087248) * x3) / (abs((abs(x1 * 0.173303) - (x0 + 1.7912959)) - (x5 / -141.01964)) + x0)) + sqrt((abs(((x1 - -0.6787038) * (x2 - 0.46598226)) * x4) - -73.222496) / 0.102965534))"
39,5.452995,"sqrt(sqrt(((x4 * (x2 * (x1 + x3))) - -150.52469) / 0.15090448) + abs((x3 * ((x5 / 2.6480534) + ((x1 - x0) / 0.055073258))) / ((x1 + x0) + abs(((x3 - x0) * 2.6753964) + x4))))"
40,5.446841,"sqrt(sqrt((((x4 * (abs(x1) + x3)) * x2) - -150.52469) / 0.15090448) + abs((x3 * ((x5 / 2.6480534) + ((x1 - x0) / 0.05507324))) / ((x0 + x1) + abs(((x3 - x0) * 2.6753964) + x4))))"
41,5.4446898,"sqrt(sqrt(((x4 * ((abs(x1) + x3) * x2)) - -150.52469) / 0.15090448) + abs((x3 * ((x5 / 2.6480534) + ((abs(x1) - x0) / 0.05507324))) / ((x0 + x1) + abs(((x3 - x0) * 2.6753964) + x4))))"
42,5.44358,"sqrt(sqrt(((x4 * ((abs(x1) + x3) * x2)) - -150.52469) / 0.15090448) + abs(((x3 + 0.18564247) * ((x5 / 2.6480534) + ((x1 - x0) / 0.05507324))) / ((x0 + x1) + abs(((x3 - x0) * 2.6753964) + x4))))"
43,5.3707404,"sqrt(sqrt(((x4 * (x4 + (x2 * x1))) - -175.52351) / 0.15314612) + abs((((x5 / 3.807827) + ((x1 - x0) / 0.10764998)) * x3) / (abs((x5 / -141.24632) - (1.1096609 - x0)) + (x0 + (x3 * (x1 * 0.042124335))))))"
44,5.340422,"sqrt(sqrt((((x4 * x2) * (x1 + abs(x4))) - -175.52415) / 0.22219327) + abs((((((x1 - x0) / 0.024972137) + x5) / 3.9517028) * x3) / (abs((x5 / -141.19147) - (1.0925674 - x0)) + ((x3 * (x1 * 0.039457567)) + x0))))"
45,5.3103027,"sqrt(sqrt((((x4 * (x3 + x1)) * x2) - -150.53412) / 0.16019854) + abs((x3 * (((x1 - x0) / 0.06935994) + (x5 / 3.2039244))) / ((x0 + ((x3 * x1) * 0.064725935)) + abs(((x3 * 1.7218137) + x4) - (x0 + x0)))))"
46,5.3035684,"sqrt(sqrt((((x4 * (x3 + abs(x1))) * x2) - -150.53412) / 0.16019854) + abs((x3 * (((x1 - x0) / 0.06935994) + (x5 / 3.2039244))) / ((x0 + ((x3 * x1) * 0.064725935)) + abs(((x3 * 1.7218137) + x4) - (x0 + x0)))))"
47,5.274059,"sqrt(sqrt((((x4 + (x2 * (x1 + x3))) * x4) - -101.12008) / 0.17345664) + abs((x3 * ((x5 / 3.1891227) + ((x1 - x0) / 0.06905948))) / ((x0 + (x1 * (x3 * 0.06360047))) + abs(x4 + ((x3 * 1.728262) - (x0 + x0))))))"
48,5.27336,"sqrt(abs((x3 * ((x5 / 3.234994) + ((abs(x1) - x0) / 0.06960401))) / (abs(x4 + ((x3 * 1.7294631) - (x0 + x0))) + (((x1 * 0.06071146) * x3) + x0))) + sqrt((((x4 + (x2 * (x3 + x1))) * x4) - -139.64749) / 0.17841871))"
49,5.258273,"sqrt(sqrt((((x4 + (x2 * (x1 + x3))) * x4) - -139.6493) / 0.17500874) + abs(((x3 + -0.87911373) * (((x1 - x0) / 0.06104684) + (x5 / 2.8554742))) / (abs((x3 * 1.7726932) + (x4 - (x0 + x0))) + ((x1 * (x3 * 0.06601131)) + x0))))"
50,5.257123,"sqrt(sqrt((((x4 + (x2 * (x1 + x3))) * x4) - -139.6493) / 0.17500874) + abs(((x3 + -0.87911373) * (((abs(x1) - x0) / 0.06104684) + (x5 / 2.8554742))) / (abs(((x3 * 1.7726932) + x4) - (x0 + x0)) + ((x1 * (x3 * 0.06601131)) + x0))))"
