Complexity,Loss,Equation
1,1.4654272e8,"13269.882"
3,1.1228994e8,"x1 * 32049.043"
5,5.57207e7,"(x1 * 23616.01) + 8433.731"
7,4.1453416e7,"(x0 * 222.51183) + (x1 * 23480.395)"
9,4.079751e7,"(x1 * 23698.977) + ((x0 - -173.30545) * x0)"
10,4.0731544e7,"(x1 * 24075.943) + (x0 * sqrt(x0 * 1011.42505))"
11,4.0578936e7,"(x1 * 23868.41) - ((x0 * (x0 * -3.4594262)) + -2382.0808)"
13,4.0570784e7,"(x1 * 23733.94) + ((((x0 + x1) * x0) * 3.451631) - -2395.7146)"
14,4.053286e7,"((x1 * 23902.623) + 15770.542) - abs((x0 * (x0 * 3.5751219)) + -13529.2295)"
15,4.053024e7,"((x1 * 23040.0) + 2555.896) - (x0 * (((x1 * -0.48985764) + -3.3603215) * x0))"
16,4.0471292e7,"((x1 * 22406.768) + 18255.951) - abs(((x1 + 3.3541043) * (x0 * x0)) + -15682.441)"
17,4.0461144e7,"((x1 * 23854.15) - ((-484.89008 / (x0 + -22.798069)) + -2286.9016)) + (x0 * (x0 * 3.4858592))"
18,3.994143e7,"abs(((x0 * (x0 * -3.5534105)) + -2280.8887) - (((4456.692 / (x0 + -21.550745)) + 23560.838) * x1))"
19,3.992574e7,"(x1 * 23673.129) + ((3.4573128 * (x0 * x0)) - (((x1 * -4345.0474) / (-21.513138 + x0)) + -2379.511))"
21,3.991851e7,"((x1 * 23498.006) - (((x1 * -4389.312) / (x0 + -21.514648)) + -2401.941)) + (((x0 + x1) * x0) * 3.4515488)"
23,3.988121e7,"(x1 * 22287.84) - (((x1 / (x0 + -21.581032)) * -4105.0103) + (((x0 * -3.3791287) * ((x1 * 10.299396) + x0)) + -2527.6892))"
24,3.988096e7,"abs((x1 * (-4078.3801 / (x0 + -21.587091))) + (((x0 * ((x0 + (x1 * 10.321451)) * -3.381845)) - (x1 * 22283.965)) + -2515.061))"
25,3.98729e7,"(22857.97 * x1) - ((((x1 + x1) / (x0 + -21.553747)) * -2136.1172) + (-2532.6904 + ((x0 * ((x1 / -2.101021) + -3.3773053)) * x0)))"
26,3.9847584e7,"abs(((((4456.692 / (x0 + -21.550745)) + 23560.838) * x1) - (((x0 * x0) * -3.5534105) + -2318.3542)) - ((x0 * x0) / (x0 + -37.465588)))"
27,3.984453e7,"abs(((x0 * x0) / (x0 + -37.450085)) - abs((((4304.969 / (x0 + -21.524946)) + 23570.557) * x1) - (((x0 * x0) * -3.55689) + -2312.1672)))"
28,3.9752468e7,"abs(((x0 * (x1 * x0)) / (x0 + -37.465588)) - (((23560.838 + (4456.692 / (x0 + -21.550745))) * x1) - (((-3.5534105 * x0) * x0) + -2318.3542)))"
29,3.968987e7,"abs(((x0 * (x0 * -3.4608357)) + -2332.3042) - (x1 * ((4489.9077 / (x0 + -21.420067)) + 24488.03))) - abs(x0 * ((x0 * x1) / (x0 + -39.169857)))"
30,3.966789e7,"abs(((-3.5056272 * (x0 * x0)) - (x1 * 23560.838)) + ((-3891.6257 * (x1 / (x0 + -21.550009))) + -2318.3542)) - (x0 * ((x1 * x0) / (x0 + -38.778366)))"
32,3.9606724e7,"(abs(((x0 * (x0 * -3.482505)) + -2507.2686) - (x1 * 23615.533)) - ((x1 / ((79.5737 / (x0 - -14.666604)) - 1.1645992)) * x0)) + ((4140.8867 / (x0 + -21.507845)) * x1)"
34,3.9574804e7,"abs((((x1 * (-4558.5264 / (x0 + -21.507845))) + (((x0 + -1.2104187) * x0) * -3.482505)) + -2508.2996) - (x1 * 23615.533)) - (x0 * (x1 / ((79.5737 / (x0 - -14.666604)) - 1.1645992)))"
36,3.957252e7,"abs((((x1 * -4558.5264) / (x0 + -21.507845)) + (((x0 + -1.2104187) * (x0 * -3.482505)) + -2508.2996)) - (x1 * 23615.533)) - (x0 * ((-0.026917433 + x1) / ((79.5737 / (x0 - -14.666604)) - 1.1645992)))"
37,3.95476e7,"((22977.47 * x1) - (((x1 + x1) * (-2133.0017 / (x0 + -21.534328))) + (((x0 * x0) * ((x1 / -3.068313) + -3.403032)) + -2509.356))) - (x1 * (45.28734 / ((79.08402 / (x0 + 14.547229)) - 1.1593634)))"
39,3.954664e7,"((22977.47 * x1) - ((((x1 + x1) * -2133.0017) / (x0 + -21.534328)) + (((x0 * ((x1 / -3.403032) + -3.403032)) * (x1 + x0)) + -2509.356))) - ((x1 * 45.28734) / ((79.08402 / (x0 + 14.547229)) - 1.1593634))"
41,3.954554e7,"(((x1 * 22977.47) - ((((x1 + x1) * -2133.0017) / (x0 + -21.534328)) + ((x0 * (((x1 / -3.403032) + -3.403032) * (x1 + x0))) + -2509.356))) - (x1 * (45.28734 / ((79.08402 / (x0 + 14.547229)) - 1.1593634)))) - x0"
43,3.954546e7,"((((x1 * 22977.47) - ((((x1 / -3.403032) + -3.403032) * ((x1 + x0) * x0)) + (-2509.356 + (((x1 + x1) * -2133.0017) / (x0 + -21.534328))))) - ((x1 * 45.28734) / ((79.08402 / (x0 + 14.547229)) - 1.1593634))) - x0) - -2.5588105"
45,3.9545296e7,"(((22977.47 * x1) - (((x1 + x1) * (-2133.0017 / (-21.534328 + x0))) + (-2509.356 + (((x1 / (-3.403032 / x0)) + (x0 * -3.403032)) * (x0 + x1))))) - (x1 * ((45.28734 / ((79.08402 / (x0 + 14.547229)) - 1.1593634)) - 45.28734))) - x0"
47,3.954493e7,"(((x1 * 22977.47) - (((((x0 * -3.403032) + (x1 / (-3.403032 / x0))) * (x0 + x1)) + ((x1 + x1) * (-2133.0017 / (x0 + -21.534328)))) + -2509.356)) - (((x1 * 45.28734) / ((79.08402 / (x0 + 14.547229)) - 1.1593634)) - (45.28734 - x0))) - x0"
49,3.9544764e7,"(((x1 * 22977.47) - (((x1 + (x1 - 0.020002088)) * (-2133.0017 / (x0 + -21.534328))) + ((((-3.403032 * x0) + (x1 / (-3.403032 / x0))) * (x0 + x1)) + -2509.356))) - ((x1 * (45.28734 / ((79.08402 / (x0 + 14.547229)) - 1.1593634))) - (45.28734 - x0))) - x0"
