Complexity,Loss,Equation
1,1.2962108e8,"12732.429"
3,1.1560449e8,"x0 * 324.18094"
5,1.1544666e8,"(x0 + x1) * 324.25876"
7,1.0849195e8,"(x1 * 29062.258) + (x0 * 318.0727)"
9,1.0842481e8,"(x0 - ((-49.880188 - x0) * x1)) * 317.95172"
11,1.08422184e8,"((x0 - (x1 * (-48.66472 - x0))) - 0.56289357) * 322.20685"
12,1.08422136e8,"(sqrt(x0) + 311.24387) * (x0 - ((-49.9533 - x0) * x1))"
14,1.0792214e8,"abs((1402.8448 / (x0 - 63.846245)) - (x0 * (-319.6024 + (x1 * 1338.643))))"
16,1.07920824e8,"abs((x0 * ((x1 * 1338.643) + -320.2401)) - ((1402.8448 / (x0 - 63.846245)) - 55.407978))"
18,1.0790624e8,"abs((((x1 * 1324.5758) + -308.9901) * x0) - abs((-1858.678 / abs(x0 + -46.409515)) - -243.30286))"
20,1.0788348e8,"abs((x0 * ((x1 * 1328.815) + -308.87234)) - abs(abs((-1857.4207 / (x0 + -46.42756)) + x0) + -281.34436))"
21,1.0733917e8,"abs(abs(-1761.6626 / (x0 + -46.397453)) - ((((x1 * 1346.2117) + -304.3129) - (2.0899162 / (x0 - 63.986855))) * x0))"
23,1.0732829e8,"abs((x0 * (((1347.7605 * x1) - (2.0899162 / (x0 - 63.98685))) + -304.3129)) - abs((1718.7963 / (x0 + -46.397472)) + -73.33854))"
24,1.0731853e8,"abs(((x0 * ((x1 * 1347.7605) + -307.09775)) - (45.67145 / (x0 - 63.99525))) - abs(-227.16731 - (-1857.4579 / abs(x0 + -46.39099))))"
26,1.07305256e8,"abs(((x0 * ((x1 * 1347.7605) + -307.09775)) - (45.67145 / (x0 - 63.99525))) - abs(abs((-1857.4579 / (x0 + -46.39099)) + x0) + -227.16731))"
28,1.0730465e8,"abs(((x0 * ((x1 * 1347.7605) + -307.09775)) - (45.67145 / (x0 - 63.99525))) - abs(abs(((-1857.4579 / (x0 + -46.39099)) / 1.0336239) + x0) + -227.16731))"
29,1.0720133e8,"(2224.7927 / (120.718506 - (x0 + x0))) + abs((x0 * (((x1 * 1347.7605) - (2.0899162 / (x0 - 63.986855))) + -304.3129)) - abs(1718.7963 / (x0 + -46.397453)))"
30,1.0720131e8,"(2224.7927 / (120.719864 - abs(x0 + x0))) + abs(abs(1718.7963 / (x0 + -46.398266)) - ((((x1 * 1347.7605) + -304.3129) - (2.0899258 / (x0 - 63.98677))) * x0))"
31,1.069244e8,"abs((x0 * ((-304.3129 - (2.0899162 / (x0 - 63.986855))) + (x1 * 1347.7605))) - (abs(1647.1483 / (x0 + -46.397453)) - (2224.4436 / (120.718506 - ((x0 + x0) + 39.4683)))))"
33,1.0684267e8,"abs((abs(1647.1483 / (x0 + -46.397453)) - (2224.4436 / (120.718506 - (((x0 + x1) + x0) + 39.4683)))) - (x0 * ((-304.3129 - (2.0899162 / (x0 - 63.986855))) + (x1 * 1347.7605))))"
35,1.0680353e8,"abs((((-300.66284 - (2.2811186 / (x0 - 63.985546))) + (x1 * 1347.7605)) * x0) - (abs((-1641.2844 / (x0 + -46.42248)) + 241.39453) - (2185.4011 / (120.61038 - ((x1 + x0) + (x0 + 39.36226))))))"
37,1.0674589e8,"abs((abs(1518.315 / (x0 + -46.400394)) - ((90048.37 / ((121.22413 - x0) - x0)) / (120.71167 - ((x0 + 39.461437) + x0)))) - (x0 * (((1347.7605 * x1) - (2.0075622 / (x0 - 63.986504))) + -305.66522)))"
39,1.06661e8,"abs((abs(-1534.9012 / (x0 + -46.400394)) - ((90048.37 / (121.22413 - (x0 + x0))) / (120.71167 - ((x1 + x0) + (x0 + 39.461437))))) - (x0 * (((x1 * 1347.7605) - (2.0075622 / (x0 - 63.986504))) + -304.7552)))"
41,1.0660999e8,"abs(((((x1 * 1347.7605) + -300.66284) - (2.2811174 / (x0 - 63.986076))) * x0) - (abs((-1641.2844 / (x0 + -46.417267)) + 241.39453) - ((90048.37 / (121.19638 - (x0 + x0))) / (120.593475 - ((x1 + x0) + (x0 + 39.36131))))))"
42,1.0660651e8,"abs((abs((-1641.2844 / (x0 + -46.41729)) + 241.39453) - ((90048.37 / (121.196396 - (x0 + x0))) / (120.5935 - (((x0 + x1) + x0) + 39.361343)))) - (x0 * ((x1 * 1347.7605) + (-300.66284 - (2.2811162 / abs(x0 - 63.986073))))))"
43,1.0659244e8,"abs((abs((-1641.2844 / (x0 + -46.42574)) + 241.39453) - ((90048.37 / (121.19646 - (x0 + x0))) / (120.61026 - (((x0 + x1) + x0) + 39.36086)))) - (x0 * ((((x1 * 1347.7605) + -306.6587) * 0.9805511) - (2.2810304 / (x0 - 63.985992)))))"
44,1.0658921e8,"abs((abs((-1641.2844 / (x0 + -46.425697)) + 241.39453) - ((90048.37 / (121.196495 - (x0 + x0))) / (120.610405 - ((x0 + (x1 + x0)) + 39.361004)))) - (x0 * ((((x1 * 1347.7605) + -306.6587) * 0.98053896) - (2.2810302 / abs(x0 - 63.986)))))"
45,1.0658736e8,"abs((abs((-1641.2844 / (x0 + -46.429836)) + 241.39453) - ((90048.37 / (121.19157 - ((x0 + x0) + x1))) / (120.56881 - (((x0 + x0) + 39.350494) + x1)))) - (((x1 * 1347.7605) + (-307.95703 - (2.2799485 / (x0 - 63.98619)))) * (x0 * 0.97744334)))"
47,1.06587176e8,"abs((abs((-1641.2844 / (x0 + -46.429306)) + 241.39453) - (((90048.37 / (121.19209 - (x0 + (x1 + x0)))) / (120.570335 - ((x1 + x0) + (x0 + 39.34942)))) - 1.9344882)) - (((x1 * 1347.7605) + (-307.95703 - (2.279959 / (x0 - 63.98631)))) * (x0 * 0.977366)))"
48,1.06585e8,"abs((abs((-1641.2844 / (x0 + -46.42655)) + 241.39453) - ((90048.37 / (121.1948 - ((x0 + x0) + x1))) / (120.57842 - (x0 + (x1 + (x0 + 39.354237)))))) - (0.9775935 * ((((x1 * 1347.7605) + -306.6587) - abs((2.2800186 / (x0 - 63.986923)) - 1.2983361)) * x0)))"
50,1.06584984e8,"abs(((abs((-1641.2844 / (x0 + -46.42655)) + 241.39453) - ((90048.37 / (121.1948 - ((x0 + x0) + x1))) / (120.57842 - (x0 + ((x0 + 39.354237) + x1))))) - 1.9344882) - (((((x1 * 1347.7605) + -306.6587) - abs((2.2800186 / (x0 - 63.986923)) - 1.2983361)) * x0) * 0.9775935))"
