Complexity,Loss,Equation
1,184.68924,"37.979763"
3,147.68488,"x1 + 33.885647"
4,128.48651,"66.5216 - sqrt(x0)"
5,95.343315,"sqrt(32106.508 / sqrt(x0))"
6,85.094955,"(log(x0) * -8.923169) + 95.014656"
7,82.98377,"73.59382 - (sqrt(sqrt(x0)) * 6.9286633)"
8,81.96236,"(log(x0 + 161.7844) * -11.901981) + 118.116516"
9,81.72712,"(log(log(x0 + 269.48947)) * -94.595535) + 219.97176"
10,75.13189,"(((x2 * x2) - log(x0)) * 6.956493) + -4254.5986"
12,74.37738,"((x2 - log(x0)) * (-396.66263 - (x2 * -16.185204))) - 100.826126"
14,74.03387,"((x2 - log(x0 + 26.787561)) * (-366.31628 - (x2 * -14.993031))) + -110.986435"
16,74.020836,"((-383.57318 - (x2 * -15.686443)) * (x2 - log(x0 + (x2 * 1.2850528)))) + -111.956215"
17,72.8177,"abs((x2 + ((-451.13498 - (x2 * -18.393572)) * (x2 - log(x0)))) + -154.62688) + 15.972928"
18,71.34719,"((x2 * ((log(x0) - x2) * -0.3478133)) + (x2 / (x0 - (x2 * 10.100077)))) - 123.44405"
19,70.84379,"((sqrt(x0) / (x0 - (x2 * 10.1047735))) + (x2 * ((log(x0) - x2) * -0.3504591))) - 124.77357"
20,70.714355,"((x2 / (x0 - (x2 * 10.09805))) - 125.07417) + ((x2 * (log(x2 + x0) - x2)) * -0.35324118)"
21,70.317825,"(sqrt(x0) / (x0 - (x2 * 10.1047735))) + (((log(x0 + x2) - x2) * (x2 * -0.3504591)) - 124.77357)"
22,62.334568,"(((log(x0) - x2) * (((x2 * x2) * -0.23817605) - -140.57172)) + (10.326621 / (x0 - (x2 * 10.107756)))) - 109.401985"
23,62.25084,"(sqrt(x0) / (x0 - (x2 * 10.104745))) + (((((x2 * x2) * -0.247505) - -146.58214) * (log(x0) - x2)) - 105.807)"
24,62.011517,"(((-139.5996 - ((x2 * x2) * -0.23352633)) * (x2 - log(x0))) + ((11.814501 / (x0 - (x2 * 10.10737))) - 77.7033)) + x1"
25,61.89966,"abs(x1 + (12.784425 / (x0 - (x2 * 10.106874)))) + (((x2 - log(x0)) * (-139.50067 - ((x2 * x2) * -0.23325251))) - 76.366776)"
26,61.47411,"((x1 / 1.2014415) + (((-139.50067 - ((x2 * -0.23357639) * x2)) * (x2 - log(x0))) - 79.41956)) + (12.784825 / (x0 - (x2 * 10.10681)))"
28,61.310753,"(((-139.50067 - (x2 * (x2 * -0.23357639))) * (x2 - log(abs(x0)))) - 79.41956) + abs((12.784825 / (x0 - (x2 * 10.10681))) + (x1 / 1.2014415))"
29,60.88197,"(((-139.55917 - ((x2 * x2) * -0.2340547)) * (x2 - log(x0))) + abs((x2 / ((x0 - (x2 * 11.127186)) + x2)) - (x1 * -0.7200911))) - 83.53611"
